,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,47.0,32.0,29.0,15.0,3.0,16.0,34.0,47.1,18.0,24.0,5.0,19.0,47.0,94.0,64.0,2.0
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,4.0,4.0,3.0,1.0,0.0,4.0,6.0,66.7,2.0,3.0,0.0,3.0,1.0,5.0,0.0,0.0
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,13.0,8.0,4.0,4.0,5.0,1.0,7.0,14.3,6.0,3.0,1.0,2.0,2.0,15.0,0.0,0.0
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,20.0,17.0,10.0,9.0,1.0,6.0,11.0,54.5,5.0,22.0,2.0,20.0,8.0,28.0,29.0,0.0
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,7.0,3.0,5.0,2.0,0.0,4.0,7.0,57.1,3.0,5.0,5.0,0.0,4.0,11.0,20.0,0.0
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,23.0,15.0,8.0,14.0,1.0,8.0,32.0,25.0,24.0,11.0,6.0,5.0,18.0,41.0,25.0,2.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,40.0,32.0,29.0,10.0,1.0,27.0,36.0,75.0,9.0,29.0,15.0,14.0,40.0,80.0,141.0,1.0
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,10.0,8.0,1.0,7.0,2.0,1.0,13.0,7.7,12.0,8.0,1.0,7.0,1.0,11.0,11.0,0.0
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,35.0,32.0,15.0,18.0,2.0,16.0,23.0,69.6,7.0,22.0,5.0,17.0,19.0,54.0,20.0,0.0
