,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,30,38.0,105.0,4.0,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2
1,30,38.0,72.0,5.0,2,504,459,69,590,523,445,4,4,0,2214,637,725,46.8
2,27,38.0,68.0,3.0,2,492,436,59,653,410,427,3,7,4,2051,592,654,47.5
3,30,38.0,,,0,383,377,89,572,427,425,5,6,0,2148,630,660,48.8
4,25,38.0,,,3,490,465,79,751,476,488,9,2,0,2469,563,519,52.0
5,26,38.0,93.0,0.0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0
6,26,38.0,93.0,5.0,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7
7,27,34.0,,,1,490,411,70,757,400,543,4,3,0,1616,700,774,47.5
8,25,38.0,67.0,2.0,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5
9,28,34.0,,,0,366,413,67,893,355,467,7,4,3,1687,518,448,53.6
10,41,38.0,,,4,486,465,83,661,449,409,2,13,2,1892,410,501,45.0
11,29,38.0,90.0,3.0,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7
12,30,38.0,,,4,482,466,66,553,462,456,2,4,3,1855,593,571,50.9
13,31,38.0,73.0,2.0,1,532,470,76,736,464,459,5,8,1,2227,578,631,47.8
14,22,38.0,,,1,339,411,52,707,367,324,2,3,1,1956,698,750,48.2
15,24,38.0,,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6
16,24,38.0,,,0,350,422,100,707,400,355,0,5,1,1875,912,967,48.5
17,26,38.0,68.0,4.0,0,523,433,76,971,476,478,5,5,4,2371,814,770,51.4
18,29,38.0,,,4,611,458,84,732,431,447,5,12,1,1901,743,600,55.3
19,23,38.0,85.0,1.0,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0
20,26,38.0,,,2,363,405,108,755,424,426,3,2,2,2233,602,506,54.3
21,25,38.0,,,1,478,460,102,801,444,367,2,7,4,1932,645,657,49.5
22,29,38.0,,,1,501,466,88,635,578,440,2,8,0,2102,620,744,45.5
23,28,38.0,,,0,425,404,56,703,552,447,9,2,2,2156,752,708,51.5
24,26,38.0,69.0,5.0,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6
25,30,34.0,,,1,403,422,83,585,336,510,4,3,0,1472,580,516,52.9
26,27,38.0,84.0,3.0,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2
27,28,34.0,,,0,526,453,85,586,409,483,2,3,2,1576,676,708,48.8
28,25,38.0,87.0,1.0,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5
29,30,38.0,,,2,460,364,82,629,514,447,8,5,0,2046,760,852,47.1
30,27,38.0,,,3,551,428,82,823,489,497,6,3,0,2146,566,612,48.0
