,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Alvaro Aceves,Valladolid,1,0,13,0.1,0,0.00,3,3,100.0,0,0,0,0,0.0,0,0,0,0,0.0
1,Julen Agirrezabala,Athletic Club,8,7,675,7.5,6,0.80,19,13,68.4,1,3,3,2,28.6,0,0,0,0,0.0
2,Dogan Alemdar,Rennes,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0
3,Alisson,Liverpool,37,37,3330,37.0,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3
4,Alphonse Areola,West Ham,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0
5,Kepa Arrizabalaga,Chelsea,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31.0,1,1,0,0,0.0
6,Sergio Asenjo,Valladolid,10,10,900,10.0,21,2.10,51,30,60.8,2,2,6,1,10.0,1,1,0,0,0.0
7,Emil Audero,Sampdoria,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6
8,Edgar Badia,Elche,36,36,3240,36.0,63,1.75,200,136,72.0,5,10,21,4,11.1,10,7,3,0,30.0
9,Francesco Bardi,Bologna,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,0.0
10,Oliver Baumann,Hoffenheim,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0
11,Gavin Bazunu,Southampton,32,32,2880,32.0,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0
12,Asmir Begovic,Everton,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,0.0
13,Daniel Bentley,Wolves,2,2,180,2.0,3,1.50,13,10,76.9,0,1,1,0,0.0,0,0,0,0,0.0
14,Paul Bernardoni,Angers,27,27,2430,27.0,62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0
15,Marco Bizot,Brest,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2
16,Ruben Blanco,Marseille,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,0.0
17,Janis Blaswich,RB Leipzig,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3
18,Joaquin Blazquez,Brest,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0
19,Yassine Bounou,Sevilla,25,25,2151,23.9,41,1.72,106,66,63.2,7,6,12,4,16.0,3,2,1,0,33.3
20,Claudio Bravo,Betis,12,12,1080,12.0,9,0.75,42,33,81.0,5,5,2,4,33.3,1,1,0,0,0.0
21,Fabian Bredlow,Stuttgart,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0
22,Marcin Bulka,Nice,2,2,180,2.0,2,1.00,6,4,66.7,0,1,1,0,0.0,0,0,0,0,0.0
23,Juan Carlos,Girona,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0
24,Marco Carnesecchi,Cremonese,27,27,2430,27.0,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0.0
26,Matis Carvalho,Montpellier,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,0.0
27,Koen Casteels,Wolfsburg,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0
28,Michele Cerofolini,Fiorentina,5,5,450,5.0,3,0.60,11,8,81.8,4,1,0,2,40.0,1,1,0,0,0.0
29,Lucas Chevalier,Lille,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3
30,Oliver Christensen,Hertha BSC,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7
31,Andrea Consigli,Sassuolo,35,35,3150,35.0,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0
32,Alex Cordaz,Inter,1,0,26,0.3,0,0.00,2,2,100.0,0,0,0,1,0.0,0,0,0,0,0.0
33,Benoit Costil,Auxerre,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0
34,Thibaut Courtois,Real Madrid,31,31,2790,31.0,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20.0
35,Alessio Cragno,Monza,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,0.0
36,Finn Dahmen,Mainz 05,8,8,720,8.0,16,2.00,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7
37,Remy Descamps,Nantes,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,0.0
38,Michele Di Gregorio,Monza,37,37,3330,37.0,49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0,0.0
