,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
57,37,44.1,38.0,19899,2074,6485,9190,4454,549,19893,586,308,52.6,278,47.4,10572,51750,23656,463,407,104,576,470,11346,1151
58,25,71.0,38.0,33628,1767,6970,17205,9719,1255,33620,732,503,68.7,228,31.1,21785,117099,66804,1308,973,331,553,406,26023,2550
59,27,54.7,38.0,25907,2212,6985,12031,7107,895,25904,736,466,63.3,270,36.7,14201,79919,43760,920,695,217,512,399,17639,1547
60,26,57.8,38.0,25443,1958,6985,12861,5929,869,25435,786,534,67.9,252,32.1,16887,87315,45809,947,738,201,548,461,17137,1576
61,36,45.5,38.0,21038,1991,6573,10038,4684,569,21034,623,356,57.1,267,42.9,11876,58611,28287,589,465,111,583,313,12563,1502
62,23,56.0,38.0,25694,2040,7350,12189,6346,831,25688,450,298,66.2,152,33.8,13571,72118,39639,778,557,176,496,389,17977,2008
63,32,50.9,38.0,22769,1938,6057,11653,5301,725,22762,639,351,54.9,289,45.2,12709,67945,38000,735,535,145,592,385,14344,1723
64,23,47.0,38.0,21927,1885,6284,10753,5161,619,21925,623,382,61.3,241,38.7,10798,65719,35037,749,580,138,571,392,13508,1558
65,30,43.7,38.0,20754,2223,6529,9260,5182,624,20749,542,343,63.3,198,36.5,10454,53153,27871,559,484,96,602,459,11702,1387
66,23,63.4,38.0,33098,1826,6441,18565,8313,915,33089,609,348,57.1,260,42.7,20613,92342,53379,971,837,209,472,370,25165,2450
67,27,41.7,38.0,20180,2275,6899,8975,4531,601,20179,535,304,56.8,230,43.0,9949,52745,27557,548,436,121,523,410,10963,1134
68,31,58.1,38.0,27199,2242,8464,14058,4905,689,27190,747,504,67.5,243,32.5,14431,79816,46037,841,544,209,506,428,20102,1617
69,28,66.3,38.0,30058,1874,6979,16329,7012,1152,30049,938,638,68.0,299,31.9,19365,105764,58666,1044,783,267,499,433,23093,2053
70,23,55.0,34.0,22433,1805,5814,11667,5204,786,22428,769,364,47.3,406,52.8,11673,66862,36051,778,535,208,491,421,14222,1578
71,24,60.2,38.0,28115,1889,6969,13215,8217,1223,28106,752,501,66.6,251,33.4,18912,96856,50530,1131,779,312,460,394,20847,2370
72,27,56.5,38.0,24573,2378,7539,11407,5873,827,24568,623,362,58.1,261,41.9,15068,85862,44860,883,644,183,553,447,16851,1595
73,28,49.9,38.0,22282,1780,6011,11258,5245,591,22274,592,352,59.5,239,40.4,11279,60795,31842,619,493,123,636,417,13736,1494
74,27,58.0,38.0,25584,2175,6786,12233,6865,941,25579,681,411,60.4,267,39.2,14368,84671,45187,938,702,215,574,413,17336,1966
75,30,51.3,38.0,23221,2380,7484,11156,4803,629,23210,584,371,63.5,212,36.3,11918,64790,35403,732,458,142,496,489,14957,1539
76,27,53.6,38.0,24318,2316,6862,12086,5636,724,24310,572,357,62.4,215,37.6,12344,66670,35567,614,518,133,568,414,16137,1614
77,28,42.9,38.0,20042,2280,6491,8773,5090,608,20032,538,330,61.3,206,38.3,9904,62924,31172,640,503,141,459,428,11505,1469
