,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
41,David Alaba,AUT,DF,Bayern Munich,de Bundesliga,23.0,1992.0,27.7,2.0,,6.0,,,0.22,,0.33,,0.0,0.0
42,Fabrizio Alastra,ITA,GK,Palermo,it Serie A,17.0,1997.0,1.6,0.0,,0.0,,,0.0,,,,0.0,0.0
43,Jordi Alba,ESP,DF,Barcelona,es La Liga,26.0,1989.0,28.8,0.0,7.0,2.0,28.6,0.24,0.07,0.0,0.0,,0.0,0.0
44,Raúl Albentosa,ESP,DF,Málaga,es La Liga,26.0,1988.0,28.4,2.0,17.0,7.0,41.2,0.6,0.25,0.12,0.29,,0.0,0.0
45,Michelangelo Albertazzi,ITA,DF,Hellas Verona,it Serie A,24.0,1991.0,7.8,0.0,,0.0,,,0.0,,,,0.0,0.0
46,Luis Alberto,ESP,"MF,FW",La Coruña,es La Liga,22.0,1992.0,23.3,6.0,80.0,27.0,33.8,3.43,1.16,0.08,0.22,,0.0,0.0
47,Raúl Albiol,ESP,DF,Napoli,it Serie A,29.0,1985.0,36.0,1.0,,4.0,,,0.11,,0.25,,0.0,0.0
48,Miiko Albornoz,CHL,DF,Hannover 96,de Bundesliga,24.0,1990.0,23.0,0.0,,2.0,,,0.09,,0.0,,0.0,0.0
49,Marc Albrighton,GBR,MF,Leicester City,eng Premier League,25.0,1989.0,30.5,2.0,,11.0,,,0.36,,0.18,,0.0,0.0
50,Paco Alcácer,ESP,FW,Valencia,es La Liga,21.0,1993.0,26.9,13.0,61.0,26.0,42.6,2.27,0.97,0.18,0.42,,2.0,3.0
52,Thiago Alcántara,ESP,MF,Bayern Munich,de Bundesliga,24.0,1991.0,18.3,2.0,,12.0,,,0.66,,0.17,,0.0,0.0
53,Antolín Alcaraz,PRY,DF,Las Palmas,es La Liga,33.0,1982.0,6.0,1.0,2.0,1.0,50.0,0.33,0.17,0.5,1.0,,0.0,0.0
54,Toby Alderweireld,BEL,DF,Tottenham,eng Premier League,26.0,1989.0,38.0,4.0,,14.0,,,0.37,,0.29,,0.0,0.0
