,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
80,Pierluigi Gollini,ITA,GK,Atalanta,it Serie A,21.0,1995.0,4.0,4.0,360.0,4.0,1.0,0.25,12.0,11.0,91.7,3.0,1.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,
81,Heurelho Gomes,BRA,GK,Watford,eng Premier League,35.0,1981.0,38.0,38.0,3337.0,37.1,64.0,1.73,177.0,113.0,65.5,11.0,7.0,19.0,6.0,15.8,4.0,3.0,1.0,0.0,25.0
82,Mathieu Gorgelin,FRA,GK,Lyon,fr Ligue 1,25.0,1990.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,Lee Grant,GBR,GK,Stoke City,eng Premier League,33.0,1983.0,28.0,28.0,2520.0,28.0,34.0,1.21,123.0,89.0,72.4,10.0,8.0,10.0,9.0,32.1,0.0,0.0,0.0,0.0,
84,Théo Guivarch,FRA,GK,Guingamp,fr Ligue 1,20.0,1995.0,1.0,0.0,50.0,0.6,2.0,3.6,4.0,2.0,75.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0
85,Péter Gulácsi,HUN,GK,RB Leipzig,de Bundesliga,26.0,1990.0,33.0,33.0,2970.0,33.0,39.0,1.18,102.0,63.0,64.7,19.0,7.0,7.0,9.0,27.3,5.0,3.0,2.0,0.0,40.0
86,Brad Guzan,USA,GK,Middlesbrough,eng Premier League,31.0,1984.0,10.0,10.0,900.0,10.0,17.0,1.7,53.0,36.0,69.8,2.0,3.0,5.0,3.0,30.0,2.0,1.0,0.0,1.0,0.0
87,Samir Handanović,SVN,GK,Inter,it Serie A,32.0,1984.0,37.0,37.0,3330.0,37.0,47.0,1.27,157.0,110.0,73.2,18.0,5.0,14.0,9.0,24.3,6.0,5.0,1.0,0.0,16.7
88,Martin Hansen,DNK,GK,Ingolstadt 04,de Bundesliga,26.0,1990.0,23.0,23.0,2037.0,22.6,34.0,1.5,98.0,64.0,70.4,8.0,5.0,10.0,3.0,13.0,6.0,5.0,1.0,0.0,16.7
89,Joe Hart,GBR,GK,Torino,it Serie A,29.0,1987.0,36.0,36.0,3240.0,36.0,62.0,1.72,166.0,104.0,66.3,12.0,14.0,10.0,5.0,13.9,6.0,6.0,0.0,0.0,0.0
90,Tom Heaton,GBR,GK,Burnley,eng Premier League,30.0,1986.0,35.0,35.0,3150.0,35.0,48.0,1.37,189.0,141.0,76.7,11.0,7.0,17.0,10.0,28.6,5.0,4.0,1.0,0.0,20.0
91,Wayne Hennessey,GB-WLS,GK,Crystal Palace,eng Premier League,29.0,1987.0,29.0,29.0,2610.0,29.0,46.0,1.59,133.0,87.0,66.9,9.0,3.0,17.0,7.0,24.1,2.0,2.0,0.0,0.0,0.0
92,Iago Herrerín,ESP,GK,Leganés,es La Liga,28.0,1988.0,21.0,21.0,1825.0,20.3,25.0,1.23,66.0,45.0,66.7,4.0,7.0,10.0,6.0,28.6,4.0,3.0,1.0,0.0,25.0
93,Daniel Heuer Fernandes,PRT,GK,Darmstadt 98,de Bundesliga,23.0,1992.0,7.0,6.0,576.0,6.4,13.0,2.03,43.0,30.0,72.1,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
94,Marwin Hitz,CHE,GK,Augsburg,de Bundesliga,28.0,1987.0,32.0,32.0,2880.0,32.0,50.0,1.56,162.0,112.0,71.6,9.0,9.0,14.0,7.0,21.9,5.0,4.0,0.0,1.0,0.0
95,Timo Horn,DEU,GK,Köln,de Bundesliga,23.0,1993.0,20.0,20.0,1800.0,20.0,24.0,1.2,91.0,67.0,76.9,9.0,6.0,5.0,6.0,30.0,3.0,3.0,0.0,0.0,0.0
96,Lukáš Hrádecký,FIN,GK,Eint Frankfurt,de Bundesliga,26.0,1989.0,33.0,33.0,2883.0,32.0,40.0,1.25,111.0,71.0,66.7,10.0,9.0,13.0,10.0,30.3,4.0,3.0,0.0,1.0,0.0
97,Jannik Huth,DEU,GK,Mainz 05,de Bundesliga,22.0,1994.0,7.0,7.0,630.0,7.0,9.0,1.29,26.0,17.0,65.4,2.0,2.0,3.0,2.0,28.6,0.0,0.0,0.0,0.0,
98,Gorka Iraizoz,ESP,GK,Athletic Club,es La Liga,35.0,1981.0,16.0,15.0,1404.0,15.6,21.0,1.35,57.0,39.0,64.9,5.0,3.0,7.0,3.0,20.0,3.0,1.0,2.0,0.0,66.7
99,Eldin Jakupović,CHE,GK,Hull City,eng Premier League,31.0,1984.0,22.0,22.0,1980.0,22.0,36.0,1.64,107.0,71.0,70.1,8.0,4.0,10.0,5.0,22.7,7.0,4.0,2.0,1.0,33.3
100,Rune Jarstein,NOR,GK,Hertha BSC,de Bundesliga,31.0,1984.0,34.0,34.0,3060.0,34.0,47.0,1.38,150.0,103.0,71.3,15.0,4.0,15.0,11.0,32.4,5.0,4.0,1.0,0.0,20.0
101,Karl-Johan Johnsson,SWE,GK,Guingamp,fr Ligue 1,26.0,1990.0,37.0,37.0,3280.0,36.4,51.0,1.4,153.0,102.0,70.6,13.0,8.0,15.0,8.0,21.6,10.0,6.0,2.0,2.0,25.0
102,Geoffrey Jourdren,FRA,GK,Montpellier,fr Ligue 1,30.0,1986.0,13.0,13.0,1170.0,13.0,28.0,2.15,64.0,36.0,60.9,3.0,4.0,6.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0
104,Carlos Kameni,CMR,GK,Málaga,es La Liga,32.0,1984.0,35.0,35.0,3150.0,35.0,48.0,1.37,133.0,92.0,68.4,12.0,8.0,15.0,8.0,22.9,7.0,6.0,1.0,0.0,14.3
105,Loris Karius,DEU,GK,Liverpool,eng Premier League,23.0,1993.0,10.0,10.0,900.0,10.0,12.0,1.2,32.0,20.0,65.6,6.0,3.0,1.0,3.0,30.0,1.0,1.0,0.0,0.0,0.0
106,Orestis Karnezis,GRC,GK,Udinese,it Serie A,31.0,1985.0,33.0,33.0,2958.0,32.9,45.0,1.37,129.0,84.0,70.5,11.0,7.0,15.0,7.0,21.2,8.0,7.0,0.0,1.0,0.0
107,Eiji Kawashima,JPN,GK,Metz,fr Ligue 1,33.0,1983.0,5.0,5.0,450.0,5.0,6.0,1.2,23.0,17.0,73.9,2.0,1.0,2.0,1.0,20.0,1.0,0.0,1.0,0.0,100.0
108,Thomas Kessler,DEU,GK,Köln,de Bundesliga,30.0,1986.0,13.0,13.0,1170.0,13.0,18.0,1.38,64.0,46.0,73.4,3.0,6.0,4.0,3.0,23.1,1.0,1.0,0.0,0.0,0.0
109,Alban Lafont,FRA,GK,Toulouse,fr Ligue 1,17.0,1999.0,36.0,36.0,3240.0,36.0,41.0,1.14,158.0,117.0,79.1,10.0,12.0,14.0,10.0,27.8,9.0,8.0,1.0,0.0,11.1
110,Eugenio Lamanna,ITA,GK,Genoa,it Serie A,26.0,1989.0,21.0,20.0,1883.0,20.9,37.0,1.77,95.0,58.0,62.1,5.0,4.0,12.0,2.0,10.0,3.0,1.0,1.0,1.0,50.0
111,Jean-Louis Leca,FRA,GK,Bastia,fr Ligue 1,30.0,1985.0,34.0,34.0,3017.0,33.5,43.0,1.28,144.0,101.0,72.9,8.0,9.0,16.0,8.0,23.5,8.0,4.0,3.0,1.0,42.9
112,Benjamin Lecomte,FRA,GK,Lorient,fr Ligue 1,25.0,1991.0,31.0,31.0,2790.0,31.0,52.0,1.68,162.0,110.0,69.1,8.0,4.0,19.0,4.0,12.9,4.0,2.0,1.0,1.0,33.3
