,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
420,Anthony Caci,Strasbourg,31.1,2251,84,742,1145,384,16,2251,42,27,64.3,15,35.7,1154,5628,2749,52,37,4,35,16,1260,86
421,Mathieu Cafaro,Reims,23.0,1110,13,180,497,454,44,1110,52,21,40.4,31,59.6,660,4307,2159,61,52,14,57,13,767,111
422,Gary Cahill,Crystal Palace,20.0,938,145,564,334,41,27,938,1,1,100.0,0,0.0,449,2207,997,3,0,0,7,1,529,0
423,Yannick Cahuzac,Lens,25.0,1092,88,249,656,192,22,1092,7,4,57.1,3,42.9,499,2451,1329,28,14,0,18,6,620,50
424,Felipe Caicedo,Lazio,10.3,376,5,25,185,171,50,375,19,9,47.4,10,52.6,206,794,346,6,7,2,27,6,298,57
425,Marc-Aurele Caillard,Metz,4.0,115,107,114,1,0,0,115,0,0,0.0,0,0.0,52,249,177,0,0,0,0,0,32,0
426,Tom Cairney,Fulham,8.4,687,8,86,369,238,14,687,17,16,94.1,1,5.9,469,2272,1035,22,15,4,15,11,567,25
427,Cala,Cádiz,25.2,971,139,503,443,33,20,971,4,4,100.0,0,0.0,425,1868,925,3,4,0,9,2,439,2
428,Arturo Calabresi,Bologna,0.2,7,3,6,1,0,0,7,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0
429,Arturo Calabresi,Cagliari,0.2,21,0,4,5,12,0,21,1,1,100.0,0,0.0,10,69,50,2,1,0,0,0,10,1
430,Davide Calabria,Milan,29.4,2139,114,639,1088,430,34,2139,35,20,57.1,15,42.9,999,4870,2954,60,46,7,29,14,1260,110
431,Riccardo Calafiori,Roma,0.7,55,2,21,23,12,0,55,1,0,0.0,1,100.0,25,156,101,2,0,0,2,1,30,3
432,Mattia Caldara,Atalanta,1.2,77,6,39,36,4,3,77,0,0,0.0,0,0.0,35,155,27,0,0,0,1,1,37,1
433,Luca Caldirola,Benevento,17.5,956,120,496,424,39,14,956,0,0,0.0,0,0.0,508,3327,2305,18,7,0,3,3,592,6
434,Duje Caleta-Car,Marseille,31.3,2192,268,1165,990,42,19,2192,3,2,66.7,1,33.3,1356,5814,3081,13,10,1,7,3,1507,3
435,Hakan Calhanoglu,Milan,29.0,1936,25,172,865,919,73,1935,59,36,61.0,23,39.0,1062,5839,2937,88,70,21,76,35,1373,193
436,Kerim Calhanoglu,Schalke 04,3.3,181,13,69,85,29,2,181,12,6,50.0,6,50.0,88,404,179,2,4,0,4,3,88,13
437,Fabrizio Caligara,Cagliari,2.0,87,7,25,35,27,1,87,3,1,33.3,2,66.7,42,214,63,1,2,0,5,3,51,2
438,Daniel Caligiuri,Augsburg,29.6,1582,64,351,741,521,43,1579,88,61,69.3,27,30.7,823,4891,2278,64,62,10,79,62,873,136
439,Jose Callejon,Fiorentina,7.4,336,8,31,157,152,14,336,9,6,66.7,3,33.3,173,723,376,13,14,0,10,6,232,41
440,Jonathan Calleri,Osasuna,17.2,570,10,35,239,307,89,570,40,17,42.5,22,55.0,291,1452,504,20,16,5,60,30,414,97
442,Dominic Calvert-Lewin,Everton,31.9,1044,44,92,452,508,144,1044,49,22,44.9,27,55.1,530,2945,953,36,23,16,102,29,829,160
443,Dani Calvo,Elche,19.8,924,118,572,334,21,13,924,3,2,66.7,1,33.3,482,2428,1307,2,1,0,6,0,579,2
