Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Leighton Baines,172,GBR,DF,Everton,eng Premier League,34.0,1984.0,8.0,4.0,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.9,0.01,0.18,0.2,0.01,0.2
Stefan Bajic,173,FRA,GK,Saint-Étienne,fr Ligue 1,17.0,2001.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiemoué Bakayoko,174,FRA,MF,Monaco,fr Ligue 1,24.0,1994.0,20.0,20.0,1719.0,19.1,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.05,0.1,0.16,0.05,0.16,2.1,2.1,1.2,3.3,0.11,0.06,0.17,0.11,0.17
Lewis Baker,175,GBR,MF,Düsseldorf,de Bundesliga,24.0,1995.0,8.0,7.0,545.0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,0.09,0.09,0.18,0.09,0.18
Mitchel Bakker,176,NLD,DF,Paris S-G,fr Ligue 1,19.0,2000.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridle Baku,177,DEU,"DF,MF",Mainz 05,de Bundesliga,21.0,1998.0,30.0,26.0,2351.0,26.1,1.0,3.0,1.0,0.0,0.0,5.0,1.0,0.04,0.11,0.15,0.04,0.15,1.0,1.0,3.4,4.5,0.04,0.13,0.17,0.04,0.17
Fabián Balbuena,178,PRY,DF,West Ham,eng Premier League,27.0,1991.0,17.0,13.0,1177.0,13.1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,1.5,1.5,0.5,2.0,0.12,0.03,0.15,0.12,0.15
Keita Baldé,179,SEN,"FW,MF",Monaco,fr Ligue 1,24.0,1995.0,21.0,9.0,858.0,9.5,4.0,1.0,4.0,0.0,0.0,4.0,0.0,0.42,0.1,0.52,0.42,0.52,4.0,4.0,0.7,4.7,0.42,0.07,0.49,0.42,0.49
George Baldock,180,GRC,DF,Sheffield Utd,eng Premier League,26.0,1993.0,38.0,38.0,3420.0,38.0,2.0,3.0,2.0,0.0,0.0,7.0,0.0,0.05,0.08,0.13,0.05,0.13,0.6,0.6,1.7,2.4,0.02,0.05,0.06,0.02,0.06
Gareth Bale,182,GB-WLS,"FW,MF",Real Madrid,es La Liga,30.0,1989.0,16.0,12.0,1089.0,12.1,2.0,2.0,2.0,0.0,0.0,4.0,1.0,0.17,0.17,0.33,0.17,0.33,4.0,4.0,1.7,5.7,0.33,0.14,0.47,0.33,0.47
Mikel Balenziaga,183,ESP,DF,Athletic Club,es La Liga,31.0,1988.0,9.0,6.0,563.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01
Leonardo Balerdi,184,ARG,"DF,MF",Dortmund,de Bundesliga,20.0,1999.0,7.0,1.0,133.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Ballarini,185,ITA,MF,Udinese,it Serie A,18.0,2001.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fodé Ballo-Touré,186,SEN,DF,Monaco,fr Ligue 1,22.0,1997.0,21.0,18.0,1679.0,18.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.5,0.05,0.08,0.13,0.05,0.13
Florent Balmont,187,FRA,MF,Dijon,fr Ligue 1,39.0,1980.0,11.0,4.0,401.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06
Mario Balotelli,188,ITA,FW,Brescia,it Serie A,28.0,1990.0,19.0,16.0,1404.0,15.6,5.0,0.0,5.0,0.0,0.0,6.0,1.0,0.32,0.0,0.32,0.32,0.32,7.1,7.1,0.6,7.8,0.46,0.04,0.5,0.46,0.5
