,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Max Aarons,Bournemouth,12,950,79,88.0,10.6,11,86,8,1,5,0,0.75,9,24,-15,-1.42,-0.73,10.6,21.2,-10.6,-1.00,-1.14
1,Brenden Aaronson,Union Berlin,8,288,36,29.1,3.2,4,50,0,4,22,2,0.75,4,7,-3,-0.94,+0.60,2.8,4.7,-1.9,-0.59,-0.27
2,Paxten Aaronson,Eint Frankfurt,5,45,9,4.5,0.5,0,0.0,0,5,9,4,1.20,2,1,+1,+2.00,+1.52,0.8,1.4,-0.6,-1.12,-1.27
3,James Abankwah,Udinese,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Yunis Abdelhamid,Reims,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,1.67,17,15,+2,+0.17,0.0,15.4,13.5,+2.0,+0.17,0.0
5,Salis Abdul Samed,Lens,12,844,70,78.1,9.4,9,85,8,3,26,0,1.33,11,11,0,0.00,0.00,15.3,10.6,+4.7,+0.50,+0.80
6,Nabil Aberdin,Getafe,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Laurent Abergel,Lorient,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,0.92,15,21,-6,-0.50,0.0,9.9,18.1,-8.1,-0.68,0.0
8,Matthis Abline,Rennes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Matthis Abline,Nantes,6,319,53,29.5,3.5,4,64,0,2,31,1,1.50,6,5,+1,+0.28,+1.11,6.0,3.7,+2.3,+0.65,+1.70
10,Abner,Betis,9,522,58,44.6,5.8,5,83,4,4,26,4,1.56,9,7,+2,+0.34,+0.48,6.1,8.7,-2.5,-0.43,-0.84
11,Zakaria Aboukhlal,Toulouse,5,376,75,34.8,4.2,4,86,1,1,32,0,1.20,4,5,-1,-0.24,+0.02,3.4,8.1,-4.7,-1.12,-0.36
12,Abdel Abqar,Alavés,10,899,90,76.8,10.0,10,90,9,0,0.0,2,0.80,9,15,-6,-0.60,-0.27,12.1,13.4,-1.4,-0.14,-1.08
13,Francesco Acerbi,Inter,9,810,90,75.0,9.0,9,90,9,0,0.0,1,2.44,21,6,+15,+1.67,-1.00,17.3,6.5,+10.8,+1.20,-0.62
14,Marcos Acuna,Sevilla,7,411,59,38.1,4.6,6,66,2,1,16,1,0.57,6,11,-5,-1.09,-1.90,4.5,6.9,-2.4,-0.53,-0.21
15,Benie Adama Traore,Sheffield Utd,6,325,54,30.1,3.6,3,86,1,3,23,6,0.17,2,9,-7,-1.94,-0.27,2.4,9.5,-7.1,-1.97,-0.85
16,Marius Adamonis,Lazio,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Akor Adams,Montpellier,11,874,79,88.3,9.7,11,79,5,0,0.0,0,1.18,15,12,+3,+0.31,+1.86,14.3,10.9,+3.4,+0.35,+0.72
18,Junior Adamu,Freiburg,7,77,11,7.8,0.9,0,0.0,0,7,11,1,1.00,0,3,-3,-3.51,-3.01,0.3,2.1,-1.8,-2.08,-2.11
19,Sargis Adamyan,Köln,5,142,28,14.3,1.6,0,0.0,0,5,28,2,0.20,1,4,-3,-1.90,-0.73,2.1,2.1,0.0,0.00,+1.09
20,Tosin Adarabioyo,Fulham,1,2,2,0.2,0.0,0,0.0,0,1,2,0,1.00,0,0,0,0.00,+0.83,0.2,0.7,-0.5,-21.66,-20.90
21,Elijah Adebayo,Luton Town,12,388,32,35.9,4.3,4,67,0,8,15,0,0.50,5,8,-3,-0.70,+0.47,5.6,7.1,-1.5,-0.34,+1.01
22,Val Adedokun,Brentford,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Karim Adeyemi,Dortmund,9,323,36,32.6,3.6,3,55,0,6,26,2,1.67,8,7,+1,+0.28,-0.13,7.1,7.6,-0.4,-0.12,-0.33
24,Simon Adingra,Brighton,11,666,61,61.7,7.4,7,86,3,4,17,1,1.45,15,14,+1,+0.14,-0.52,11.4,9.6,+1.7,+0.23,-0.21
26,Amine Adli,Leverkusen,8,154,19,15.6,1.7,1,59,0,7,14,0,2.75,6,2,+4,+2.34,+0.18,4.4,1.7,+2.7,+1.56,+0.54
27,Yacine Adli,Milan,5,295,59,27.3,3.3,4,63,0,1,45,7,1.80,3,2,+1,+0.31,-0.27,4.3,2.7,+1.6,+0.48,+0.28
28,Adrian,Liverpool,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Adson,Nantes,7,206,29,19.1,2.3,2,61,0,5,17,0,1.00,2,6,-4,-1.75,-1.54,2.7,5.3,-2.5,-1.10,-0.67
30,Michel Aebischer,Bologna,12,960,80,88.9,10.7,11,85,7,1,23,0,1.50,10,10,0,0.00,-2.25,10.8,10.4,+0.4,+0.04,-1.66
31,Emmanuel Agbadou,Reims,10,694,69,64.3,7.7,8,86,7,2,3,1,2.00,11,8,+3,+0.39,+0.62,10.7,8.9,+1.8,+0.24,+0.20
32,Julen Agirrezabala,Athletic Club,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Lucien Agoume,Inter,1,5,5,0.5,0.1,0,0.0,0,1,5,10,3.00,1,0,+1,+18.00,+16.16,0.3,0.0,+0.3,+5.27,+3.93
34,Felix Agu,Werder Bremen,1,2,2,0.2,0.0,0,0.0,0,1,2,5,3.00,0,0,0,0.00,+0.36,0.1,0.1,0.0,+0.09,+0.51
35,Nayef Aguerd,West Ham,11,966,88,89.4,10.7,11,88,10,0,0.0,0,1.27,17,21,-4,-0.37,-2.74,13.7,20.6,-7.0,-0.65,-2.47
36,Ruben Aguilar,Lens,7,602,86,55.7,6.7,7,86,6,0,0.0,1,2.00,9,3,+6,+0.90,+2.03,12.7,6.2,+6.5,+0.97,+1.46
37,Ruben Aguilar,Monaco,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Brandon Aguilera,Nott'ham Forest,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Naouirou Ahamada,Crystal Palace,6,82,14,7.6,0.9,0,0.0,0,6,14,3,0.67,3,2,+1,+1.10,+1.55,1.4,2.7,-1.3,-1.43,-1.31
40,Anel Ahmedhodzic,Sheffield Utd,8,720,90,66.7,8.0,8,90,8,0,0.0,0,0.13,6,22,-16,-2.00,-0.75,6.1,19.6,-13.5,-1.69,-0.94
41,Jean-Eudes Aholou,Strasbourg,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Joseph Aidoo,Celta Vigo,6,407,68,34.8,4.5,4,90,4,2,24,3,0.83,3,6,-3,-0.66,+0.16,5.3,7.0,-1.7,-0.38,-0.21
43,Ola Aina,Nott'ham Forest,9,628,70,58.1,7.0,8,78,2,1,3,0,0.89,8,13,-5,-0.72,-0.92,5.9,11.8,-5.9,-0.85,-0.94
44,Rayan Ait Nouri,Wolves,12,870,73,80.6,9.7,11,75,3,1,45,0,1.25,11,15,-4,-0.41,-0.41,11.7,14.0,-2.3,-0.24,+0.09
45,Tosin Aiyegun,Lorient,6,451,75,41.8,5.0,5,84,2,1,29,0,0.83,9,13,-4,-0.80,-0.51,4.7,7.0,-2.3,-0.46,+0.37
46,Kristoffer Ajer,Brentford,10,636,64,58.9,7.1,7,85,3,3,14,1,1.50,13,12,+1,+0.14,-0.06,14.8,10.1,+4.6,+0.66,+0.41
47,Ludovic Ajorque,Mainz 05,9,518,58,52.3,5.8,6,78,4,3,16,1,0.67,6,14,-8,-1.39,-0.44,5.8,9.2,-3.4,-0.59,-0.12
48,Manuel Akanji,Manchester City,9,809,90,74.9,9.0,9,90,8,0,0.0,1,2.44,27,10,+17,+1.89,+0.89,16.4,9.1,+7.4,+0.82,-1.17
49,Marley Ake,Udinese,1,10,10,0.9,0.1,0,0.0,0,1,10,11,1.00,0,0,0,0.00,+0.59,0.0,0.5,-0.5,-4.40,-4.50
50,Nathan Ake,Manchester City,9,553,61,51.2,6.1,6,86,4,3,12,2,2.33,17,6,+11,+1.79,+0.25,11.2,4.8,+6.4,+1.04,-0.14
52,Ilias Akhomach,Villarreal,9,323,36,27.6,3.6,2,76,0,7,25,3,1.11,5,9,-4,-1.11,-0.90,5.0,9.3,-4.3,-1.20,-0.92
53,Sergio Akieme,Almería,10,900,90,76.9,10.0,10,90,10,0,0.0,1,0.30,11,23,-12,-1.20,+1.47,14.0,18.5,-4.4,-0.44,+0.21
54,Maghnes Akliouche,Monaco,10,350,35,32.4,3.9,3,68,0,7,21,1,2.30,7,3,+4,+1.03,+0.17,5.5,3.5,+2.0,+0.50,+0.10
55,Paul Akouokou,Betis,2,27,14,2.3,0.3,0,0.0,0,2,14,1,1.50,1,1,0,0.00,-0.08,0.5,0.7,-0.2,-0.54,-0.58
56,Paul Akouokou,Lyon,3,171,57,17.3,1.9,3,57,0,0,0.0,2,0.33,0,2,-2,-1.05,-0.17,1.6,2.8,-1.2,-0.62,-0.09
57,Jean-Daniel Akpa-Akpro,Monza,3,17,6,1.6,0.2,0,0.0,0,3,6,6,2.33,0,1,-1,-5.29,-5.55,0.2,0.3,-0.1,-0.75,-0.77
58,Kevin Akpoguma,Hoffenheim,7,428,61,43.2,4.8,4,89,3,3,24,2,1.86,10,9,+1,+0.21,-0.11,8.1,8.5,-0.4,-0.09,-0.07
59,David Alaba,Real Madrid,11,940,85,80.3,10.4,11,85,10,0,0.0,0,2.36,19,9,+10,+0.96,-2.56,17.7,11.4,+6.2,+0.60,-0.88
60,Sofiane Alakouch,Metz,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Luis Alberto,Lazio,12,1009,84,93.4,11.2,12,84,9,0,0.0,0,1.42,11,12,-1,-0.09,-1.36,11.5,11.5,-0.1,-0.01,-1.58
62,Raul Albiol,Villarreal,11,886,81,75.7,9.8,10,86,8,1,24,2,1.09,12,18,-6,-0.61,-0.61,11.9,18.9,-6.9,-0.70,-0.72
63,Ruben Alcaraz,Cádiz,11,900,82,83.3,10.0,11,82,6,0,0.0,0,0.91,10,10,0,0.00,+3.50,8.9,12.9,-4.0,-0.40,+1.10
64,Omar Alderete,Getafe,8,524,66,44.8,5.8,5,81,4,3,40,3,1.22,9,7,+2,+0.34,+0.90,7.8,7.8,0.0,+0.01,+0.54
65,Ivan Alejo,Cádiz,11,723,66,66.9,8.0,10,68,1,1,45,0,0.91,8,9,-1,-0.12,+1.39,7.8,9.9,-2.2,-0.27,+0.94
66,Carles Alena,Getafe,12,544,45,46.5,6.0,7,61,0,5,23,0,1.23,10,12,-2,-0.33,-0.33,8.9,10.7,-1.9,-0.31,-0.04
67,Filippo Alessio,Roma,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Trent Alexander-Arnold,Liverpool,10,777,78,71.9,8.6,9,84,4,1,17,0,2.10,20,7,+13,+1.51,+0.32,19.3,9.8,+9.5,+1.10,+0.37
69,Mohamed Ali Cho,Real Sociedad,10,242,24,20.7,2.7,1,90,1,9,17,2,1.60,5,7,-2,-0.74,-1.62,5.0,4.0,+1.0,+0.37,+0.24
70,Yanis Ali Issoufou,Montpellier,1,13,13,1.3,0.1,0,0.0,0,1,13,2,0.00,0,0,0,0.00,-0.09,0.0,0.0,0.0,0.0,0.0
71,Faride Alidou,Köln,8,245,31,24.7,2.7,1,61,0,7,26,1,0.63,2,8,-6,-2.20,-1.24,4.1,6.6,-2.5,-0.93,+0.01
72,Nabil Alioui,Le Havre,12,816,68,75.6,9.1,11,71,0,1,32,0,1.25,8,11,-3,-0.33,-1.01,9.5,12.2,-2.7,-0.30,+0.80
73,Alisson,Liverpool,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,2.25,27,10,+17,+1.42,0.0,26.5,14.5,+12.0,+1.00,0.0
74,Jim Allevinah,Clermont Foot,11,790,72,79.8,8.8,9,82,1,2,28,0,0.82,7,8,-1,-0.11,+2.14,8.8,11.7,-2.8,-0.32,+0.74
75,Teo Allix,Montpellier,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Pasquale Allocca,Salernitana,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Domingos Andre Ribeiro Almeida,Valencia,8,479,60,40.9,5.3,6,66,0,2,41,0,1.25,7,6,+1,+0.19,+0.58,5.2,6.3,-1.1,-0.22,-0.48
79,Iker Almena,Girona,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Miguel Almiron,Newcastle Utd,12,748,62,69.3,8.3,10,72,1,2,15,0,1.67,17,8,+9,+1.08,-0.27,15.8,9.4,+6.4,+0.78,-0.22
81,Pontus Almqvist,Lecce,11,917,83,84.9,10.2,11,83,6,0,0.0,0,1.18,11,10,+1,+0.10,+2.31,9.1,14.4,-5.2,-0.51,+0.44
82,Marcos Alonso,Barcelona,4,162,41,13.8,1.8,2,68,1,2,14,7,3.00,6,4,+2,+1.11,+0.13,4.3,2.5,+1.7,+0.97,-0.06
83,Adria Altimira,Villarreal,4,281,70,24.0,3.1,3,81,2,1,37,4,1.00,5,8,-3,-0.96,-0.66,5.2,8.5,-3.3,-1.06,-0.69
84,Sergi Altimira,Betis,3,94,31,8.0,1.0,1,90,1,2,2,8,2.00,0,5,-5,-4.79,-5.29,0.8,3.0,-2.1,-2.03,-2.24
85,Edson Alvarez,West Ham,10,759,76,70.3,8.4,9,83,5,1,10,0,1.60,15,15,0,0.00,+0.28,12.4,15.5,-3.1,-0.36,+0.08
86,Gaston Alvarez,Getafe,11,903,82,77.2,10.0,10,90,10,1,3,1,1.36,9,11,-2,-0.20,-0.20,11.9,13.7,-1.9,-0.18,+0.45
87,Hugo Alvarez,Celta Vigo,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Julian Alvarez,Manchester City,12,985,82,91.2,10.9,12,82,5,0,0.0,0,2.33,28,9,+19,+1.74,+0.79,22.6,9.0,+13.6,+1.25,+1.52
89,Yeray Alvarez,Athletic Club,5,185,37,15.8,2.1,2,49,1,3,29,0,2.00,4,5,-1,-0.49,-1.31,3.4,3.0,+0.4,+0.20,-0.56
90,Skelly Alvero,Lyon,6,319,53,32.2,3.5,4,71,2,2,18,1,1.00,4,5,-1,-0.28,+0.93,5.2,4.3,+0.8,+0.24,+1.16
91,Steven Alzate,Brighton,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Papa Amadou Diallo,Metz,3,157,52,14.5,1.7,2,73,0,1,11,5,1.33,2,2,0,0.00,+0.59,1.7,2.6,-0.9,-0.50,+0.33
93,Selim Amallah,Valencia,8,347,43,29.7,3.9,5,56,1,3,23,0,1.50,3,4,-1,-0.26,-0.15,3.1,2.6,+0.5,+0.13,+0.09
94,Amath,Mallorca,9,260,29,24.1,2.9,2,52,0,7,22,3,0.78,3,3,0,0.00,+0.66,4.7,4.6,+0.1,+0.04,+0.48
95,Lorenzo Amatucci,Fiorentina,1,16,16,1.5,0.2,0,0.0,0,1,16,8,0.00,0,0,0,0.00,-0.34,0.1,0.1,0.0,-0.19,+0.11
96,Jordan Amavi,Brest,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Zeki Amdouni,Burnley,11,739,67,68.4,8.2,11,67,0,0,0.0,1,0.36,6,18,-12,-1.46,+0.91,5.8,15.2,-9.4,-1.14,-0.42
98,Bruno Amione,Hellas Verona,5,264,53,24.4,2.9,4,65,1,1,3,7,0.80,1,5,-4,-1.36,-0.81,1.4,4.5,-3.1,-1.06,-0.32
99,Michael Amir Murillo,Marseille,4,230,58,23.2,2.6,2,90,2,2,25,2,0.75,5,5,0,0.00,+0.12,5.1,1.8,+3.3,+1.29,+0.75
100,Nadiem Amiri,Leverkusen,4,9,2,0.9,0.1,0,0.0,0,4,2,7,2.50,0,0,0,0.00,-2.20,0.0,0.4,-0.4,-2.95,-4.10
101,Jordan Amissah,Sheffield Utd,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Sofyan Amrabat,Manchester Utd,5,313,63,29.0,3.5,4,78,2,1,2,2,1.80,2,4,-2,-0.58,-0.46,3.5,4.8,-1.3,-0.38,-0.37
104,Sofyan Amrabat,Fiorentina,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Ayoub Amraoui,Nice,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Joseph Anang,West Ham,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Joachim Andersen,Crystal Palace,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,1.25,12,16,-4,-0.33,0.0,14.2,16.7,-2.6,-0.21,0.0
108,Elliot Anderson,Newcastle Utd,9,411,46,38.1,4.6,4,83,2,5,16,0,1.78,13,5,+8,+1.75,+0.94,10.3,4.3,+6.0,+1.31,+0.75
109,Felipe Anderson,Lazio,12,887,74,82.1,9.9,11,77,3,1,36,0,1.42,11,9,+2,+0.20,+1.14,10.3,7.6,+2.7,+0.27,+0.98
110,Benjamin Andre,Lille,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,1.67,15,11,+4,+0.33,0.0,16.0,10.0,+6.0,+0.50,0.0
111,Komnen Andric,Clermont Foot,4,126,32,12.7,1.4,1,67,0,3,20,2,0.25,1,2,-1,-0.71,-0.19,2.1,3.5,-1.3,-0.95,-0.55
112,Robert Andrich,Leverkusen,8,156,20,15.8,1.7,1,45,0,7,16,3,2.75,5,1,+4,+2.31,+0.15,3.1,2.0,+1.1,+0.65,-0.54
113,Miguel Angel Rubio,Granada,7,559,80,47.8,6.2,6,86,5,1,45,1,0.71,10,14,-4,-0.64,+0.53,7.4,12.9,-5.5,-0.89,-0.16
114,Spyridon Angelidis,Werder Bremen,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Fabrizio Angileri,Getafe,3,74,25,6.3,0.8,1,64,0,2,5,8,2.00,4,4,0,0.00,+0.16,1.3,0.8,+0.4,+0.53,+0.87
116,Jaidon Anthony,Bournemouth,3,152,51,14.1,1.7,2,61,0,1,31,0,0.33,1,5,-4,-2.37,-1.20,0.6,4.4,-3.8,-2.27,-1.63
117,Jacopo Antolini,Torino,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Waldemar Anton,Stuttgart,11,990,90,100.0,11.0,11,90,11,0,0.0,0,2.18,29,14,+15,+1.36,0.0,26.7,11.2,+15.5,+1.41,0.0
119,Jose Antonio,Cádiz,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Michail Antonio,West Ham,12,813,68,75.3,9.0,11,73,0,1,12,0,1.42,16,13,+3,+0.33,+1.68,13.3,16.4,-3.1,-0.34,+0.19
121,Antony,Manchester Utd,9,489,54,45.3,5.4,6,72,0,3,19,0,2.00,8,5,+3,+0.55,+1.47,9.8,7.9,+1.9,+0.35,+0.85
122,Christopher Antwi-Adjei,Bochum,9,424,47,42.8,4.7,3,77,1,6,32,1,0.56,3,13,-10,-2.12,-1.49,6.6,12.6,-6.0,-1.28,-1.32
123,Houssem Aouar,Roma,9,420,47,38.9,4.7,5,70,1,4,18,2,1.44,8,5,+3,+0.64,-0.04,9.2,3.5,+5.7,+1.22,+1.25
124,Arvin Appiah,Almería,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Stredair Appuah,Nantes,1,26,26,2.4,0.3,0,0.0,0,1,26,4,0.00,0,2,-2,-6.92,-6.58,0.9,1.5,-0.5,-1.85,-1.33
126,Ylies Aradj,Toulouse,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Mauro Arambarri,Getafe,7,339,48,29.0,3.8,3,70,1,4,32,0,1.00,4,6,-2,-0.53,-0.53,3.2,4.6,-1.4,-0.38,-0.13
128,Jon Aramburu,Real Sociedad,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Mattia Aramu,Genoa,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Julian Araujo,Las Palmas,11,591,54,50.5,6.6,6,76,4,5,27,1,1.27,3,7,-4,-0.61,-1.08,4.8,8.2,-3.4,-0.52,-0.54
132,Ronald Araujo,Barcelona,8,573,72,49.0,6.4,5,90,5,3,41,1,1.88,12,6,+6,+0.94,-0.11,11.8,6.4,+5.4,+0.85,-0.33
133,Matias Arbol,Sevilla,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
