,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,28.0,25.0,2184.0,24.3,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,3.1,3.1,2.1,5.2,46.0,92.0,86.0,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,4.0,1.0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,11.0,6.0,517.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,9.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,17.0,11.0,1057.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,20.0,81.0,65.0,0.09,0.0,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,8.0,6.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,1.0,1.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,19.0,14.0,1176.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.3,1.3,20.0,49.0,14.0,0.0,0.08,0.08,0.0,0.08,0.07,0.02,0.1,0.07,0.1
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,27.0,27.0,2302.0,25.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.7,1.1,17.0,103.0,7.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,31.0,15.0,1726.0,19.2,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,6.8,6.8,1.6,8.4,19.0,20.0,104.0,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,12.0,11.0,850.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.7,8.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.7,1.7,35.0,141.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,22.0,9.0,951.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.4,0.4,0.6,1.0,24.0,60.0,24.0,0.09,0.0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,11.0,5.0,411.0,4.6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6,0.9,1.2,2.1,6.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.63,0.19,0.46
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,30.0,2700.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.02,0.02,0.0,0.02
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,31.0,20.0,1835.0,20.4,2.0,0.0,2.0,1.0,1.0,2.0,10.0,0.0,2.8,1.3,1.6,2.9,82.0,61.0,156.0,0.1,0.0,0.1,0.05,0.05,0.14,0.08,0.22,0.06,0.14
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,34.0,32.0,2921.0,32.5,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.2,0.9,6.0,51.0,1.0,0.0,0.03,0.03,0.0,0.03,0.02,0.01,0.03,0.02,0.03
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,19.0,1998.0,16.0,14.0,1220.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,1.1,1.9,31.0,42.0,54.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14
17,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
18,Yacine Adli,fr FRA,FW,Paris S-G,Ligue 1,17.0,2000.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,Serie A,23.0,1993.0,23.0,18.0,1674.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.7,2.2,25.0,58.0,56.0,0.0,0.05,0.05,0.0,0.05,0.03,0.09,0.12,0.03,0.12
20,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,36.0,1981.0,33.0,21.0,2152.0,23.9,9.0,1.0,10.0,6.0,3.0,5.0,5.0,0.0,11.1,7.6,1.5,9.0,27.0,45.0,150.0,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,31.0,1986.0,6.0,1.0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Benik Afobe,cd COD,FW,Bournemouth,Premier League,24.0,1993.0,17.0,5.0,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.8,12.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.3,0.27,0.3
24,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,21.0,1996.0,21.0,20.0,1828.0,20.3,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.5,1.6,24.0,48.0,54.0,0.0,0.2,0.2,0.0,0.2,0.0,0.08,0.08,0.0,0.08
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,30.0,1987.0,11.0,2.0,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.2,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,29.0,1988.0,25.0,22.0,1963.0,21.8,21.0,6.0,27.0,17.0,4.0,4.0,2.0,0.0,16.2,13.1,5.6,18.7,89.0,49.0,214.0,0.96,0.28,1.24,0.78,1.05,0.75,0.26,1.0,0.6,0.86
28,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,24.0,1993.0,31.0,27.0,2459.0,27.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,3.7,4.4,97.0,130.0,160.0,0.0,0.07,0.07,0.0,0.07,0.03,0.13,0.16,0.03,0.16
29,Matías Aguirregaray,uy URU,DF,Las Palmas,La Liga,28.0,1989.0,15.0,14.0,1153.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.6,1.2,23.0,57.0,49.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,23.0,1994.0,35.0,35.0,3006.0,33.4,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.2,2.2,1.0,3.3,32.0,131.0,22.0,0.15,0.0,0.15,0.15,0.15,0.07,0.03,0.1,0.07,0.1
31,Ailton,br BRA,"DF,MF",Stuttgart,Bundesliga,22.0,1995.0,5.0,1.0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14
32,Youssef Aït Bennasser,ma MAR,MF,Caen,Ligue 1,21.0,1996.0,27.0,25.0,2047.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.7,1.5,37.0,178.0,27.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
33,Arlind Ajeti,al ALB,DF,Crotone,Serie A,23.0,1993.0,21.0,15.0,1271.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,2.0,20.0,0.0,0.0,0.07,0.07,0.0,0.07,0.07,0.07,0.14,0.07,0.14
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,22.0,1995.0,11.0,10.0,904.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,15.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
35,Nathan Aké,nl NED,DF,Bournemouth,Premier League,22.0,1995.0,38.0,37.0,3353.0,37.3,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.4,1.4,1.9,3.4,14.0,96.0,10.0,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09
36,Ager Aketxe,es ESP,MF,Athletic Club,La Liga,23.0,1993.0,3.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15
37,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,22.0,1995.0,22.0,13.0,1102.0,12.2,5.0,0.0,5.0,5.0,0.0,1.0,2.0,0.0,4.7,4.0,1.0,4.9,27.0,35.0,75.0,0.41,0.0,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.4
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,22.0,1995.0,22.0,17.0,1690.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.4,1.6,23.0,85.0,8.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09
