,Squad,Comp,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90
0,Alavés,La Liga,25.0,25.4,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,300.0,114.0,19.0,150.0,1.45,41.0,43.0,-2.0,-0.05
1,Angers,Ligue 1,29.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,151.0,1.21,40.0,49.0,-9.0,-0.24
2,Arsenal,Premier League,29.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,155.0,1.97,77.0,44.0,33.0,0.87
3,Atalanta,Serie A,32.0,25.2,38.0,3420.0,90.0,100.0,38.0,417.0,,,110.0,0.0,337.0,1.89,62.0,41.0,21.0,0.55
4,Athletic Club,La Liga,25.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,302.0,114.0,22.0,151.0,1.66,53.0,43.0,10.0,0.26
5,Atlético Madrid,La Liga,22.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,307.0,109.0,26.0,156.0,2.05,70.0,27.0,43.0,1.13
6,Augsburg,Bundesliga,28.0,27.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,137.0,1.12,35.0,51.0,-16.0,-0.47
7,Barcelona,La Liga,25.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,323.0,94.0,25.0,172.0,2.37,116.0,37.0,79.0,2.08
8,Bastia,Ligue 1,29.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,102.0,0.0,162.0,0.89,29.0,54.0,-25.0,-0.66
9,Bayern Munich,Bundesliga,22.0,28.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,99.0,0.0,139.0,2.41,89.0,22.0,67.0,1.97
10,Betis,La Liga,27.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,305.0,111.0,23.0,154.0,1.03,41.0,64.0,-23.0,-0.61
11,Bologna,Serie A,28.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,325.0,1.08,40.0,58.0,-18.0,-0.47
12,Bordeaux,Ligue 1,27.0,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,160.0,1.55,53.0,43.0,10.0,0.26
13,Bournemouth,Premier League,27.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,156.0,1.21,55.0,67.0,-12.0,-0.32
14,Burnley,Premier League,27.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,105.0,0.0,161.0,1.05,39.0,55.0,-16.0,-0.42
15,Caen,Ligue 1,27.0,28.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,101.0,0.0,164.0,0.97,36.0,65.0,-29.0,-0.76
16,Cagliari,Serie A,34.0,28.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,257.0,1.24,55.0,76.0,-21.0,-0.55
17,Celta Vigo,La Liga,27.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,298.0,113.0,20.0,152.0,1.18,53.0,69.0,-16.0,-0.42
18,Chelsea,Premier League,24.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,152.0,2.45,85.0,33.0,52.0,1.37
19,Chievo,Serie A,29.0,31.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,319.0,1.13,43.0,61.0,-18.0,-0.47
20,Crotone,Serie A,31.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,329.0,0.89,34.0,58.0,-24.0,-0.63
21,Crystal Palace,Premier League,31.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,156.0,1.08,50.0,63.0,-13.0,-0.34
22,Darmstadt 98,Bundesliga,31.0,27.6,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,137.0,0.74,28.0,63.0,-35.0,-1.03
23,Dijon,Ligue 1,27.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,157.0,0.97,46.0,58.0,-12.0,-0.32
24,Dortmund,Bundesliga,27.0,25.3,34.0,3060.0,90.0,100.0,34.0,374.0,,,102.0,0.0,136.0,1.88,72.0,40.0,32.0,0.94
25,Eibar,La Liga,24.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,299.0,112.0,21.0,152.0,1.42,56.0,51.0,5.0,0.13
26,Eint Frankfurt,Bundesliga,26.0,25.9,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,138.0,1.24,36.0,43.0,-7.0,-0.21
27,Empoli,Serie A,29.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,334.0,0.84,29.0,61.0,-32.0,-0.84
28,Espanyol,La Liga,27.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,312.0,105.0,22.0,161.0,1.47,49.0,50.0,-1.0,-0.03
29,Everton,Premier League,27.0,27.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,158.0,1.61,62.0,44.0,18.0,0.47
30,Fiorentina,Serie A,30.0,27.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,325.0,1.58,63.0,57.0,6.0,0.16
31,Freiburg,Bundesliga,25.0,24.7,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,137.0,1.41,42.0,60.0,-18.0,-0.53
32,Genoa,Serie A,33.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,329.0,0.95,38.0,64.0,-26.0,-0.68
33,Granada,La Liga,35.0,24.7,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,303.0,111.0,25.0,155.0,0.53,30.0,82.0,-52.0,-1.37
34,Guingamp,Ligue 1,25.0,27.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,159.0,1.32,46.0,53.0,-7.0,-0.18
