,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
2582,Fábio Silva,pt POR,FW,Wolves,Premier League,19.0,2002.0,6.4,201.0,1.0,11.0,92.0,102.0,37.0,201.0,19.0,7.0,36.8,12.0,63.2,97.0,668.0,417.0,14.0,13.0,4.0,18.0,14.0,143.0,41.0
2583,Gabriel Silva,br BRA,"DF,MF",Saint-Étienne,Ligue 1,30.0,1991.0,7.9,426.0,24.0,125.0,238.0,67.0,1.0,426.0,4.0,0.0,0.0,4.0,100.0,186.0,1010.0,422.0,6.0,7.0,0.0,8.0,3.0,194.0,17.0
2584,Jonathan Silva,ar ARG,"DF,FW",Getafe,La Liga,27.0,1994.0,2.5,132.0,5.0,41.0,48.0,43.0,2.0,132.0,1.0,1.0,100.0,0.0,0.0,66.0,291.0,177.0,5.0,4.0,1.0,2.0,4.0,67.0,9.0
2585,Rui Silva,pt POR,GK,Betis,La Liga,27.0,1994.0,21.8,775.0,655.0,771.0,4.0,0.0,0.0,775.0,0.0,0.0,,0.0,,374.0,1951.0,1188.0,0.0,0.0,0.0,2.0,0.0,291.0,0.0
2586,Thiago Silva,br BRA,DF,Chelsea,Premier League,36.0,1984.0,29.4,2902.0,363.0,1255.0,1571.0,84.0,24.0,2902.0,7.0,6.0,85.7,1.0,14.3,1846.0,9914.0,6409.0,14.0,24.0,0.0,7.0,3.0,2168.0,2.0
2587,Marco Silvestri,it ITA,GK,Udinese,Serie A,30.0,1991.0,35.0,1021.0,914.0,1018.0,3.0,0.0,0.0,1021.0,0.0,0.0,,0.0,,486.0,2632.0,1798.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0
2588,Mohamed Simakan,fr FRA,DF,RB Leipzig,Bundesliga,21.0,2000.0,22.3,1638.0,138.0,728.0,822.0,105.0,26.0,1638.0,24.0,16.0,66.7,8.0,33.3,949.0,4599.0,2329.0,19.0,18.0,0.0,24.0,8.0,1091.0,10.0
2589,Giovanni Simeone,ar ARG,FW,Hellas Verona,Serie A,26.0,1995.0,29.5,1099.0,28.0,94.0,458.0,563.0,142.0,1098.0,61.0,23.0,37.7,37.0,60.7,653.0,2966.0,949.0,40.0,34.0,16.0,136.0,80.0,862.0,259.0
2590,Giovanni Simeone,ar ARG,FW,Cagliari,Serie A,26.0,1995.0,0.1,5.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,,0.0,,4.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
2591,Giuliano Simeone,ar ARG,MF,Atlético Madrid,La Liga,18.0,2002.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,,0.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2592,Ellis Simms,eng ENG,FW,Everton,Premier League,20.0,2001.0,0.7,18.0,2.0,3.0,10.0,5.0,0.0,18.0,0.0,0.0,,0.0,,3.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,13.0,2.0
