,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,32.0,0.0,13.0,2.0,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,33.1,2.0,18.0,6.0,33.3,0.54,0.18,0.11,0.33,18.3,0.0,0.0,0.0,1.2,1.2,0.07,0.8,0.8
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,27.4,1.0,18.0,5.0,27.8,0.66,0.18,0.06,0.2,21.5,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,32.8,0.0,29.0,7.0,24.1,0.88,0.21,0.0,0.0,24.2,0.0,0.0,0.0,1.5,1.5,0.05,-1.5,-1.5
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,8.1,0.0,18.0,4.0,22.2,2.23,0.5,0.0,0.0,16.7,0.0,0.0,0.0,1.8,1.8,0.1,-1.8,-1.8
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,1.1,0.0,2.0,0.0,0.0,1.75,0.0,0.0,,9.5,0.0,0.0,0.0,0.3,0.3,0.14,-0.3,-0.3
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,34.3,17.0,92.0,35.0,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3.0,3.0,20.7,18.4,0.2,-3.7,-4.4
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,6.2,0.0,2.0,0.0,0.0,0.32,0.0,0.0,,9.0,0.0,0.0,0.0,0.3,0.3,0.14,-0.3,-0.3
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,28.2,4.0,15.0,7.0,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0.0,0.0,2.4,2.4,0.16,1.6,1.6
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,Bundesliga,23.0,1998.0,2.9,0.0,10.0,2.0,20.0,3.47,0.69,0.0,0.0,16.1,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4
11,Mohamed Achi,fr FRA,MF,Nantes,Ligue 1,19.0,2002.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
12,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29.0,1991.0,25.1,1.0,16.0,5.0,31.3,0.64,0.2,0.06,0.2,21.7,1.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2
13,Che Adams,sct SCO,FW,Southampton,Premier League,25.0,1996.0,22.7,7.0,49.0,24.0,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0.0,0.0,7.1,7.1,0.15,-0.1,-0.1
14,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,22.0,1999.0,15.0,0.0,2.0,0.0,0.0,0.13,0.0,0.0,,21.6,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,28.0,1993.0,3.7,1.0,3.0,2.0,66.7,0.82,0.54,0.33,0.5,17.2,0.0,0.0,0.0,0.7,0.7,0.22,0.3,0.3
16,Martin Adeline,fr FRA,"MF,FW",Reims,Ligue 1,17.0,2003.0,3.9,0.0,4.0,1.0,25.0,1.02,0.26,0.0,0.0,11.8,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,Bundesliga,21.0,2000.0,14.0,3.0,37.0,19.0,51.4,2.65,1.36,0.08,0.16,15.1,0.0,0.0,0.0,4.3,4.3,0.12,-1.3,-1.3
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21.0,2000.0,25.1,1.0,32.0,15.0,46.9,1.27,0.6,0.03,0.07,21.2,4.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0
19,Michel Aebischer,ch SUI,MF,Bologna,Serie A,24.0,1997.0,4.9,0.0,2.0,2.0,100.0,0.41,0.41,0.0,0.0,22.7,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,Serie A,18.0,2003.0,7.4,2.0,17.0,7.0,41.2,2.29,0.94,0.12,0.29,16.1,0.0,0.0,0.0,1.7,1.7,0.1,0.3,0.3
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25.0,1996.0,18.0,0.0,4.0,0.0,0.0,0.22,0.0,0.0,,19.1,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
22,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
23,Lucien Agoume,fr FRA,MF,Brest,Ligue 1,19.0,2002.0,20.8,0.0,15.0,1.0,6.7,0.72,0.05,0.0,0.0,11.9,0.0,0.0,0.0,1.2,1.1,0.07,-1.2,-1.1
24,Kevin Agudelo,co COL,"MF,FW",Spezia,Serie A,22.0,1998.0,13.7,3.0,21.0,11.0,52.4,1.53,0.8,0.14,0.27,17.2,0.0,0.0,0.0,2.6,2.6,0.12,0.4,0.4
26,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,25.0,1996.0,30.4,2.0,25.0,7.0,28.0,0.82,0.23,0.08,0.29,9.4,0.0,0.0,0.0,2.1,2.1,0.08,-0.1,-0.1
27,Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33.0,1988.0,1.7,1.0,6.0,1.0,16.7,3.58,0.6,0.17,1.0,12.0,0.0,0.0,0.0,1.0,1.0,0.17,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28.0,1993.0,23.8,0.0,10.0,2.0,20.0,0.42,0.08,0.0,0.0,22.8,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,21.0,2000.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,Bundesliga,19.0,2002.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,22.0,1999.0,15.0,0.0,8.0,4.0,50.0,0.53,0.27,0.0,0.0,16.0,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4
