,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Alavés,La Liga,2.0,38.0,38.0,3420.0,38.0,43.0,1.13,156.0,119.0,75.0,14.0,13.0,11.0,12.0,31.6,6.0,4.0,2.0,0.0,33.3
1,Angers,Ligue 1,3.0,38.0,38.0,3420.0,38.0,49.0,1.29,127.0,78.0,63.0,13.0,7.0,18.0,9.0,23.7,2.0,2.0,0.0,0.0,0.0
2,Arsenal,Premier League,3.0,38.0,38.0,3420.0,38.0,44.0,1.16,167.0,123.0,79.6,23.0,6.0,9.0,13.0,34.2,10.0,10.0,0.0,0.0,0.0
3,Atalanta,Serie A,3.0,38.0,38.0,3420.0,38.0,41.0,1.08,122.0,81.0,69.7,21.0,9.0,8.0,16.0,42.1,4.0,4.0,0.0,0.0,0.0
4,Athletic Club,La Liga,2.0,38.0,38.0,3420.0,38.0,43.0,1.13,119.0,79.0,64.7,19.0,6.0,13.0,10.0,26.3,3.0,1.0,2.0,0.0,66.7
5,Atlético Madrid,La Liga,2.0,38.0,38.0,3420.0,38.0,27.0,0.71,111.0,87.0,78.4,23.0,9.0,6.0,20.0,52.6,4.0,3.0,1.0,0.0,25.0
6,Augsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,51.0,1.5,176.0,125.0,73.3,9.0,11.0,14.0,8.0,23.5,5.0,4.0,0.0,1.0,0.0
7,Barcelona,La Liga,3.0,38.0,38.0,3420.0,38.0,37.0,0.97,160.0,123.0,76.9,28.0,6.0,4.0,13.0,34.2,0.0,0.0,0.0,0.0,
8,Bastia,Ligue 1,4.0,38.0,38.0,3419.0,38.0,54.0,1.42,180.0,126.0,72.2,8.0,10.0,20.0,9.0,23.7,8.0,4.0,3.0,1.0,42.9
9,Bayern Munich,Bundesliga,3.0,34.0,34.0,3060.0,34.0,22.0,0.65,100.0,78.0,80.0,25.0,7.0,2.0,17.0,50.0,3.0,2.0,1.0,0.0,33.3
10,Betis,La Liga,2.0,38.0,38.0,3420.0,38.0,64.0,1.68,187.0,128.0,67.9,10.0,9.0,19.0,10.0,26.3,5.0,4.0,1.0,0.0,20.0
11,Bologna,Serie A,2.0,38.0,38.0,3420.0,38.0,58.0,1.53,188.0,130.0,71.3,11.0,8.0,19.0,9.0,23.7,6.0,4.0,1.0,1.0,20.0
12,Bordeaux,Ligue 1,2.0,38.0,38.0,3420.0,38.0,43.0,1.13,139.0,96.0,71.9,15.0,14.0,9.0,13.0,34.2,4.0,4.0,0.0,0.0,0.0
13,Bournemouth,Premier League,3.0,38.0,38.0,3420.0,38.0,67.0,1.76,189.0,122.0,65.6,12.0,10.0,16.0,10.0,26.3,5.0,2.0,2.0,1.0,50.0
14,Burnley,Premier League,2.0,38.0,38.0,3420.0,38.0,55.0,1.45,208.0,153.0,75.5,11.0,7.0,20.0,10.0,26.3,5.0,4.0,1.0,0.0,20.0
15,Caen,Ligue 1,3.0,38.0,38.0,3420.0,38.0,65.0,1.71,171.0,106.0,66.7,10.0,7.0,21.0,9.0,23.7,8.0,8.0,0.0,0.0,0.0
16,Cagliari,Serie A,4.0,38.0,38.0,3418.0,38.0,74.0,1.95,214.0,140.0,68.7,14.0,5.0,19.0,4.0,10.5,12.0,7.0,3.0,2.0,30.0
