,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adan,Betis,30,30,2700,30.0,53,1.77,132,82,62.1,14,4,12,9,30.0,4,3,1,0,25.0
1,Rene Adler,Mainz 05,14,14,1260,14.0,18,1.29,53,35,67.9,5,3,6,4,28.6,2,1,0,1,0.0
2,Adrian,West Ham,19,19,1710,19.0,29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,0.0
3,Alisson,Roma,37,37,3330,37.0,28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,0,40.0
4,Sergio Alvarez,Celta Vigo,17,16,1475,16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0
5,Ibrahim Amadou,Lille,1,0,17,26.7,2,10.59,3,1,66.7,0,0,0,0,0.0,1,1,0,0,0.0
6,Jon Ander Serantes,Leganés,1,1,90,1.0,2,2.00,8,6,75.0,1,0,0,0,0.0,0,0,0,0,0.0
7,Nicolas Andrade,Hellas Verona,36,36,3240,36.0,71,1.97,233,162,72.1,7,4,25,7,19.4,8,6,2,0,25.0
8,Miguel Angel Moya,Real Sociedad,9,9,765,8.5,8,0.94,33,24,81.8,3,2,4,2,22.2,3,2,1,0,33.3
9,Alphonse Areola,Paris S-G,34,34,3060,34.0,25,0.74,102,77,76.5,26,6,2,17,50.0,3,1,1,1,50.0
10,Kepa Arrizabalaga,Athletic Club,30,30,2700,30.0,43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,0,66.7
11,Sergio Asenjo,Villarreal,23,23,2070,23.0,30,1.30,93,60,71.0,12,3,8,6,26.1,6,3,3,0,50.0
12,Mariano Barbosa,Villarreal,13,12,1125,12.5,14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,0.0
13,Oliver Baumann,Hoffenheim,34,34,3060,34.0,48,1.41,147,100,69.4,15,10,9,10,29.4,4,3,1,0,25.0
14,Asmir Begovic,Bournemouth,38,38,3420,38.0,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3
15,Vid Belec,Benevento,13,13,1113,12.4,27,2.18,74,49,67.6,2,0,11,1,7.7,3,3,0,0,0.0
16,Vid Belec,Sampdoria,2,2,180,2.0,5,2.50,15,10,73.3,0,0,2,0,0.0,1,1,0,0,0.0
17,Diego Benaglio,Monaco,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,3,150.0,0,0,0,0,0.0
18,Walter Benitez,Nice,28,28,2520,28.0,36,1.29,113,76,70.8,12,8,8,7,25.0,5,3,2,0,40.0
19,Etrit Berisha,Atalanta,31,31,2790,31.0,34,1.10,99,64,66.7,13,10,8,8,25.8,2,1,1,0,50.0
20,Quentin Beunardeau,Metz,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,0.0,0,0,0,0,0.0
21,Albano Bizzarri,Udinese,32,32,2880,32.0,52,1.62,143,92,65.0,11,4,17,8,25.0,5,2,2,1,50.0
22,Ruben Blanco,Celta Vigo,22,22,1941,21.6,31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0
23,Landry Bonnefoi,Strasbourg,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,0.0
24,Jean-Christophe Bouet,Amiens,1,1,90,1.0,1,1.00,7,6,85.7,0,0,1,0,0.0,0,0,0,0,0.0
26,Yassine Bounou,Girona,30,30,2655,29.5,46,1.56,139,94,69.8,13,6,11,9,30.0,5,4,0,1,0.0
27,Claudio Bravo,Manchester City,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,2,100.0,0,0,0,0,0.0
28,Alberto Brignoli,Benevento,13,11,1126,12.5,31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,2,0.0
29,Gianluigi Buffon,Juventus,21,21,1862,20.7,14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25.0
30,Roman Burki,Dortmund,33,33,2969,33.0,43,1.30,145,102,72.4,15,9,9,12,36.4,3,3,0,0,0.0
31,Ludovic Butelle,Angers,19,19,1653,18.4,22,1.20,68,48,72.1,6,5,8,4,21.1,3,3,0,0,0.0
32,Jack Butland,Stoke City,35,35,3150,35.0,61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0.0
33,Willy Caballero,Chelsea,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,0.0
34,Yoan Cardinale,Nice,10,10,900,10.0,16,1.60,41,26,61.0,3,1,6,3,30.0,0,0,0,0,0.0
35,Kiko Casilla,Real Madrid,10,10,900,10.0,11,1.10,29,19,62.1,6,2,2,3,30.0,0,0,0,0,0.0
36,Koen Casteels,Wolfsburg,34,34,3060,34.0,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3
37,Petr Cech,Arsenal,34,34,3039,33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7
38,Nereo Champagne,Leganés,2,2,180,2.0,6,3.00,9,3,44.4,0,0,2,0,0.0,1,1,0,0,0.0
39,Leandro Chichizola,Las Palmas,27,27,2430,27.0,47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,0.0
40,Jasper Cillessen,Barcelona,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,0.0
41,Andrea Consigli,Sassuolo,37,37,3316,36.8,58,1.57,172,114,67.4,11,10,16,10,27.0,3,2,1,0,33.3
42,Alex Cordaz,Crotone,38,38,3420,38.0,66,1.74,200,133,70.0,9,8,21,5,13.2,8,6,1,1,14.3
43,Angelo da Costa Junior,Bologna,4,4,360,4.0,5,1.25,17,12,76.5,1,0,3,1,25.0,1,1,0,0,0.0
44,Benoit Costil,Bordeaux,36,36,3240,36.0,45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,0,50.0
45,Thibaut Courtois,Chelsea,35,35,3150,35.0,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0.0
46,Alessio Cragno,Cagliari,29,29,2536,28.2,47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,2,25.0
47,Luca Crosta,Cagliari,1,1,90,1.0,3,3.00,3,0,33.3,0,0,1,0,0.0,1,1,0,0,0.0
48,Ivan Cuellar,Leganés,35,35,3150,35.0,43,1.23,139,95,72.7,11,7,17,14,40.0,6,5,1,0,16.7
49,Karl Darlow,Newcastle Utd,10,10,900,10.0,15,1.50,47,34,74.5,1,5,4,2,20.0,3,3,0,0,0.0
50,Abdoulaye Diallo,Rennes,3,3,270,3.0,5,1.67,15,10,73.3,0,2,1,0,0.0,1,1,0,0,0.0
52,Thomas Didillon,Metz,9,9,810,9.0,14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,0.0
53,Marko Dmitrovic,Eibar,36,36,3240,36.0,49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0
54,Jaume Domenech,Valencia,5,5,450,5.0,5,1.00,21,16,76.2,4,0,1,2,40.0,0,0,0,0,0.0
55,Gianluigi Donnarumma,Milan,38,38,3420,38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0
56,Bartlomiej Dragowski,Fiorentina,3,1,217,2.4,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,0.0
57,Martin Dubravka,Newcastle Utd,12,12,1080,12.0,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100.0
58,Maxime Dupe,Nantes,1,1,90,1.0,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
59,Ederson,Manchester City,36,36,3194,35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100.0
60,Rob Elliot,Newcastle Utd,16,16,1440,16.0,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50.0
61,Michael Esser,Hannover 96,3,3,270,3.0,9,3.00,20,11,55.0,1,0,2,0,0.0,1,0,0,1,0.0
62,Lukasz Fabianski,Swansea City,38,38,3420,38.0,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0
63,Ralf Fahrmann,Schalke 04,34,34,3015,33.5,37,1.10,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40.0
64,Andres Fernandez,Villarreal,3,3,225,2.5,6,2.40,16,10,68.8,0,1,2,0,0.0,1,1,0,0,0.0
65,Raul Fernandez,Levante,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,0.0
66,Fraser Forster,Southampton,20,20,1800,20.0,30,1.50,97,66,69.1,4,7,9,4,20.0,1,0,1,0,100.0
67,Ben Foster,West Brom,37,37,3330,37.0,55,1.49,151,98,64.2,6,12,19,10,27.0,1,1,0,0,0.0
68,Paulo Gazzaniga,Tottenham,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0
69,David de Gea,Manchester Utd,37,37,3330,37.0,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0.0
70,Rafal Gikiewicz,Freiburg,2,1,154,1.7,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,0.0
71,Dani Gimenez,Betis,4,4,309,3.4,0,0.00,8,8,100.0,3,1,0,3,75.0,0,0,0,0,0.0
72,Pierluigi Gollini,Atalanta,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,0.0
73,Heurelho Gomes,Watford,24,24,2128,23.6,40,1.69,100,61,63.0,7,5,12,5,20.8,3,3,0,0,0.0
74,Alfred Gomis,SPAL,26,25,2261,25.1,43,1.71,140,98,73.6,6,7,12,3,12.0,7,6,1,0,14.3
75,Mathieu Gorgelin,Lyon,4,4,360,4.0,6,1.50,13,7,53.8,2,1,1,1,25.0,0,0,0,0,0.0
76,Lee Grant,Stoke City,3,3,270,3.0,7,2.33,15,8,53.3,0,1,2,0,0.0,0,0,0,0,0.0
78,Vicente Guaita,Getafe,33,33,2970,33.0,26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0
79,Peter Gulacsi,RB Leipzig,33,33,2970,33.0,52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0
80,Regis Gurtner,Amiens,37,37,3330,37.0,41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0
81,Ben Hamer,Leicester City,4,3,275,3.1,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,0.0
82,Samir Handanovic,Inter,38,38,3420,38.0,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0
83,Joe Hart,West Ham,19,19,1710,19.0,39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20.0
84,Tom Heaton,Burnley,4,4,305,3.4,4,1.18,12,8,66.7,2,1,1,0,0.0,0,0,0,0,0.0
85,Wayne Hennessey,Crystal Palace,27,27,2430,27.0,41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,0.0
86,Iago Herrerin,Athletic Club,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3
87,Marwin Hitz,Augsburg,32,32,2880,32.0,42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0
88,Timo Horn,Köln,34,34,3060,34.0,70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1
89,Lukas Hradecky,Eint Frankfurt,34,34,3060,34.0,45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0
90,Gorka Iraizoz,Girona,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,0.0
91,Eldin Jakupovic,Leicester City,2,2,180,2.0,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,0.0
92,Rune Jarstein,Hertha BSC,31,31,2790,31.0,44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0
