,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
202,Pietro Terracciano,Fiorentina,4,2,272,3.0,4,1.32,11,7,63.6,0,1,1,2,100.0,1,0,1,0,100.0
203,Kevin Trapp,Eint Frankfurt,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0
204,Samir Ujkani,Torino,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,0.0
205,Tomas Vaclik,Sevilla,5,5,450,5.0,5,1.00,14,9,64.3,3,0,2,2,40.0,0,0,0,0,0.0
206,Koke Vegas,Levante,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0
208,Guglielmo Vicario,Cagliari,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,0.0
209,Ivan Villar,Celta Vigo,21,19,1781,19.8,30,1.52,77,47,68.8,7,5,7,5,26.3,7,6,1,0,14.3
210,Joao Virginia,Everton,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,0.0,0,0,0,0,0.0
211,Ruben Yanez,Getafe,10,10,900,10.0,12,1.20,30,18,63.3,3,3,4,4,40.0,1,1,0,0,0.0
212,Yoel,Eibar,4,3,300,3.3,3,0.90,6,3,50.0,0,1,2,0,0.0,0,0,0,0,0.0
213,Robin Zentner,Mainz 05,31,31,2790,31.0,46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,1,0.0
214,Ron-Robert Zieler,Köln,1,0,51,0.6,1,1.76,3,2,100.0,0,0,0,0,0.0,1,1,0,0,0.0
215,Jeroen Zoet,Spezia,7,7,603,6.7,12,1.79,29,17,69.0,3,1,3,0,0.0,3,3,0,0,0.0
