,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,30,38.0,13876,11799,1969,566,37,133,558,817,138,61,55,6,9696,108,301
1,30,38.0,15624,13590,1965,535,40,110,590,837,140,50,67,0,11213,69,346
2,27,38.0,17004,14902,2043,502,57,106,653,976,169,97,50,0,12795,59,381
3,30,38.0,25193,23347,1757,432,117,151,572,758,225,132,49,4,20878,89,413
4,25,38.0,21308,19223,2006,530,30,288,751,887,230,90,114,6,16953,79,422
5,26,38.0,17614,15565,1945,576,43,178,816,822,189,84,94,2,13195,104,384
6,26,38.0,18580,16668,1805,504,62,134,524,785,167,43,88,4,14484,107,366
7,27,34.0,14448,12602,1776,437,9,101,757,804,174,65,96,0,10252,70,413
8,25,38.0,25740,23730,1876,573,113,227,409,750,215,81,66,1,22147,134,384
9,28,34.0,24122,22484,1571,439,23,272,893,668,223,82,112,3,20569,67,383
10,41,38.0,17943,15966,1894,562,38,169,661,700,166,71,66,3,14277,83,352
11,29,38.0,21622,19743,1817,612,53,232,534,656,139,61,33,5,17953,62,304
12,30,38.0,17588,15529,1993,538,28,179,553,840,150,123,15,0,13650,66,405
13,31,38.0,18593,16547,1970,518,61,186,736,882,179,94,54,0,14603,76,392
14,22,38.0,17962,15874,2036,534,37,112,707,857,218,104,65,1,13450,52,412
15,24,38.0,16372,14549,1725,322,32,203,680,797,163,89,59,5,11838,98,355
16,24,38.0,15340,13382,1858,463,19,107,707,822,167,69,66,14,10524,100,313
17,26,38.0,16218,14169,1973,483,22,213,971,908,202,78,106,6,11621,76,381
18,29,38.0,16722,14566,2072,552,21,145,732,867,179,77,77,1,12229,84,369
19,23,38.0,21071,19136,1843,596,45,215,583,718,153,48,34,1,16981,92,323
20,26,38.0,23101,21232,1761,445,69,203,755,748,230,54,76,7,18967,108,405
21,25,38.0,16994,14945,1947,531,20,176,801,779,147,87,51,1,12721,102,340
22,29,38.0,14929,12922,1919,520,17,98,635,806,134,77,38,1,10315,88,398
23,28,38.0,16114,14109,1949,456,30,83,703,874,210,85,37,68,11809,56,361
24,26,38.0,17343,15289,1981,540,59,190,567,857,153,61,47,3,13255,73,326
25,30,34.0,20632,18736,1813,540,23,117,585,786,162,69,60,12,16710,83,369
26,27,38.0,17961,15706,2171,590,17,323,1055,1025,229,60,149,2,12725,84,396
27,28,34.0,15568,13652,1831,572,19,152,586,783,158,51,92,1,11467,85,440
28,25,38.0,17192,15114,2002,602,34,179,720,832,160,64,87,0,12753,76,378
29,30,38.0,16472,14537,1853,417,25,114,629,850,150,70,62,7,11953,82,397
30,27,38.0,19625,17631,1912,492,62,113,823,846,210,56,135,3,15445,82,367
31,29,34.0,15106,13296,1770,490,9,132,471,735,127,45,65,4,11137,40,414
32,33,38.0,17652,15620,1946,510,32,131,769,818,183,95,63,2,13335,86,405
33,32,38.0,13193,10994,2091,590,53,243,585,917,181,42,73,2,8531,108,340
34,25,38.0,16037,14020,1937,603,31,339,828,767,176,36,66,20,11843,80,298
35,23,38.0,17950,15798,2052,592,25,174,727,867,190,85,76,6,13835,100,355
36,29,34.0,15211,13163,1987,524,13,112,668,910,203,73,81,0,10836,61,475
37,26,34.0,15033,13075,1905,559,9,90,579,825,134,55,69,5,10896,53,442
38,32,38.0,15669,13636,1954,482,19,187,665,791,143,41,68,3,11540,79,369
39,25,34.0,15682,13938,1697,519,7,129,528,694,127,24,85,4,11790,47,400
40,26,34.0,17437,15696,1663,506,24,111,592,657,158,65,71,0,13876,78,413
41,25,38.0,16822,14785,1970,478,26,82,765,927,165,101,32,6,12036,67,415
42,22,38.0,22926,20927,1905,470,57,169,1042,766,289,93,109,7,18939,94,427
43,24,38.0,23688,21897,1712,507,55,330,672,711,186,54,65,7,20215,79,386
44,31,34.0,15875,14008,1786,532,6,107,663,681,173,74,90,4,11807,81,426
45,32,38.0,16975,14924,1957,516,43,222,747,796,203,91,54,1,12784,94,323
46,36,38.0,19788,17574,2133,748,49,197,581,777,175,77,59,0,15824,81,320
47,24,38.0,20347,18446,1804,403,87,159,734,789,217,88,89,9,16436,97,442
48,28,38.0,14887,12781,2009,592,29,162,690,891,152,60,75,1,10383,97,351
49,27,38.0,17124,15046,1986,424,63,170,744,954,203,137,28,0,12357,92,370
50,33,38.0,14768,12732,1966,540,44,161,726,818,182,61,79,9,10715,70,360
51,24,34.0,18621,16757,1806,522,31,174,658,779,172,112,51,2,14731,58,458
52,25,38.0,20060,18073,1900,496,61,137,614,805,171,69,74,1,16258,87,377
53,27,38.0,24900,23034,1796,391,106,146,764,896,230,122,69,1,20367,70,382
54,26,38.0,20965,19005,1880,540,74,119,572,816,182,102,60,0,17480,80,357
55,27,34.0,18200,16381,1746,469,23,129,490,744,168,27,124,1,14595,73,426
