,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
202,Leighton Baines,GBR,"DF,MF",Everton,eng Premier League,31.0,1984.0,32.0,2819.0,88.0,82.4,31.3,32.0,,29.0,0.0,,0.0,1.75,55.0,34.0,21.0,0.67,1.12
203,Cédric Bakambu,COD,FW,Villarreal,es La Liga,25.0,1991.0,26.0,1567.0,60.0,45.8,17.4,17.0,82.0,7.0,9.0,19.0,0.0,1.69,33.0,19.0,14.0,0.8,0.37
204,Tiemoué Bakayoko,FRA,MF,Monaco,fr Ligue 1,21.0,1994.0,32.0,2223.0,69.0,65.0,24.7,25.0,,19.0,7.0,,2.0,2.41,69.0,27.0,42.0,1.7,-0.86
205,Zakaria Bakkali,BEL,FW,Valencia,es La Liga,20.0,1996.0,18.0,288.0,16.0,8.4,3.2,1.0,79.0,0.0,17.0,12.0,12.0,1.11,4.0,7.0,-3.0,-0.94,-0.77
206,Ibourahima Baldé,ESP,FW,Sampdoria,it Serie A,17.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
208,Keita Baldé,SEN,FW,Lazio,it Serie A,21.0,1995.0,31.0,1926.0,62.0,56.3,21.4,21.0,,5.0,10.0,,0.0,1.97,54.0,27.0,27.0,1.26,1.5
209,Gareth Bale,GB-WLS,FW,Real Madrid,es La Liga,27.0,1989.0,19.0,1418.0,75.0,41.5,15.8,17.0,81.0,9.0,2.0,25.0,0.0,2.16,43.0,14.0,29.0,1.84,0.22
210,Mikel Balenziaga,ESP,DF,Athletic Club,es La Liga,28.0,1988.0,33.0,2847.0,86.0,83.2,31.6,33.0,86.0,29.0,0.0,,1.0,1.73,45.0,34.0,11.0,0.35,0.5
211,Andrija Balić,HRV,"MF,FW",Udinese,it Serie A,18.0,1997.0,4.0,239.0,60.0,7.0,2.7,3.0,,1.0,1.0,,28.0,0.5,4.0,6.0,-2.0,-0.75,-0.56
212,Iván Balliu,ALB,DF,Metz,fr Ligue 1,24.0,1992.0,27.0,2331.0,86.0,68.2,25.9,26.0,,25.0,1.0,,8.0,1.3,25.0,50.0,-25.0,-0.97,-0.3
213,Fodé Ballo-Touré,SEN,DF,Paris S-G,fr Ligue 1,19.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
214,Florent Balmont,FRA,MF,Dijon,fr Ligue 1,36.0,1980.0,23.0,1714.0,75.0,50.1,19.0,20.0,,12.0,3.0,,0.0,1.04,24.0,29.0,-5.0,-0.26,0.11
215,Joakim Balmy,FRA,FW,Nice,fr Ligue 1,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
216,Norbert Balogh,HUN,"MF,FW",Palermo,it Serie A,20.0,1996.0,16.0,532.0,33.0,15.6,5.9,6.0,,0.0,10.0,,15.0,0.75,5.0,12.0,-7.0,-1.18,-0.03
