,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Max Aarons,Bournemouth,20,1237,62,36.2,13.7,13,85,9,7,19,5,0.80,12,34,-22,-1.60,-1.97,14.2,27.1,-12.8,-0.94,-1.37
1,Brenden Aaronson,Union Berlin,30,1267,42,41.4,14.1,14,68,2,16,20,2,1.07,17,23,-6,-0.43,+0.53,15.4,21.2,-5.9,-0.42,-0.19
2,Paxten Aaronson,Eint Frankfurt,7,101,14,3.3,1.1,1,45,0,6,9,7,0.86,2,2,0,0.00,-0.03,1.1,2.6,-1.5,-1.30,-1.16
3,James Abankwah,Udinese,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Keyliane Abdallah,Marseille,1,4,4,0.1,0.0,0,0.0,0,1,4,1,1.00,1,0,+1,+22.50,+22.21,0.2,0.0,+0.2,+4.03,+3.46
5,Yunis Abdelhamid,Reims,31,2781,90,90.9,30.9,31,90,30,0,0.0,0,1.29,37,46,-9,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97
6,Salis Abdul Samed,Lens,27,1519,56,49.6,16.9,17,81,11,10,15,4,1.74,20,18,+2,+0.12,-0.23,24.6,24.2,+0.4,+0.02,-0.39
7,Adam Abeddou,Lens,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Nabil Aberdin,Getafe,2,180,90,5.3,2.0,2,90,2,0,0.0,3,0.00,1,3,-2,-1.00,-0.72,1.2,2.5,-1.3,-0.67,-0.48
9,Laurent Abergel,Lorient,33,2860,87,93.5,31.8,32,89,29,1,23,0,0.88,41,59,-18,-0.57,+1.68,34.8,50.1,-15.3,-0.48,+0.37
10,Matthis Abline,Rennes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Matthis Abline,Nantes,22,1044,47,34.1,11.6,12,72,1,10,18,5,0.95,11,17,-6,-0.52,+0.33,14.9,15.5,-0.6,-0.05,+0.61
12,Abner,Betis,23,1400,61,40.9,15.6,15,82,12,8,22,10,1.61,20,20,0,0.00,-0.13,17.2,27.2,-9.9,-0.64,-0.80
13,Zakaria Aboukhlal,Toulouse,13,754,58,24.6,8.4,9,74,1,4,21,0,1.54,11,10,+1,+0.12,+0.31,8.1,13.4,-5.3,-0.64,-0.54
14,Abdel Abqar,Alavés,27,2312,86,67.6,25.7,27,86,23,0,0.0,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58
15,Tammy Abraham,Roma,8,242,30,7.1,2.7,2,60,0,6,20,1,1.38,4,4,0,0.00,-0.54,3.6,5.1,-1.5,-0.57,-0.89
16,Vicent Abril Sanz,Valencia,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Salim Abubakar,Sassuolo,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Francesco Acerbi,Inter,29,2388,82,69.8,26.5,26,89,25,3,25,2,2.41,55,19,+36,+1.36,-1.35,52.2,23.3,+28.9,+1.09,-0.50
19,Joshua Acheampong,Chelsea,1,6,6,0.2,0.1,0,0.0,0,1,6,3,3.00,0,0,0,0.00,-0.37,0.0,0.6,-0.5,-7.70,-8.15
20,Mohamed Achi,Nantes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Marcos Acuna,Sevilla,21,1292,62,37.8,14.4,18,69,5,3,19,2,1.14,20,21,-1,-0.07,+0.14,17.1,21.9,-4.8,-0.34,-0.07
22,Benie Adama Traore,Sheffield Utd,8,387,48,11.3,4.3,3,86,1,5,26,11,0.13,2,13,-11,-2.56,-0.84,3.1,11.5,-8.4,-1.96,-1.08
23,Benie Adama Traore,Nantes,14,504,36,16.5,5.6,4,67,0,10,24,1,0.79,5,12,-7,-1.25,-0.62,6.5,9.4,-2.9,-0.51,-0.07
24,Marius Adamonis,Lazio,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Akor Adams,Montpellier,32,2252,70,73.6,25.0,27,80,10,5,21,1,1.22,29,32,-3,-0.12,+0.10,32.6,35.3,-2.7,-0.11,+0.13
27,Tyler Adams,Bournemouth,3,121,40,3.5,1.3,1,90,1,2,16,2,2.00,4,3,+1,+0.74,+1.13,2.1,1.5,+0.6,+0.43,+0.51
28,Junior Adamu,Freiburg,15,105,7,3.4,1.2,0,0.0,0,15,7,13,1.47,1,5,-4,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22
29,Sargis Adamyan,Köln,20,801,40,26.2,8.9,8,73,1,12,18,5,0.80,9,21,-12,-1.35,-0.55,11.8,16.5,-4.6,-0.52,+0.31
30,Tosin Adarabioyo,Fulham,20,1617,81,47.3,18.0,18,90,17,2,2,2,1.40,28,25,+3,+0.17,+0.62,27.6,28.0,-0.5,-0.03,+0.56
31,Tayo Adaramola,Crystal Palace,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Elijah Adebayo,Luton Town,27,1419,53,41.5,15.8,16,77,5,11,16,0,0.78,30,36,-6,-0.38,+0.83,22.2,28.4,-6.3,-0.40,+0.92
33,Val Adedokun,Brentford,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Karim Adeyemi,Dortmund,21,913,43,29.8,10.1,10,64,1,11,25,3,1.76,19,15,+4,+0.39,-0.49,18.4,17.1,+1.2,+0.12,-0.31
35,Simon Adingra,Brighton,31,2222,72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,+0.06,33.9,35.9,-2.0,-0.08,-0.34
36,Nathaniel Adjei,Lorient,15,1243,83,40.6,13.8,14,88,13,1,12,0,0.93,15,27,-12,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08
37,Amine Adli,Leverkusen,23,898,39,29.3,10.0,8,71,1,15,22,4,2.65,28,9,+19,+1.90,-0.01,24.2,10.4,+13.8,+1.39,+0.14
38,Yacine Adli,Milan,24,1407,59,41.1,15.6,17,74,6,7,21,14,1.88,25,22,+3,+0.19,-0.88,23.3,17.7,+5.6,+0.36,-0.32
39,Adrian,Liverpool,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Adryelson,Lyon,2,6,3,0.2,0.1,0,0.0,0,2,3,12,1.50,0,0,0,0.00,+0.18,0.0,0.0,0.0,0.00,+0.07
41,Adson,Nantes,8,238,30,7.8,2.6,2,61,0,6,20,0,1.00,2,6,-4,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37
42,Michel Aebischer,Bologna,36,2230,62,65.2,24.8,26,79,13,10,17,1,1.81,29,20,+9,+0.36,-0.62,27.6,23.8,+3.7,+0.15,-0.39
43,Loic Affamah,Nantes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Emmanuel Agbadou,Reims,32,2596,81,84.8,28.8,29,89,27,3,8,1,1.47,36,39,-3,-0.10,+0.28,38.8,40.9,-2.0,-0.07,-0.10
45,Julen Agirrezabala,Athletic Club,4,238,60,7.0,2.6,2,90,2,2,29,34,1.50,3,4,-1,-0.38,-1.09,2.6,2.8,-0.2,-0.08,-0.41
46,Lucien Agoume,Inter,1,5,5,0.1,0.1,0,0.0,0,1,5,16,3.00,1,0,+1,+18.00,+16.26,0.3,0.0,+0.3,+5.27,+4.04
47,Lucien Agoume,Sevilla,12,777,65,22.7,8.6,9,79,5,3,22,1,1.42,11,12,-1,-0.12,+0.05,11.5,14.6,-3.1,-0.36,-0.09
48,Felix Agu,Werder Bremen,24,1614,67,52.7,17.9,19,81,4,5,14,5,1.42,21,23,-2,-0.11,+0.14,22.5,28.7,-6.3,-0.35,-0.14
49,Nayef Aguerd,West Ham,21,1857,88,54.3,20.6,21,88,19,0,0.0,4,1.19,26,44,-18,-0.87,-1.10,25.0,38.2,-13.2,-0.64,-0.32
50,Ruben Aguilar,Lens,25,1922,77,62.8,21.4,22,86,16,3,13,3,1.80,33,19,+14,+0.66,+1.13,37.1,30.6,+6.5,+0.31,+0.24
52,Ruben Aguilar,Monaco,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Brandon Aguilera,Nott'ham Forest,1,5,5,0.1,0.1,0,0.0,0,1,5,3,0.00,0,0,0,0.00,+0.47,0.0,0.0,0.0,0.00,+0.09
