,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Brenden Aaronson,Leeds United,36,2372,66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35
1,Paxten Aaronson,Eint Frankfurt,7,173,25,5.7,1.9,0,0.0,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,5.4,1.4,+4.0,+2.06,+1.92
2,James Abankwah,Udinese,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,0.4,0.7,-0.3,-0.37,-0.25
3,George Abbott,Tottenham,1,1,1,0.0,0.0,0,0.0,0,1,1,1,3.00,1,0,+1,+90.00,+89.84,0.3,0.0,+0.3,+28.39,+28.20
4,Yunis Abdelhamid,Reims,37,3330,90,97.4,37.0,37,90,37,0,0.0,0,1.38,45,42,+3,+0.08,+3.08,60.5,50.1,+10.4,+0.28,+1.79
5,Himad Abdelli,Angers,30,2137,71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,23.8,40.7,-17.0,-0.72,-0.45
6,Salis Abdul Samed,Lens,33,2894,88,84.6,32.2,33,88,30,0,0.0,0,2.24,59,22,+37,+1.15,+0.81,57.7,35.9,+21.8,+0.68,+0.43
7,Laurent Abergel,Lorient,29,2342,81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,31.6,39.7,-8.1,-0.31,+0.16
8,Oliver Abildgaard,Hellas Verona,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36
9,Terry Ablade,Fulham,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Matthis Abline,Auxerre,19,806,42,23.6,9.0,8,73,1,11,20,1,1.11,7,14,-7,-0.78,-0.06,11.7,13.3,-1.6,-0.18,+0.30
11,Matthis Abline,Rennes,11,107,10,3.1,1.2,0,0.0,0,11,10,4,2.27,5,0,+5,+4.21,+3.53,2.9,1.3,+1.6,+1.36,+0.93
12,Abner,Betis,13,607,47,17.7,6.7,7,74,3,6,15,8,1.08,7,10,-3,-0.44,-0.70,10.3,10.9,-0.6,-0.09,-0.16
13,Zakaria Aboukhlal,Toulouse,37,2473,67,72.3,27.5,28,80,12,9,26,0,1.27,38,45,-7,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01
14,Tammy Abraham,Roma,38,2189,58,64.0,24.3,24,77,7,14,24,0,1.66,32,25,+7,+0.29,-0.08,37.7,22.9,+14.8,+0.61,-0.16
15,Christian Acella,Cremonese,1,15,15,0.4,0.2,0,0.0,0,1,15,25,0.00,0,1,-1,-6.00,-5.15,0.0,0.1,-0.1,-0.65,+0.07
16,Francesco Acerbi,Inter,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,+23,+0.85,+0.31,49.5,26.6,+22.9,+0.85,+0.07
17,Alvaro Aceves,Valladolid,1,13,13,0.4,0.1,0,0.0,0,1,13,13,0.00,0,0,0,0.00,+0.79,0.3,0.2,+0.1,+0.73,+1.43
18,Mohamed Achi,Nantes,2,36,18,1.1,0.4,0,0.0,0,2,18,6,0.50,1,0,+1,+2.50,+3.01,0.8,0.0,+0.7,+1.87,+2.15
19,Marcos Acuna,Sevilla,30,1912,64,55.9,21.2,21,79,10,9,28,0,1.33,27,34,-7,-0.33,-0.33,27.1,29.5,-2.5,-0.12,+0.21
20,Marius Adamonis,Lazio,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Che Adams,Southampton,28,1992,71,58.2,22.1,23,82,13,5,22,1,0.71,18,41,-23,-1.04,-0.16,24.1,33.2,-9.2,-0.41,+0.48
22,Tyler Adams,Leeds United,24,2156,90,63.0,24.0,24,90,23,0,0.0,0,0.96,28,36,-8,-0.33,+1.23,30.2,33.0,-2.9,-0.12,+1.09
