,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,32.0,64.0,44.0,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28.0,92.0,96.0,1.0
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,33.1,48.0,27.0,34.0,14.0,0.0,16.0,32.0,50.0,16.0,50.0,25.0,25.0,68.0,116.0,104.0,0.0
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,27.4,43.0,23.0,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42.0,85.0,15.0,0.0
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,32.8,110.0,60.0,44.0,53.0,13.0,71.0,166.0,42.8,95.0,58.0,1.0,57.0,55.0,165.0,13.0,0.0
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,8.1,11.0,7.0,4.0,5.0,2.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,4.0,15.0,8.0,0.0
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,34.3,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,32.0,27.0,0.0
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,6.2,6.0,3.0,3.0,3.0,0.0,2.0,4.0,50.0,2.0,6.0,5.0,1.0,5.0,11.0,37.0,1.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,28.2,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,59.0,92.0,0.0
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,Bundesliga,23.0,1998.0,2.9,2.0,0.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0
11,Mohamed Achi,fr FRA,MF,Nantes,Ligue 1,19.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29.0,1991.0,25.1,50.0,29.0,27.0,14.0,9.0,30.0,46.0,65.2,16.0,22.0,5.0,17.0,14.0,64.0,25.0,1.0
13,Che Adams,sct SCO,FW,Southampton,Premier League,25.0,1996.0,22.7,13.0,6.0,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8.0,21.0,18.0,0.0
14,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,22.0,1999.0,15.0,23.0,7.0,5.0,16.0,2.0,7.0,25.0,28.0,18.0,24.0,1.0,23.0,16.0,39.0,19.0,2.0
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,28.0,1993.0,3.7,8.0,6.0,3.0,4.0,1.0,3.0,11.0,27.3,8.0,4.0,0.0,4.0,1.0,9.0,2.0,0.0
16,Martin Adeline,fr FRA,"MF,FW",Reims,Ligue 1,17.0,2003.0,3.9,15.0,11.0,5.0,8.0,2.0,8.0,16.0,50.0,8.0,0.0,0.0,0.0,11.0,26.0,6.0,0.0
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,Bundesliga,21.0,2000.0,14.0,27.0,14.0,10.0,14.0,3.0,8.0,15.0,53.3,7.0,26.0,2.0,24.0,11.0,38.0,12.0,0.0
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21.0,2000.0,25.1,43.0,27.0,22.0,14.0,7.0,19.0,68.0,27.9,49.0,33.0,3.0,30.0,37.0,80.0,11.0,2.0
19,Michel Aebischer,ch SUI,MF,Bologna,Serie A,24.0,1997.0,4.9,14.0,5.0,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6.0,20.0,3.0,0.0
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,Serie A,18.0,2003.0,7.4,10.0,3.0,1.0,6.0,3.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,3.0,13.0,0.0,0.0
