,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,Strasbourg,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,Crystal Palace,28,2184,78,63.9,24.3,25,0.0,21,3,0.0,8,1.21,31,38,-7,-0.29,-0.07,32.2,34.7,-2.5,-0.10,-0.66
2,Rolando Aarons,Newcastle Utd,4,139,35,4.1,1.5,1,0.0,0,3,0.0,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43
3,Rolando Aarons,Hellas Verona,11,517,47,15.1,5.7,6,0.0,1,5,0.0,4,0.55,2,12,-10,-1.74,-0.56,2.7,10.0,-7.3,-1.26,-0.34
4,Ignazio Abate,Milan,17,1057,62,30.9,11.7,11,0.0,7,6,0.0,15,1.71,17,10,+7,+0.60,+0.33,13.8,11.4,+2.5,+0.21,-0.24
5,Aymen Abdennour,Marseille,8,499,62,14.6,5.5,6,82,4,2,3,18,2.38,10,4,+6,+1.08,+0.25,12.0,4.2,+7.8,+1.41,+0.53
6,Nura Abdullahi,Roma,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aly Abeid,Levante,1,77,77,2.3,0.9,1,77,0,0,0.0,1,0.00,0,3,-3,-3.51,-3.21,0.5,0.9,-0.4,-0.45,+0.04
8,Mehdi Abeid,Dijon,19,1176,62,34.4,13.1,14,77,9,5,20,1,1.58,17,25,-8,-0.61,-0.21,13.3,20.4,-7.1,-0.54,+0.06
9,David Abraham,Eint Frankfurt,27,2302,85,75.2,25.6,27,0.0,25,0,0.0,1,1.41,30,31,-1,-0.04,-0.16,30.2,29.3,+1.0,+0.04,+0.09
10,Tammy Abraham,Swansea City,31,1726,56,50.5,19.2,15,0.0,9,16,0.0,2,0.81,15,31,-16,-0.83,-0.20,16.9,31.8,-14.8,-0.77,-0.13
11,Amir Abrashi,Freiburg,12,850,71,27.8,9.4,11,0.0,8,1,0.0,3,1.00,8,11,-3,-0.32,+0.54,7.5,10.0,-2.5,-0.26,-0.09
12,Francesco Acerbi,Sassuolo,38,3420,90,100.0,38.0,38,0.0,38,0,0.0,0,1.13,29,59,-30,-0.79,0.0,46.3,48.9,-2.6,-0.07,0.0
13,Karim Achahbar,Guingamp,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Afriyie Acquah,Torino,22,951,43,27.8,10.6,9,0.0,3,13,0.0,11,1.64,13,17,-4,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.70
15,Charlie Adam,Stoke City,11,411,37,12.0,4.6,5,0.0,1,6,0.0,21,0.91,2,7,-5,-1.09,-0.26,5.4,8.0,-2.5,-0.56,+0.15
16,Antonio Adan,Betis,30,2700,90,78.9,30.0,30,90,30,0,0.0,0,1.53,50,53,-3,-0.10,-0.35,35.2,41.5,-6.3,-0.21,-0.61
17,Tosin Adarabioyo,Manchester City,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Aday,Girona,31,1835,59,53.7,20.4,20,82,13,11,18,4,1.16,29,31,-2,-0.10,+0.30,29.4,27.6,+1.8,+0.09,+0.18
19,Khaled Adenon,Amiens,34,2921,86,85.4,32.5,32,90,32,2,21,2,1.26,32,37,-5,-0.15,-0.15,26.4,49.2,-22.8,-0.70,-0.83
20,Raphael Adiceam,Amiens,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Claud Adjapong,Sassuolo,16,1220,76,35.7,13.6,14,0.0,12,2,0.0,8,1.31,13,22,-9,-0.66,+0.20,15.9,16.7,-0.8,-0.06,+0.02
22,Rene Adler,Mainz 05,14,1260,90,41.2,14.0,14,0.0,14,0,0.0,2,1.29,16,18,-2,-0.14,+0.46,16.1,20.0,-3.9,-0.28,+0.15
23,Yacine Adli,Paris S-G,1,8,8,0.2,0.1,0,0.0,0,1,8,0,1.00,0,0,0,0.00,-2.08,0.0,0.0,0.0,-0.40,-1.76
24,Ali Adnan Kadhim,Udinese,23,1674,73,48.9,18.6,18,0.0,14,5,0.0,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.0,-2.6,-0.14,+0.04
26,Adrian,West Ham,19,1710,90,50.0,19.0,19,0.0,19,0,0.0,19,1.42,30,29,+1,+0.05,+1.16,19.2,28.4,-9.2,-0.48,0.00
27,Aritz Aduriz,Athletic Club,33,2152,65,62.9,23.9,21,86,15,12,30,2,1.12,26,24,+2,+0.08,+0.79,29.8,27.4,+2.4,+0.10,+0.31
28,Ibrahim Afellay,Stoke City,6,166,28,4.9,1.8,1,0.0,0,5,0.0,10,1.00,2,9,-7,-3.80,-3.08,0.9,5.4,-4.4,-2.40,-1.81
29,Benik Afobe,Bournemouth,17,611,36,17.9,6.8,5,0.0,1,12,0.0,4,1.06,5,12,-7,-1.03,-0.74,6.5,12.7,-6.2,-1.04,-0.60
30,Martin Agirregabiria,Alavés,21,1828,87,53.5,20.3,20,89,19,1,45,4,1.81,28,19,+9,+0.44,+1.52,24.2,24.0,+0.2,+0.01,+1.00
31,Imanol Agirretxe,Real Sociedad,11,232,21,6.8,2.6,2,68,1,9,11,5,1.45,5,2,+3,+1.16,+1.05,4.7,2.0,+2.7,+1.04,+1.03
32,Juan Aguero,Atlético Madrid,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Sergio Aguero,Manchester City,25,1963,79,57.4,21.8,22,0.0,13,3,0.0,4,2.52,63,12,+51,+2.34,+0.61,45.8,13.1,+32.7,+1.50,+0.13
34,Ruben Aguilar,Montpellier,31,2459,79,71.9,27.3,27,88,25,4,22,3,1.45,30,20,+10,+0.37,+1.02,32.2,25.4,+6.8,+0.25,+0.55
35,Matias Aguirregaray,Las Palmas,15,1153,77,33.7,12.8,14,81,10,1,17,2,0.53,7,17,-10,-0.78,+0.81,10.9,23.1,-12.2,-0.95,-0.16
36,Matteo Ahlinvi,Guingamp,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Jean-Eudes Aholou,Strasbourg,35,3006,86,87.9,33.4,35,86,30,0,0.0,0,1.09,41,58,-17,-0.51,+0.80,41.1,52.3,-11.3,-0.34,+0.01
38,Ailton,Stuttgart,5,108,22,3.5,1.2,1,0.0,0,4,0.0,7,0.80,1,2,-1,-0.83,-0.86,1.1,0.8,+0.3,+0.26,+0.37
39,Youssef Ait Bennasser,Caen,27,2047,76,59.9,22.7,25,80,16,2,30,0,1.22,17,28,-11,-0.48,+0.43,23.7,26.9,-3.2,-0.14,-0.01
40,Rayan Ait Nouri,Angers,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Arlind Ajeti,Crotone,21,1271,61,37.2,14.1,15,0.0,11,6,0.0,15,0.95,12,28,-16,-1.13,-0.71,12.6,27.4,-14.8,-1.05,-0.67
42,Manuel Akanji,Dortmund,11,904,82,29.5,10.0,10,0.0,10,1,0.0,4,1.82,15,15,0,0.00,-0.71,17.8,14.6,+3.1,+0.31,-0.55
43,Nathan Ake,Bournemouth,38,3353,88,98.0,37.3,37,0.0,36,1,0.0,0,1.16,44,59,-15,-0.40,+0.94,37.9,56.9,-19.0,-0.51,+1.46
44,Ager Aketxe,Athletic Club,3,37,12,1.1,0.4,0,0.0,0,3,12,6,1.67,1,0,+1,+2.43,+2.67,1.0,0.7,+0.4,+0.92,+0.95
45,Chadrac Akolo,Stuttgart,22,1102,50,36.0,12.2,13,0.0,1,9,0.0,7,1.45,14,17,-3,-0.25,-0.38,14.5,16.5,-1.9,-0.16,-0.10
46,Kevin Akpoguma,Hoffenheim,22,1690,77,55.2,18.8,17,0.0,16,5,0.0,3,1.64,42,27,+15,+0.80,+0.60,32.1,23.6,+8.5,+0.45,+0.79
47,David Alaba,Bayern Munich,23,1551,67,50.7,17.2,17,0.0,14,6,0.0,0,2.70,51,10,+41,+2.38,+1.01,41.5,13.8,+27.7,+1.60,+0.62
48,Lucas Alario,Leverkusen,23,1550,67,50.7,17.2,17,0.0,12,6,0.0,3,1.70,27,21,+6,+0.35,-0.13,32.8,19.8,+13.0,+0.75,+0.42
49,David Alba,Getafe,1,61,61,1.8,0.7,1,61,0,0,0.0,2,3.00,0,0,0,0.00,-0.24,0.0,1.0,-0.9,-1.39,-1.64
50,Jordi Alba,Barcelona,33,2744,83,80.2,30.5,30,89,27,3,24,3,2.48,81,21,+60,+1.97,+0.64,70.9,31.7,+39.2,+1.29,+0.97
52,Raul Albentosa,La Coruña,20,1748,87,51.1,19.4,19,90,18,1,45,8,0.70,19,34,-15,-0.77,+0.47,27.7,27.6,+0.1,+0.01,+0.40
53,Luis Alberto,Lazio,34,2669,79,78.0,29.7,32,0.0,19,2,0.0,1,1.91,73,41,+32,+1.08,+0.12,51.3,32.6,+18.7,+0.63,+0.49
54,Raul Albiol,Napoli,31,2742,88,80.2,30.5,30,0.0,29,1,0.0,5,2.26,58,21,+37,+1.21,-0.25,52.8,21.4,+31.4,+1.03,-0.11
55,Miiko Albornoz,Hannover 96,10,703,70,23.0,7.8,7,0.0,7,3,0.0,10,0.70,10,17,-7,-0.90,-0.78,10.1,14.5,-4.4,-0.57,-0.32
56,Marc Albrighton,Leicester City,34,2538,75,74.2,28.2,30,0.0,19,4,0.0,1,1.29,35,39,-4,-0.14,-0.14,35.6,34.9,+0.7,+0.02,-0.10
57,Paco Alcacer,Barcelona,17,695,41,20.3,7.7,8,67,1,9,18,11,2.12,19,3,+16,+2.07,+0.29,20.0,8.1,+11.9,+1.54,+0.56
58,Pedro Alcala,Girona,8,689,86,20.1,7.7,8,86,7,0,0.0,4,1.25,10,13,-3,-0.39,-0.19,11.6,10.1,+1.5,+0.20,+0.24
59,Thiago Alcantara,Bayern Munich,19,1247,66,40.8,13.9,12,0.0,9,7,0.0,1,2.47,39,10,+29,+2.09,+0.36,33.1,10.2,+22.9,+1.66,+0.61
60,David Alcibiade,Nantes,3,208,69,6.1,2.3,2,90,2,1,28,6,2.33,3,2,+1,+0.43,+0.60,3.2,1.8,+1.5,+0.63,+0.57
61,Toby Alderweireld,Tottenham,14,1178,84,34.4,13.1,13,0.0,13,1,0.0,1,1.93,25,13,+12,+0.92,-0.13,20.7,10.1,+10.6,+0.81,0.00
62,Steve Aldo One,La Coruña,1,90,90,2.6,1.0,1,90,1,0,0.0,1,0.00,1,7,-6,-6.00,-5.14,1.8,2.5,-0.7,-0.71,-0.54
63,Alex Alegria,Levante,9,628,70,18.4,7.0,8,74,3,1,38,1,1.22,9,12,-3,-0.43,-0.08,7.7,10.5,-2.8,-0.40,+0.12
64,Ivan Alejo,Eibar,22,1102,50,32.2,12.2,14,69,1,8,16,6,1.50,16,11,+5,+0.41,+0.84,13.1,13.6,-0.5,-0.04,+0.07
65,Carles Alena,Barcelona,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Diego Alende,Celta Vigo,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Alex,Atlético Madrid,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Alexander,Leganés,13,1060,82,31.0,11.8,13,82,9,0,0.0,0,1.31,8,12,-4,-0.34,+0.16,13.8,14.7,-0.9,-0.08,+0.18
69,Trent Alexander-Arnold,Liverpool,19,1573,83,46.0,17.5,18,0.0,14,1,0.0,16,1.89,39,17,+22,+1.26,+0.09,33.8,15.7,+18.1,+1.03,+0.01
70,Alexis,Alavés,28,2184,78,63.9,24.3,25,85,23,3,18,7,1.32,26,33,-7,-0.29,-0.07,26.4,37.2,-10.8,-0.45,+0.04
71,Alisson,Roma,37,3330,90,97.4,37.0,37,0.0,37,0,0.0,0,2.00,60,28,+32,+0.86,-0.14,62.2,36.1,+26.2,+0.71,+0.70
72,Bobby Allain,Dijon,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
