,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
70,25,34.0,69,2,1,393,402,80,489,310,312,5,8,2,1966,440,433,50.4
71,26,38.0,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5
72,30,38.0,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4
73,34,38.0,70,9,2,507,423,85,707,397,407,7,3,2,2368,472,465,50.4
74,32,38.0,58,6,2,465,379,54,564,341,335,3,5,1,2035,538,520,50.9
75,30,38.0,82,4,2,446,505,56,595,368,340,6,3,1,1981,543,429,55.9
76,30,38.0,85,4,1,473,439,67,559,329,337,1,11,0,1981,528,585,47.4
77,40,38.0,108,3,2,507,512,55,599,317,351,1,11,2,1913,617,636,49.2
78,31,38.0,90,6,3,408,443,43,625,278,281,6,4,2,1756,375,438,46.1
79,35,34.0,68,1,0,427,391,70,764,306,329,3,6,1,1896,692,739,48.4
80,35,38.0,120,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1
81,36,38.0,73,0,0,430,378,57,613,428,426,3,3,5,2130,551,611,47.4
82,34,38.0,103,6,4,519,379,55,655,301,359,2,7,3,2033,535,570,48.4
83,29,38.0,73,7,2,529,474,43,647,437,409,6,11,0,2132,677,573,54.2
84,30,34.0,72,5,4,346,407,56,597,308,316,4,6,1,1989,547,470,53.8
85,28,38.0,81,0,0,506,382,80,610,292,265,2,6,0,2010,590,629,48.4
86,29,38.0,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7
87,29,38.0,62,3,3,473,413,74,660,409,406,2,7,3,2168,483,460,51.2
88,32,38.0,55,5,1,402,404,57,517,398,361,4,8,2,1986,476,495,49.0
89,30,38.0,88,3,1,478,476,51,564,314,365,1,7,2,1916,477,406,54.0
90,28,34.0,65,2,1,445,345,62,708,262,278,4,7,0,1833,767,755,50.4
91,28,38.0,92,8,3,504,510,80,925,288,430,6,3,2,2015,492,561,46.7
92,36,38.0,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3
93,32,38.0,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8
94,25,34.0,76,1,0,426,369,65,514,321,349,3,3,2,1987,631,622,50.4
95,25,38.0,44,0,0,362,316,62,768,408,335,6,6,1,2023,620,587,51.4
96,28,34.0,63,0,0,390,451,50,568,290,324,6,7,3,1800,525,546,49.0
97,32,38.0,85,6,1,463,389,62,661,279,370,1,4,1,2052,465,542,46.2
