Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Max Aarons,0,GBR,DF,Norwich City,eng Premier League,21.0,2000.0,34.0,32.0,2881.0,32.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,1.6,2.5,0.03,0.05,0.08,0.03,0.08
Yunis Abdelhamid,1,MAR,DF,Reims,fr Ligue 1,33.0,1987.0,34.0,34.0,2983.0,33.1,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,1.5,1.5,0.9,2.4,0.04,0.03,0.07,0.04,0.07
Salis Abdul Samed,2,GHA,MF,Clermont Foot,fr Ligue 1,21.0,2000.0,31.0,29.0,2462.0,27.4,1.0,0.0,1.0,0.0,0.0,12.0,3.0,0.04,0.0,0.04,0.04,0.04,1.1,1.1,1.0,2.0,0.04,0.04,0.07,0.04,0.07
Laurent Abergel,3,FRA,MF,Lorient,fr Ligue 1,28.0,1993.0,34.0,34.0,2956.0,32.8,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.06,0.06,0.0,0.06,2.1,2.1,4.4,6.4,0.06,0.13,0.2,0.06,0.2
Charles Abi,4,FRA,FW,Saint-Étienne,fr Ligue 1,21.0,2000.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dickson Abiama,5,NGA,FW,Greuther Fürth,de Bundesliga,22.0,1998.0,24.0,5.0,726.0,8.1,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,2.1,2.1,1.4,3.5,0.26,0.17,0.43,0.26,0.43
Matthis Abline,6,FRA,FW,Rennes,fr Ligue 1,18.0,2003.0,7.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.49,0.0,0.49,0.49,0.49
Tammy Abraham,7,GBR,FW,Roma,it Serie A,23.0,1997.0,37.0,36.0,3084.0,34.3,17.0,4.0,14.0,3.0,3.0,9.0,0.0,0.5,0.12,0.61,0.41,0.53,19.2,16.8,4.9,21.8,0.56,0.14,0.7,0.49,0.63
Luis Abram,8,PER,DF,Granada,es La Liga,25.0,1996.0,8.0,6.0,560.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04
Francesco Acerbi,9,ITA,DF,Lazio,it Serie A,33.0,1988.0,30.0,29.0,2536.0,28.2,4.0,0.0,4.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.7,2.9,0.08,0.02,0.1,0.08,0.1
Ragnar Ache,10,DEU,"MF,FW",Eint Frankfurt,de Bundesliga,23.0,1998.0,13.0,1.0,259.0,2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,0.6,0.6,0.5,1.1,0.2,0.18,0.38,0.2,0.38
Mohamed Achi,11,FRA,MF,Nantes,fr Ligue 1,19.0,2002.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Acuña,12,ARG,DF,Sevilla,es La Liga,29.0,1991.0,31.0,26.0,2260.0,25.1,1.0,3.0,1.0,0.0,0.0,10.0,0.0,0.04,0.12,0.16,0.04,0.16,1.5,1.5,3.5,5.0,0.06,0.14,0.2,0.06,0.2
Che Adams,13,SYC,FW,Southampton,eng Premier League,25.0,1996.0,30.0,23.0,2039.0,22.7,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.31,0.13,0.44,0.31,0.44,7.7,7.7,3.2,10.9,0.34,0.14,0.48,0.34,0.48
