,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
0,Ignazio Abate,it ITA,"DF,MF",Milan,Serie A,25.0,1986.0,25.5,0.0,,2.0,,,0.08,,0.0,,0.0,0.0
1,Christian Abbiati,it ITA,GK,Milan,Serie A,35.0,1977.0,27.2,0.0,,0.0,,,0.0,,,,0.0,0.0
2,Elvis Abbruscato,it ITA,FW,Pescara,Serie A,31.0,1981.0,12.8,2.0,,7.0,,,0.55,,0.29,,0.0,0.0
3,Kassim Abdallah,km COM,DF,Marseille,Ligue 1,25.0,1987.0,9.7,0.0,,0.0,,,0.0,,,,0.0,0.0
4,Mohammed Abdellaoue,no NOR,FW,Hannover 96,Bundesliga,26.0,1985.0,11.5,8.0,,13.0,,,1.13,,0.46,,2.0,2.0
5,Aymen Abdennour,tn TUN,DF,Toulouse,Ligue 1,22.0,1989.0,30.0,1.0,,4.0,,,0.13,,0.25,,0.0,0.0
6,Pape Abdou Camara,sn SEN,MF,Valenciennes,Ligue 1,20.0,1991.0,2.4,0.0,,3.0,,,1.25,,0.0,,0.0,0.0
7,Rafidine Abdullah,km COM,MF,Marseille,Ligue 1,18.0,1994.0,5.2,0.0,,0.0,,,0.0,,,,0.0,0.0
8,Damià Abella,es ESP,"DF,MF",Osasuna,La Liga,30.0,1982.0,27.5,0.0,,1.0,,,0.04,,0.0,,0.0,0.0
9,Mathías Abero,uy URU,"DF,MF",Bologna,Serie A,22.0,1990.0,2.9,0.0,,0.0,,,0.0,,,,0.0,0.0
10,Éric Abidal,fr FRA,DF,Barcelona,La Liga,32.0,1979.0,2.1,0.0,,0.0,,,0.0,,,,0.0,0.0
11,Vincent Aboubakar,cm CMR,FW,Valenciennes,Ligue 1,20.0,1992.0,13.2,2.0,,11.0,,,0.83,,0.18,,0.0,0.0
12,David Abraham,ar ARG,DF,Getafe,La Liga,26.0,1986.0,8.5,0.0,,0.0,,,0.0,,,,0.0,0.0
13,David Abraham,ar ARG,DF,Hoffenheim,Bundesliga,26.0,1986.0,11.4,0.0,,1.0,,,0.09,,0.0,,0.0,0.0
14,Fabrice Abriel,fr FRA,MF,Nice,Ligue 1,33.0,1979.0,19.9,1.0,,6.0,,,0.3,,0.17,,0.0,0.0
15,Mohammed Abu,gh GHA,"FW,MF",Rayo Vallecano,La Liga,20.0,1991.0,0.6,0.0,,0.0,,,0.0,,,,0.0,0.0
16,Mohammed Abu,gh GHA,"FW,MF",Lorient,Ligue 1,20.0,1991.0,5.8,0.0,,2.0,,,0.34,,0.0,,0.0,0.0
17,Francesco Acerbi,it ITA,DF,Chievo,Serie A,24.0,1988.0,4.9,0.0,,0.0,,,0.0,,,,0.0,0.0
18,Francesco Acerbi,it ITA,DF,Milan,Serie A,24.0,1988.0,5.3,0.0,,0.0,,,0.0,,,,0.0,0.0
19,Robert Acquafresca,it ITA,FW,Bologna,Serie A,24.0,1987.0,3.1,0.0,,1.0,,,0.33,,0.0,,0.0,0.0
20,Robert Acquafresca,it ITA,FW,Levante,La Liga,24.0,1987.0,10.4,3.0,,10.0,,,0.96,,0.3,,0.0,0.0
21,Afriyie Acquah,gh GHA,MF,Parma,Serie A,20.0,1992.0,6.0,0.0,,0.0,,,0.0,,,,0.0,0.0
22,Charlie Adam,sct SCO,MF,Stoke City,Premier League,26.0,1985.0,19.5,3.0,,19.0,,,0.97,,0.16,,0.0,0.0
23,Antonio Adán,es ESP,GK,Real Madrid,La Liga,25.0,1987.0,2.1,0.0,,0.0,,,0.0,,,,0.0,0.0
24,Emmanuel Adebayor,tg TOG,FW,Tottenham,Premier League,28.0,1984.0,17.8,5.0,,23.0,,,1.3,,0.22,,0.0,0.0
26,René Adler,de GER,GK,Hamburger SV,Bundesliga,27.0,1985.0,32.0,0.0,,0.0,,,0.0,,,,0.0,0.0
