,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,32.0,1469.0,1130.0,332.0,17.0,5.0,4.0,50.0,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,33.1,1578.0,1471.0,101.0,89.0,0.0,32.0,4.0,9.0,0.0,0.0,0.0,0.0,1284.0,6.0,26.0
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,27.4,1701.0,1678.0,21.0,17.0,1.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,1535.0,2.0,29.0
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,32.8,1660.0,1617.0,35.0,25.0,7.0,21.0,37.0,8.0,2.0,0.0,1.0,0.0,1342.0,8.0,49.0
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,0.5,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,8.1,137.0,129.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,6.0
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,1.1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,34.3,696.0,627.0,67.0,6.0,5.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,485.0,2.0,20.0
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,6.2,226.0,216.0,9.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,191.0,1.0,4.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,28.2,2043.0,1955.0,87.0,77.0,1.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,1837.0,1.0,6.0
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,Bundesliga,23.0,1998.0,2.9,64.0,61.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,37.0,1.0,4.0
11,Mohamed Achi,fr FRA,MF,Nantes,Ligue 1,19.0,2002.0,0.1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
12,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29.0,1991.0,25.1,1963.0,1624.0,333.0,63.0,3.0,30.0,178.0,230.0,40.0,0.0,31.0,0.0,1543.0,6.0,30.0
13,Che Adams,sct SCO,FW,Southampton,Premier League,25.0,1996.0,22.7,472.0,468.0,2.0,0.0,4.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,304.0,2.0,22.0
14,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,22.0,1999.0,15.0,918.0,882.0,32.0,16.0,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,794.0,4.0,15.0
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,28.0,1993.0,3.7,101.0,95.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,73.0,1.0,3.0
16,Martin Adeline,fr FRA,"MF,FW",Reims,Ligue 1,17.0,2003.0,3.9,147.0,138.0,8.0,4.0,0.0,0.0,11.0,0.0,4.0,0.0,4.0,0.0,107.0,1.0,12.0
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,Bundesliga,21.0,2000.0,14.0,516.0,494.0,17.0,1.0,6.0,0.0,21.0,11.0,1.0,0.0,0.0,0.0,376.0,5.0,27.0
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21.0,2000.0,25.1,1251.0,1105.0,138.0,48.0,11.0,30.0,114.0,12.0,68.0,38.0,17.0,1.0,906.0,8.0,25.0
19,Michel Aebischer,ch SUI,MF,Bologna,Serie A,24.0,1997.0,4.9,239.0,225.0,13.0,5.0,0.0,1.0,7.0,1.0,7.0,0.0,4.0,0.0,205.0,1.0,5.0
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,Serie A,18.0,2003.0,7.4,152.0,145.0,7.0,0.0,0.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,114.0,0.0,4.0
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25.0,1996.0,18.0,792.0,610.0,179.0,6.0,0.0,5.0,45.0,172.0,1.0,0.0,0.0,0.0,547.0,3.0,16.0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,82.0,49.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
23,Lucien Agoume,fr FRA,MF,Brest,Ligue 1,19.0,2002.0,20.8,996.0,955.0,38.0,30.0,0.0,10.0,5.0,0.0,1.0,0.0,1.0,0.0,836.0,3.0,20.0
24,Kevin Agudelo,co COL,"MF,FW",Spezia,Serie A,22.0,1998.0,13.7,389.0,375.0,11.0,1.0,0.0,1.0,22.0,4.0,4.0,3.0,1.0,0.0,280.0,3.0,22.0
26,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,25.0,1996.0,30.4,2204.0,2127.0,74.0,69.0,2.0,41.0,1.0,5.0,0.0,0.0,0.0,0.0,1959.0,3.0,12.0
27,Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33.0,1988.0,1.7,42.0,40.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28.0,1993.0,23.8,1728.0,1445.0,277.0,34.0,4.0,16.0,64.0,242.0,1.0,0.0,1.0,0.0,1435.0,6.0,27.0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,21.0,2000.0,0.1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,Bundesliga,19.0,2002.0,0.7,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,22.0,1999.0,15.0,858.0,826.0,31.0,23.0,0.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,766.0,1.0,3.0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,27.0,1994.0,11.2,412.0,404.0,8.0,8.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,11.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,25.0,1995.0,29.3,1567.0,1531.0,32.0,13.0,1.0,11.0,3.0,19.0,0.0,0.0,0.0,0.0,1270.0,4.0,9.0
34,Ola Aina,ng NGA,DF,Torino,Serie A,24.0,1996.0,16.0,755.0,600.0,151.0,9.0,1.0,0.0,34.0,142.0,0.0,0.0,0.0,0.0,535.0,4.0,30.0
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,Premier League,20.0,2001.0,20.3,1025.0,811.0,211.0,10.0,1.0,7.0,96.0,172.0,29.0,11.0,16.0,0.0,763.0,3.0,19.0
36,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,23.0,1998.0,22.2,892.0,734.0,154.0,6.0,2.0,3.0,17.0,148.0,0.0,0.0,0.0,0.0,627.0,4.0,28.0
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,27.0,1994.0,30.4,906.0,880.0,24.0,1.0,5.0,10.0,17.0,2.0,0.0,0.0,0.0,0.0,653.0,2.0,16.0
38,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,26.0,1995.0,25.1,2013.0,1944.0,66.0,59.0,1.0,26.0,3.0,7.0,0.0,0.0,0.0,0.0,1819.0,3.0,10.0
39,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,28.0,1993.0,20.5,832.0,672.0,158.0,18.0,1.0,3.0,45.0,140.0,0.0,0.0,0.0,0.0,611.0,2.0,20.0
40,Marley Aké,fr FRA,"FW,MF",Juventus,Serie A,20.0,2001.0,0.9,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
41,Nathan Aké,nl NED,DF,Manchester City,Premier League,26.0,1995.0,10.3,878.0,836.0,41.0,15.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,796.0,1.0,5.0
42,Ilias Akhomach,es ESP,FW,Barcelona,La Liga,17.0,2004.0,1.4,55.0,55.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,Ligue 1,19.0,2002.0,0.6,22.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
44,Paul Akouokou,ci CIV,MF,Betis,La Liga,23.0,1997.0,5.7,325.0,320.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,284.0,1.0,4.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,28.0,1992.0,3.5,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,8.0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,Bundesliga,26.0,1995.0,17.0,917.0,742.0,172.0,13.0,0.0,7.0,31.0,159.0,0.0,0.0,0.0,0.0,691.0,3.0,24.0
47,David Alaba,at AUT,DF,Real Madrid,La Liga,29.0,1992.0,29.4,1968.0,1888.0,74.0,34.0,4.0,2.0,40.0,34.0,3.0,3.0,0.0,0.0,1788.0,6.0,9.0
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,Ligue 1,23.0,1998.0,1.8,103.0,90.0,13.0,1.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,83.0,0.0,7.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga,22.0,1999.0,15.8,572.0,503.0,65.0,29.0,2.0,15.0,64.0,3.0,33.0,14.0,14.0,0.0,398.0,4.0,18.0
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,28.0,1992.0,7.3,171.0,159.0,12.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,115.0,0.0,9.0
52,Jordi Alba,es ESP,DF,Barcelona,La Liga,32.0,1989.0,29.4,2795.0,2416.0,365.0,96.0,13.0,12.0,121.0,268.0,1.0,0.0,0.0,0.0,2334.0,14.0,38.0
53,Josué Albert,gf GUF,DF,Clermont Foot,Ligue 1,29.0,1992.0,0.2,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
54,Luis Alberto,es ESP,MF,Lazio,Serie A,28.0,1992.0,26.1,1970.0,1751.0,211.0,82.0,18.0,9.0,143.0,12.0,104.0,47.0,40.0,0.0,1626.0,8.0,29.0
55,Raúl Albiol,es ESP,DF,Villarreal,La Liga,35.0,1985.0,27.4,1560.0,1502.0,57.0,55.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,1339.0,1.0,12.0
56,Marc Albrighton,eng ENG,"FW,DF",Leicester City,Premier League,31.0,1989.0,12.6,558.0,452.0,101.0,15.0,2.0,3.0,78.0,48.0,37.0,27.0,6.0,0.0,347.0,5.0,27.0
57,Paco Alcácer,es ESP,FW,Villarreal,La Liga,27.0,1993.0,8.7,175.0,151.0,22.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,123.0,2.0,5.0
58,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,30.0,1991.0,17.0,1508.0,1488.0,18.0,10.0,4.0,17.0,4.0,4.0,1.0,0.0,1.0,0.0,1340.0,2.0,13.0
59,Rubén Alcaraz,es ESP,MF,Cádiz,La Liga,30.0,1991.0,12.3,667.0,623.0,43.0,34.0,3.0,16.0,23.0,2.0,7.0,1.0,3.0,0.0,556.0,1.0,13.0
60,Omar Alderete,py PAR,DF,Valencia,La Liga,24.0,1996.0,26.7,961.0,899.0,57.0,52.0,0.0,41.0,4.0,2.0,0.0,0.0,0.0,0.0,580.0,5.0,6.0
