,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
0,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,Premier League,25.0,1990.0,7.9,1.0,0.0,0.0,3.0,2.0,0.0,22.0,14.0,5.0,0.0,0.0,0.0
1,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,Premier League,25.0,1990.0,19.8,2.0,0.0,0.0,11.0,15.0,6.0,56.0,46.0,28.0,0.0,1.0,0.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,29.0,1986.0,21.4,2.0,0.0,0.0,22.0,9.0,2.0,52.0,33.0,45.0,0.0,2.0,0.0
3,Yunis Abdelhamid,ma MAR,DF,Dijon,Ligue 1,28.0,1987.0,14.6,3.0,0.0,0.0,21.0,8.0,1.0,1.0,42.0,36.0,0.0,1.0,0.0
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,26.0,1989.0,9.8,4.0,0.0,0.0,16.0,4.0,0.0,2.0,34.0,11.0,0.0,2.0,0.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,23.0,1992.0,26.4,8.0,0.0,0.0,56.0,41.0,0.0,56.0,46.0,67.0,0.0,0.0,0.0
6,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,30.0,1986.0,28.7,5.0,1.0,0.0,25.0,28.0,1.0,3.0,90.0,32.0,0.0,0.0,0.0
7,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,26.0,1990.0,14.7,3.0,0.0,0.0,34.0,28.0,0.0,2.0,33.0,26.0,0.0,0.0,0.0
8,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,28.0,1988.0,38.0,2.0,0.0,0.0,15.0,39.0,3.0,6.0,103.0,47.0,0.0,1.0,0.0
9,Geoffrey Acheampong,gh GHA,MF,Bastia,Ligue 1,19.0,1997.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Maxwell Acosty,gh GHA,"MF,FW",Crotone,Serie A,24.0,1991.0,4.2,2.0,0.0,0.0,10.0,9.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,24.0,1992.0,12.0,5.0,6.0,3.0,24.0,16.0,1.0,10.0,25.0,14.0,0.0,0.0,0.0
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,30.0,1985.0,16.9,7.0,0.0,0.0,41.0,26.0,0.0,86.0,24.0,17.0,0.0,0.0,0.0
