,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alaves,La Liga,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68
1,Angers,Ligue 1,31,27.9,46.4,38,418,3420,38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67
2,Arminia,Bundesliga,26,26.0,42.3,34,374,3060,34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62
3,Arsenal,Premier League,29,25.9,53.5,38,418,3420,38.0,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16
4,Aston Villa,Premier League,24,25.2,48.5,38,418,3420,38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25
5,Atalanta,Serie A,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28
6,Athletic Club,La Liga,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86
7,Atletico Madrid,La Liga,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31
8,Augsburg,Bundesliga,25,27.0,41.4,34,374,3060,34.0,35,23,58,33,2,5,70,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74
9,Barcelona,La Liga,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16
