,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
198,Brandon Baiye,0.6,42,5,10,24,8,1,42,1,1,100.0,0,0.0,27,159,54,0,0,0,1,1,24,0
199,Stefan Bajcetic,5.8,324,6,66,189,74,5,324,16,7,43.8,4,25.0,175,990,450,10,7,0,7,6,204,1
200,Nedim Bajrami,10.4,457,1,66,185,219,27,457,31,11,35.5,18,58.1,267,1928,816,22,21,10,24,17,304,47
201,Nedim Bajrami,9.1,451,8,63,150,247,29,451,32,18,56.3,12,37.5,278,1652,739,23,16,12,20,9,295,96
202,Cedric Bakambu,0.7,33,0,6,15,12,3,33,2,0,0.0,2,100.0,22,135,59,1,3,1,2,1,20,4
203,Tiemoue Bakayoko,0.5,30,3,16,12,2,0,30,3,1,33.3,2,66.7,16,96,56,0,1,0,1,1,15,1
204,Mitchel Bakker,18.4,1139,32,331,570,250,29,1139,39,11,28.2,21,53.8,575,2706,1353,28,17,8,23,15,702,65
205,Ridle Baku,28.7,1889,80,521,880,498,45,1889,61,23,37.7,27,44.3,1052,4917,2381,50,23,8,59,20,1155,157
206,Tommaso Baldanzi,19.7,841,11,109,408,334,46,841,60,23,38.3,30,50.0,548,3500,1772,57,51,14,33,15,600,94
208,Alejandro Balde,27.5,1939,40,419,874,672,78,1939,96,50,52.1,36,37.5,1270,7276,4100,96,69,35,41,24,1348,234
209,Thierno Balde,23.9,1138,85,395,425,339,34,1138,67,36,53.7,22,32.8,765,5808,2996,66,51,11,38,15,650,118
210,Carlos Baleba,5.3,384,10,49,256,83,5,384,28,15,53.6,9,32.1,302,1903,1027,16,16,2,12,17,284,12
211,Mikel Balenziaga,1.3,77,2,14,39,25,0,77,1,1,100.0,0,0.0,29,100,50,0,2,0,0,1,41,6
212,Leonardo Balerdi,29.3,1997,223,869,1027,113,16,1997,14,9,64.3,4,28.6,1413,8306,4291,15,19,0,23,3,1232,19
213,Dominic Ballard,0.3,11,0,2,4,5,0,11,2,0,0.0,1,50.0,6,25,10,1,0,0,3,1,7,1
214,Ivan Balliu,35.9,2116,88,503,925,695,26,2116,31,11,35.5,12,38.7,1021,5129,2879,75,51,4,22,9,1150,147
215,Fode Ballo-Toure,5.8,352,7,77,168,110,9,352,15,5,33.3,9,60.0,152,762,427,11,7,0,6,6,188,31
216,Folarin Balogun,33.3,970,16,72,385,525,198,963,87,35,40.2,44,50.6,742,4561,1697,56,27,45,94,74,743,283
217,Abdoulaye Bamba,15.2,832,52,317,442,81,2,832,9,4,44.4,4,44.4,598,2647,1112,8,5,0,9,4,541,19
218,Jonathan Bamba,30.9,1803,22,170,799,859,140,1803,99,35,35.4,54,54.5,1438,8683,3476,111,84,29,66,61,1354,345
219,Patrick Bamford,16.8,550,19,34,257,266,83,548,34,11,32.4,19,55.9,290,1186,447,17,17,13,56,21,386,96
