,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
628,Yan Couto,12.9,734,20,184,295,266,20,734,60,28,46.7,27,45.0,447,3355,1826,56,31,12,26,13,482,89
630,Nicolas Cozza,14.2,747,66,289,329,133,19,747,15,5,33.3,8,53.3,447,2740,1368,20,16,3,18,4,407,34
631,Nicolas Cozza,1.1,53,2,26,26,3,0,53,1,0,0.0,0,0.0,36,246,85,2,0,0,1,2,35,2
634,Aaron Cresswell,24.8,1607,97,507,668,438,13,1607,7,2,28.6,4,57.1,766,3497,1751,35,26,1,6,6,960,82
635,Bryan Cristante,32.6,1994,99,559,1257,196,39,1993,13,9,69.2,3,23.1,1043,4607,2063,16,13,4,25,11,1290,27
636,Domen Crnigoj,3.3,160,5,36,95,32,6,160,4,2,50.0,2,50.0,64,255,71,2,2,1,13,1,89,9
637,Juan Cruz Armada,22.9,1163,103,404,562,206,4,1163,15,6,40.0,5,33.3,543,2683,1400,15,15,1,17,4,620,55
638,Juan Cruz,2.0,63,0,6,19,39,8,63,7,3,42.9,3,42.9,38,308,194,7,4,3,4,2,39,15
639,Juan Cuadrado,23.1,1581,41,400,758,433,50,1581,59,25,42.4,22,37.3,914,4703,2541,48,35,20,35,14,1057,125
640,Marc Cucurella,18.6,1490,63,470,672,358,12,1490,14,5,35.7,6,42.9,787,3205,1797,30,20,2,14,6,906,65
642,Braian Cufre,2.4,110,5,28,54,28,2,110,3,2,66.7,0,0.0,57,238,142,3,2,0,2,1,59,9
643,Mickael Cuisance,6.9,290,10,48,138,109,11,290,12,8,66.7,3,25.0,182,950,386,11,14,3,15,16,179,31
644,Matheus Cunha,10.7,372,14,66,170,147,45,372,39,26,66.7,8,20.5,195,1119,459,16,6,7,31,13,224,43
645,Matheus Cunha,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19
647,Marco D'Alessandro,3.2,141,1,37,55,52,10,141,5,1,20.0,3,60.0,80,713,329,14,4,5,4,5,89,19
648,Danilo D'Ambrosio,8.1,635,58,303,269,64,12,635,6,1,16.7,3,50.0,424,1843,988,8,7,2,7,2,467,17
650,Luca D'Andrea,3.5,129,0,17,61,53,12,129,12,4,33.3,6,50.0,81,535,314,11,4,5,11,7,91,29
651,Damien Da Silva,3.8,295,17,105,166,25,3,295,2,1,50.0,1,50.0,206,1084,441,2,6,0,2,1,200,1
652,Moanes Dabbur,10.4,408,2,27,196,191,42,408,29,13,44.8,16,55.2,256,950,351,10,6,6,28,21,304,61
654,Colin Dagba,10.6,617,22,148,258,220,20,617,25,11,44.0,12,48.0,402,2384,1286,26,21,5,9,10,361,48
656,Mahmoud Dahoud,3.7,302,9,64,183,56,2,302,5,3,60.0,2,40.0,153,736,305,5,6,1,6,4,218,4
657,Patson Daka,13.2,444,13,42,175,230,58,444,18,7,38.9,8,44.4,207,1090,461,18,8,11,46,19,288,82
658,Thijs Dallinga,26.1,719,24,43,341,341,110,719,24,10,41.7,9,37.5,517,2700,742,23,21,8,40,18,574,174
659,Diogo Dalot,23.9,1673,125,580,714,390,38,1673,35,21,60.0,7,20.0,878,4258,2161,46,32,12,18,5,994,85
660,Muhammed Damar,1.8,94,1,17,49,29,6,94,6,0,0.0,5,83.3,49,273,145,2,3,1,9,2,65,7
661,Mikkel Damsgaard,11.0,529,9,104,268,166,27,529,23,9,39.1,9,39.1,279,1075,574,9,9,1,15,6,307,45
662,Flavius Daniliuc,24.4,1374,200,757,572,58,16,1374,5,2,40.0,3,60.0,727,3691,1769,14,10,0,14,4,843,5
664,Danilo,10.8,383,26,118,182,92,21,383,19,14,73.7,4,21.1,171,815,439,13,9,6,20,8,171,22
665,Danilo,35.4,2597,271,1054,1304,257,45,2597,23,7,30.4,9,39.1,1380,6329,3479,39,26,1,22,9,1685,43
666,Arnaut Danjuma,1.9,72,1,5,35,32,8,72,6,3,50.0,3,50.0,44,233,128,5,2,2,1,3,58,19
667,Arnaut Danjuma,5.3,135,2,11,39,86,23,134,8,3,37.5,4,50.0,88,490,260,12,3,8,11,6,103,35
669,Kevin Danso,35.9,2686,246,1036,1566,105,32,2686,37,19,51.4,12,32.4,2008,13114,7379,34,32,1,17,17,1820,2
670,Dante,36.7,2991,346,1427,1505,75,31,2991,13,8,61.5,5,38.5,2374,11876,6155,12,11,0,15,9,2177,3
671,Marton Dardai,10.5,485,56,257,217,18,5,485,4,3,75.0,0,0.0,219,1042,608,2,1,0,4,4,236,0
672,Sergi Darder,36.9,1980,43,276,1145,605,39,1980,135,68,50.4,54,40.0,1214,8752,4719,111,95,9,43,26,1273,75
673,Achraf Dari,14.6,846,135,480,356,16,9,846,1,1,100.0,0,0.0,561,2954,1268,3,1,0,4,3,493,1
674,Vladimir Darida,0.3,20,0,5,6,9,0,20,1,1,100.0,0,0.0,7,38,19,1,1,0,4,1,8,1
676,Matteo Darmian,22.5,1564,94,580,754,241,23,1564,25,9,36.0,9,36.0,914,3627,1984,22,18,4,14,10,1087,96
677,Josh Dasilva,15.4,770,17,144,342,298,32,770,56,32,57.1,15,26.8,536,3392,1631,60,43,9,28,28,562,69
678,David Datro Fofana,0.8,33,1,2,10,22,7,33,8,5,62.5,2,25.0,24,119,45,2,2,3,9,3,23,9
679,Jonathan David,35.2,1224,23,87,529,622,214,1213,78,29,37.2,38,48.7,973,5196,1898,67,44,39,87,52,947,297
680,Alphonso Davies,22.7,1859,51,446,912,545,84,1859,140,70,50.0,55,39.3,1226,7671,4417,117,66,37,50,27,1229,158
681,Ben Davies,25.4,1482,95,514,749,223,29,1482,15,5,33.3,7,46.7,835,4386,2692,39,33,4,11,5,1012,69
682,Tom Davies,6.0,309,13,74,183,54,15,309,6,3,50.0,3,50.0,150,616,253,2,1,0,17,4,201,13
683,Pawel Dawidowicz,18.1,1019,91,484,450,96,17,1019,8,1,12.5,4,50.0,463,2270,1282,20,13,1,8,4,498,17
684,Craig Dawson,8.0,380,53,211,142,28,14,380,1,0,0.0,1,100.0,193,1042,600,0,5,0,2,4,216,1
685,Craig Dawson,15.7,1084,182,619,437,32,15,1084,4,3,75.0,0,0.0,628,2615,1323,5,3,0,5,2,748,1
686,Kevin De Bruyne,26.9,1860,13,100,743,1041,100,1860,61,32,52.5,19,31.1,1129,5721,3415,100,81,16,42,29,1445,245
687,Charles De Ketelaere,12.4,533,10,50,241,252,60,533,59,36,61.0,16,27.1,313,2178,1149,45,26,14,25,30,351,69
689,Tommaso De Nipoti,0.0,6,0,0,5,2,1,6,1,1,100.0,0,0.0,3,24,23,1,1,0,0,0,3,0
690,Rodrigo De Paul,21.4,1598,14,261,923,425,18,1598,32,16,50.0,11,34.4,1026,5240,2897,55,41,3,32,15,1279,68
691,Mattia De Sciglio,11.6,652,30,190,338,127,4,652,9,2,22.2,3,33.3,343,1610,755,16,12,0,8,7,406,40
692,Lorenzo De Silvestri,7.5,484,27,172,237,81,7,484,4,2,50.0,1,25.0,261,1371,800,18,12,0,6,5,289,17
693,Thibault De Smet,19.5,1280,68,358,660,276,5,1280,14,5,35.7,8,57.1,813,4432,2019,39,32,1,19,8,723,89
694,Koni De Winter,11.4,614,118,405,207,6,0,614,2,1,50.0,1,50.0,347,1854,819,2,1,0,8,3,370,0
695,Gregoire Defrel,13.0,362,7,34,175,159,34,362,21,7,33.3,14,66.7,216,1003,331,11,12,2,28,17,254,75
697,Brecht Dejaegere,20.1,879,21,114,478,303,43,879,50,19,38.0,25,50.0,649,3832,1521,36,26,5,35,18,613,96
698,Romain Del Castillo,15.8,892,6,82,413,416,45,887,70,28,40.0,32,45.7,618,3955,1603,47,36,12,45,29,586,125
700,Thomas Delaine,11.9,642,28,148,267,239,20,642,27,12,44.4,11,40.7,415,2770,1239,38,27,9,18,5,374,92
703,Thomas Delaney,3.3,191,10,80,90,22,0,191,6,2,33.3,3,50.0,105,321,132,0,0,0,1,2,112,3
706,Andy Delort,8.7,309,7,21,150,141,37,306,12,4,33.3,7,58.3,224,1093,372,7,7,1,23,9,246,48
707,Andy Delort,5.2,193,2,10,78,105,32,193,9,6,66.7,2,22.2,125,532,138,2,2,1,14,8,131,44
708,Karamoko Dembele,2.0,115,1,8,48,61,10,115,6,2,33.3,2,33.3,90,697,355,7,7,3,7,7,86,26
709,Moussa Dembele,9.7,299,9,24,135,143,50,299,12,4,33.3,8,66.7,200,1043,240,10,4,5,32,16,215,66
710,Ousmane Dembele,15.7,1041,2,30,311,719,103,1041,114,52,45.6,50,43.9,755,6024,3328,124,75,56,27,18,841,209
711,Siriki Dembele,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11
712,Siriki Dembele,4.1,159,0,25,57,82,13,159,31,19,61.3,9,29.0,127,995,405,14,9,8,13,16,114,29
713,Merih Demiral,17.1,832,140,495,319,28,14,832,9,2,22.2,5,55.6,348,1662,564,3,5,1,6,2,374,4
714,Kerem Demirbay,17.2,1253,42,247,700,313,16,1253,24,8,33.3,12,50.0,624,3184,1510,22,20,4,25,21,817,21
715,Ermedin Demirovic,26.3,867,42,122,326,430,122,866,53,19,35.8,28,52.8,391,1933,797,26,22,11,53,32,516,120
716,Diego Demme,1.6,205,6,30,153,22,0,205,4,2,50.0,1,25.0,143,612,270,3,1,0,3,1,183,1
717,Sepp van den Berg,7.7,419,50,250,152,19,12,419,4,1,25.0,3,75.0,223,1062,528,1,0,0,8,1,217,3
718,Branco van den Boomen,32.1,2457,43,385,1362,726,38,2453,38,19,50.0,14,36.8,1758,8854,3811,48,54,7,32,12,1682,102
719,Leander Dendoncker,7.7,365,21,102,219,46,7,365,5,3,60.0,2,40.0,171,852,271,1,6,1,8,3,207,2
720,Leander Dendoncker,2.4,128,6,33,75,21,5,128,2,1,50.0,1,50.0,60,205,77,1,0,0,2,2,77,3
721,Emmanuel Dennis,8.0,335,5,55,118,177,40,335,53,18,34.0,26,49.1,211,1512,840,24,15,8,32,25,219,63
722,Fabio Depaoli,24.1,953,51,238,411,317,35,953,46,11,23.9,27,58.7,408,1989,972,28,14,4,38,18,422,76
723,Fabio Depaoli,1.5,117,6,28,56,34,3,117,7,3,42.9,2,28.6,73,347,184,2,3,0,2,1,70,6
728,Mikkel Desler,25.1,1855,94,457,936,477,33,1855,51,27,52.9,16,31.4,1269,6952,3217,59,56,9,40,17,1146,127
729,Cyriel Dessers,17.6,466,8,18,162,289,115,465,36,13,36.1,22,61.1,268,1302,530,21,10,24,61,21,340,110
730,Sergino Dest,3.7,246,7,75,116,61,3,246,18,8,44.4,9,50.0,134,827,470,11,3,0,3,5,137,12
731,Mattia Destro,6.4,139,6,12,59,68,26,139,8,4,50.0,4,50.0,79,286,108,4,1,3,14,5,102,20
732,Gerard Deulofeu,13.5,725,5,44,295,400,82,725,45,20,44.4,21,46.7,455,3177,2005,72,39,33,22,18,506,118
733,Kiernan Dewsbury-Hall,25.6,1490,48,278,795,443,50,1490,74,40,54.1,26,35.1,903,5218,2559,68,36,16,73,32,1038,91
734,Samuel Di Carmine,0.3,9,0,0,4,5,2,9,1,1,100.0,0,0.0,6,31,6,1,0,0,0,0,6,2
735,Federico Di Francesco,22.6,745,14,88,288,383,82,745,49,17,34.7,27,55.1,447,2745,1387,50,27,18,56,28,500,177
736,Michele Di Gregorio,37.0,1607,1324,1600,7,0,0,1607,2,2,100.0,0,0.0,973,5309,3519,0,0,0,1,1,841,0
737,Giovanni Di Lorenzo,36.2,2957,104,715,1476,788,94,2957,33,12,36.4,17,51.5,1842,7948,4413,73,62,4,21,17,2119,182
738,Angel Di Maria,15.1,851,2,71,372,426,46,850,80,32,40.0,41,51.3,552,3838,1814,56,43,13,32,26,640,95
739,Boulaye Dia,28.0,885,31,113,427,364,75,884,88,35,39.8,39,44.3,610,4033,1545,48,47,13,71,61,673,140
740,Moussa Diaby,30.0,1279,3,88,539,666,139,1278,105,51,48.6,45,42.9,849,5736,3178,125,73,55,64,42,1040,258
741,Mouctar Diakhaby,27.2,1452,188,711,659,90,52,1452,10,5,50.0,4,40.0,823,4136,2149,19,14,1,14,3,868,11
742,Mamadou Diakhon,0.2,10,0,2,4,4,1,10,2,1,50.0,1,50.0,6,35,24,1,0,0,2,0,4,1
743,Bafode Diakite,29.5,2189,84,545,1252,411,39,2189,30,19,63.3,8,26.7,1569,7572,3718,43,44,7,28,15,1460,67
744,Ibrahim Diakite,1.5,83,4,30,32,23,1,83,3,1,33.3,1,33.3,46,264,96,0,1,0,1,1,37,6
745,Abdou Diallo,5.3,443,57,203,216,27,8,443,5,3,60.0,1,20.0,277,1519,942,11,3,1,3,6,305,3
746,Baila Diallo,1.0,55,3,13,18,24,4,55,1,0,0.0,1,100.0,25,160,59,3,2,2,1,1,26,9
747,Habib Diallo,32.0,1007,34,90,430,494,192,1003,71,29,40.8,39,54.9,665,3878,1285,40,28,20,118,35,768,203
748,Ibrahima Diallo,9.1,499,18,128,308,74,4,499,13,8,61.5,5,38.5,287,1445,710,9,4,0,16,9,294,6
749,Ismael Diallo,24.2,1309,95,517,633,177,3,1309,34,14,41.2,14,41.2,832,4820,2213,36,33,0,35,10,682,36
750,Mamady Diarra,0.7,21,0,6,9,6,3,21,3,1,33.3,2,66.7,14,84,55,3,0,1,1,1,9,0
751,Mouhamadou Diarra,18.1,867,12,132,413,336,41,867,62,25,40.3,25,40.3,649,4270,2145,68,44,18,37,21,574,89
752,Moussa Diarra,13.6,789,56,296,344,153,8,789,24,9,37.5,13,54.2,546,3188,1480,21,22,1,23,5,489,43
754,Stephane Diarra,11.8,525,19,123,204,218,40,525,78,24,30.8,45,57.7,381,2900,1516,40,25,20,32,14,306,85
756,Ruben Dias,22.2,2237,176,881,1280,83,22,2237,10,8,80.0,1,10.0,1497,8194,5025,14,22,1,1,4,1791,2
757,Krepin Diatta,23.0,1011,13,93,367,560,88,1011,61,32,52.5,18,29.5,745,4532,2035,80,51,28,45,20,720,229
758,Mory Diaw,37.0,1561,1266,1549,12,0,0,1561,1,1,100.0,0,0.0,1064,5707,3786,0,0,0,0,0,698,0
759,Brahim Diaz,21.4,990,6,63,538,413,65,990,86,39,45.3,40,46.5,691,4623,2512,80,68,17,74,48,763,116
760,Luis Diaz,11.1,618,4,47,247,336,77,618,65,32,49.2,25,38.5,440,2944,1303,39,31,22,30,37,500,116
761,Justin Diehl,0.2,3,0,0,0,3,0,3,1,0,0.0,1,100.0,3,17,12,0,0,0,0,0,4,1
762,Bamba Dieng,2.2,76,1,4,39,34,15,76,3,2,66.7,1,33.3,54,303,112,5,1,2,7,4,58,23
763,Bamba Dieng,8.3,259,6,26,131,105,36,258,31,9,29.0,14,45.2,193,989,291,4,5,4,21,15,195,48
764,Eric Dier,31.3,2274,370,1333,866,84,25,2274,6,3,50.0,2,33.3,1368,6183,2851,9,9,1,10,3,1600,14
765,Florian Dietz,4.4,137,3,4,62,72,25,137,7,1,14.3,4,57.1,68,331,153,8,4,4,18,9,99,22
766,Lucas Digne,16.7,1096,64,365,396,342,24,1096,18,3,16.7,11,61.1,552,2363,1262,29,14,2,16,12,625,89
767,Federico Dimarco,23.0,1451,40,312,552,600,72,1451,20,5,25.0,13,65.0,776,3457,1846,45,29,6,18,11,955,189
769,Junior Dina Ebimbe,11.8,689,33,175,353,175,38,689,44,17,38.6,22,50.0,344,2173,1122,38,22,8,27,15,398,42
770,Tristan Dingome,1.1,88,0,9,41,38,5,88,2,1,50.0,1,50.0,66,263,123,1,1,1,1,1,61,4
771,Eren Dinkci,2.6,131,2,8,51,75,20,131,14,4,28.6,10,71.4,79,376,143,5,6,3,16,4,92,24
772,Sinaly Diomande,21.7,1711,120,693,902,120,14,1711,20,10,50.0,5,25.0,1241,6376,3326,10,20,0,20,5,1147,8
773,Lois Diony,5.6,196,1,4,85,110,30,196,11,3,27.3,6,54.5,141,747,224,14,8,3,16,8,163,64
774,Edan Diop,2.5,167,2,20,68,83,16,167,11,3,27.3,8,72.7,119,636,275,8,11,2,4,3,111,29
775,Issa Diop,22.4,1606,191,828,762,28,9,1606,5,3,60.0,1,20.0,1026,6695,4194,13,5,0,10,1,1115,4
776,Sofiane Diop,13.6,876,14,133,431,324,34,876,49,22,44.9,24,49.0,695,4490,1888,55,35,10,39,21,638,91
777,Sofiane Diop,0.7,48,0,0,14,35,5,48,5,1,20.0,3,60.0,33,255,127,5,5,3,3,3,32,10
778,Yehvann Diouf,31.0,1138,914,1131,7,0,0,1138,2,2,100.0,0,0.0,843,4099,2346,0,0,0,2,0,543,0
780,Axel Disasi,37.0,2293,234,832,1326,161,51,2292,29,21,72.4,8,27.6,1662,11330,6779,64,45,5,18,17,1484,17
781,Tiago Djalo,22.4,1780,173,763,976,57,18,1780,14,5,35.7,6,42.9,1409,7349,3933,9,15,1,5,8,1272,4
782,Djene,31.6,1418,117,599,716,120,11,1418,28,18,64.3,3,10.7,754,3584,1725,11,17,0,22,15,745,20
783,Moussa Djenepo,7.9,358,16,103,158,102,16,358,42,19,45.2,17,40.5,197,1423,726,27,11,6,15,7,182,39
784,Koffi Djidji,26.9,1678,129,754,844,90,8,1678,5,4,80.0,1,20.0,919,3316,1486,11,10,0,7,6,1123,13
785,Alexander Djiku,29.7,1873,241,878,932,74,26,1873,6,4,66.7,2,33.3,1173,6156,2955,4,9,1,8,7,1035,4
786,Berat Djimsiti,20.0,1294,140,647,587,64,15,1294,7,4,57.1,2,28.6,700,3099,1396,7,7,1,10,5,817,9
787,Moussa Djitte,1.5,50,1,5,25,21,2,50,4,0,0.0,2,50.0,36,206,38,0,0,0,8,2,38,12
791,Ben Doak,0.3,22,0,4,10,10,2,22,4,0,0.0,4,100.0,16,182,51,1,3,2,1,0,15,4
792,Ritsu Doan,26.9,1038,18,125,430,508,103,1038,129,50,38.8,62,48.1,636,4016,1993,83,50,35,75,52,690,167
793,Dodo,25.9,1719,52,464,813,462,24,1719,62,34,54.8,21,33.9,1028,6650,3625,72,58,7,35,15,1083,104
794,Danilho Doekhi,24.6,1209,116,563,553,99,27,1209,7,3,42.9,1,14.3,640,2993,1470,15,9,1,8,3,703,21
795,Matt Doherty,7.4,500,27,144,184,172,24,500,12,5,41.7,4,33.3,247,953,443,16,5,2,12,3,306,57
797,Josh Doig,15.0,705,27,191,276,256,27,705,54,23,42.6,22,40.7,336,2325,1064,41,24,5,33,16,360,61
798,Jeremy Doku,14.3,744,5,71,292,419,89,744,159,96,60.4,49,30.8,643,5774,3010,101,70,47,44,24,576,156
799,Kasper Dolberg,2.2,46,5,7,23,17,5,46,3,1,33.3,0,0.0,28,202,75,2,2,0,3,2,31,9
800,Kasper Dolberg,4.5,148,10,23,56,71,16,148,8,3,37.5,4,50.0,82,444,158,4,7,2,24,6,96,20
801,Carlos Dominguez,1.2,46,11,32,15,1,0,46,1,1,100.0,0,0.0,20,91,30,0,0,0,0,1,18,0
802,Nicolas Dominguez,25.6,1703,47,308,991,419,37,1703,37,23,62.2,12,32.4,908,3910,1802,39,41,5,50,21,1170,84
803,John Donald,12.1,542,49,236,273,33,7,542,7,5,71.4,2,28.6,313,1467,609,3,2,0,14,3,318,2
804,Giulio Donati,4.7,349,26,151,159,44,1,349,3,1,33.3,2,66.7,219,1022,462,4,6,0,3,1,259,8
806,Kyliane Dong,2.4,77,0,7,32,41,8,77,11,5,45.5,4,36.4,61,541,280,12,8,4,9,4,60,18
807,Jordan Dongmo,0.2,13,0,0,9,4,0,13,1,0,0.0,1,100.0,11,37,7,0,0,0,1,1,11,0
808,Gianluigi Donnarumma,37.9,1021,909,1016,6,0,0,1021,1,1,100.0,0,0.0,695,3076,1895,0,0,0,0,0,447,0
809,Niklas Dorsch,5.4,237,24,95,121,27,0,237,8,5,62.5,3,37.5,99,526,223,2,1,0,1,5,100,0
810,Gabriel Dos Santos,37.9,2776,307,1153,1419,215,53,2776,3,2,66.7,0,0.0,1746,8780,5471,18,43,3,19,4,1934,16
811,Jodel Dossou,2.9,101,1,13,40,51,9,101,21,8,38.1,10,47.6,67,446,214,8,4,2,8,5,64,23
812,Lohann Doucet,1.0,92,5,20,59,14,1,92,2,1,50.0,1,50.0,63,355,201,2,3,0,0,0,54,1
813,Abdoulaye Doucoure,17.0,713,18,156,327,242,45,713,33,20,60.6,11,33.3,371,1689,896,23,16,7,27,13,440,66
814,Cheick Doucoure,30.8,1577,94,444,894,255,15,1577,21,15,71.4,6,28.6,761,3761,1761,18,25,1,28,20,884,17
815,Ckene Doucoure,1.5,86,0,8,35,44,12,86,15,7,46.7,6,40.0,65,511,194,5,2,1,14,6,71,20
816,Desire Doue,12.4,651,10,61,351,254,34,651,79,48,60.8,23,29.1,502,3396,1508,39,33,9,33,32,463,83
818,Ismael Doukoure,25.5,1340,85,467,784,108,3,1340,45,29,64.4,12,26.7,953,5737,2683,27,25,2,21,20,830,20
819,Kamory Doumbia,12.8,708,14,93,368,254,37,707,36,18,50.0,16,44.4,536,3098,1318,29,21,3,34,20,486,82
820,Souleyman Doumbia,19.9,1183,52,341,586,276,20,1183,77,27,35.1,38,49.4,786,5076,2556,52,43,11,28,10,703,95
821,Flynn Downes,8.5,405,14,74,265,68,5,405,2,1,50.0,0,0.0,224,1041,364,3,5,1,11,6,276,11
822,Kami Doyle,0.1,6,0,2,3,1,0,6,1,0,0.0,1,100.0,4,12,1,0,0,0,0,1,7,0
824,Cody Drameh,0.8,44,1,7,26,11,0,44,1,1,100.0,0,0.0,17,48,10,0,1,0,1,1,23,3
825,Dion Drena Beljo,12.5,371,18,45,190,140,29,371,15,7,46.7,6,40.0,184,951,291,14,7,4,33,23,275,42
826,Dominick Drexler,15.2,628,20,113,304,223,41,628,21,10,47.6,9,42.9,324,1557,696,17,17,2,22,18,374,69
827,Domingos Duarte,29.5,1246,178,677,538,35,22,1246,6,5,83.3,1,16.7,583,2704,1231,6,2,0,6,3,621,0
829,Marvin Ducksch,31.7,1251,50,116,463,676,149,1250,38,15,39.5,20,52.6,576,2035,851,31,15,24,63,16,762,215
830,Ondrej Duda,11.8,573,20,86,363,131,11,573,34,20,58.8,8,23.5,311,1850,701,15,14,0,14,17,302,22
832,Ondrej Duda,7.7,360,5,37,205,120,14,360,21,9,42.9,11,52.4,220,1157,450,12,9,3,16,13,241,33
833,Shane Duffy,0.2,22,3,13,9,1,1,22,1,1,100.0,0,0.0,9,41,18,0,0,0,1,0,12,0
834,Remy Dugimont,1.3,82,5,14,27,42,4,82,1,0,0.0,1,100.0,60,333,130,2,2,0,2,1,60,12
835,Denzel Dumfries,24.6,1263,42,266,551,467,99,1263,52,18,34.6,23,44.2,674,3940,1928,62,32,23,39,20,785,172
836,Alfred Duncan,12.3,634,10,92,371,179,9,634,23,12,52.2,8,34.8,348,1705,786,18,16,4,17,14,434,30
837,Lewis Dunk,36.0,3461,428,1665,1712,97,34,3461,5,4,80.0,0,0.0,2294,11410,6327,19,21,0,13,5,2586,5
838,Maxime Dupe,38.0,1372,1064,1364,7,1,1,1372,2,2,100.0,0,0.0,941,5150,3364,0,0,0,2,0,686,0
839,Jhon Duran,1.5,57,3,3,26,29,6,57,2,1,50.0,1,50.0,33,205,123,4,5,1,8,3,41,13
840,Pablo Duran,0.4,29,3,8,10,11,0,29,3,1,33.3,2,66.7,14,54,5,0,0,0,0,0,16,3
841,Julien Duranville,0.3,20,0,2,3,15,0,20,3,3,100.0,0,0.0,16,231,76,4,0,0,1,0,17,4
842,Hugo Duro,15.4,431,11,29,187,217,73,430,13,2,15.4,8,61.5,229,704,357,9,6,6,31,19,319,67
843,Jean-Kevin Duverne,27.9,1775,96,486,887,434,18,1775,65,26,40.0,30,46.2,1099,7192,3960,80,71,10,39,20,979,134
844,Paulo Dybala,19.3,1089,2,85,542,478,78,1084,64,27,42.2,27,42.2,689,4141,1816,56,43,20,62,32,785,109
845,Edin Dzeko,19.2,749,30,67,351,341,113,749,26,8,30.8,14,53.8,400,2047,726,32,12,15,48,16,587,150
846,Malcolm Ebiowei,0.4,21,0,1,8,12,2,21,5,2,40.0,3,60.0,14,107,30,2,1,0,5,0,15,9
847,Festy Ebosele,4.6,233,16,64,82,97,13,233,36,19,52.8,13,36.1,129,1242,644,27,18,6,17,9,125,22
848,Enzo Ebosse,10.3,667,51,292,306,72,0,667,7,4,57.1,1,14.3,338,1593,868,11,7,1,8,3,383,20
849,Tyronne Ebuehi,21.4,1089,105,452,437,210,28,1089,26,11,42.3,9,34.6,558,2977,1483,31,21,5,16,14,604,42
851,Ederson,24.6,1455,50,339,778,355,46,1455,66,37,56.1,24,36.4,842,4133,2027,37,35,11,48,30,964,62
852,Odsonne Edouard,20.0,672,25,68,317,293,95,672,46,16,34.8,28,60.9,354,1637,633,29,21,21,60,51,479,100
853,Samuel Edozie,6.3,278,4,48,86,148,32,278,37,12,32.4,16,43.2,183,1551,741,26,21,13,24,12,188,39
854,Maximilian Eggestein,27.2,1098,38,235,598,276,34,1098,16,9,56.3,5,31.3,494,2396,990,20,23,2,21,23,581,46
855,Lilian Egloff,2.7,113,1,15,40,58,14,113,5,3,60.0,1,20.0,62,325,131,8,3,3,10,5,68,22
856,Inigo Eguaras,10.7,614,26,174,369,75,3,614,5,4,80.0,1,20.0,354,1476,706,8,8,0,7,4,433,7
858,Kingsley Ehizibue,17.1,779,51,267,282,236,31,779,43,14,32.6,19,44.2,400,2323,1020,29,16,7,20,11,407,69
859,Kingsley Ehizibue,0.7,33,1,12,14,7,0,33,1,0,0.0,1,100.0,15,66,31,1,2,0,2,0,18,3
861,Chidera Ejuke,9.9,434,2,34,226,196,32,434,97,47,48.5,40,41.2,303,2533,1113,38,21,18,32,20,308,67
862,Albin Ekdal,19.3,999,49,256,551,208,34,999,19,12,63.2,5,26.3,496,2381,929,15,24,2,32,17,566,35
863,Hugo Ekitike,12.8,473,5,32,202,250,63,473,39,16,41.0,18,46.2,353,2225,764,23,19,7,28,18,337,84
864,Emmanuel Ekong,0.2,6,0,1,4,2,0,6,1,0,0.0,1,100.0,3,56,43,1,1,0,0,0,3,1
865,Anthony Elanga,4.7,197,4,26,71,100,28,197,15,5,33.3,7,46.7,109,656,276,12,3,7,13,7,139,28
866,Alberth Elis,2.9,81,5,18,32,37,6,81,11,2,18.2,7,63.6,60,603,275,8,9,3,4,5,49,19
867,Mikael Ellertsson,1.9,60,3,11,31,19,0,60,3,1,33.3,1,33.3,21,209,80,3,2,0,2,2,25,4
868,Harvey Elliott,17.9,1194,14,147,566,491,50,1194,42,19,45.2,15,35.7,759,3981,1943,54,40,10,26,23,867,129
869,Elif Elmas,18.1,1196,10,130,582,498,47,1195,52,23,44.2,22,42.3,753,3972,1995,42,41,13,33,22,961,103
871,Aritz Elustondo,16.1,952,68,360,488,107,14,952,8,5,62.5,3,37.5,470,2264,1160,21,12,1,13,7,547,19
872,Nico Elvedi,31.4,2492,366,1398,1042,61,27,2492,3,1,33.3,2,66.7,1517,7687,4018,20,19,1,8,3,1748,5
873,Rodrigo Ely,35.1,1857,376,1164,646,54,30,1857,7,5,71.4,1,14.3,964,3809,1958,6,8,1,16,2,1084,4
874,Mohamed Elyounoussi,24.1,952,60,204,399,362,54,952,47,24,51.1,20,42.6,484,3141,1463,56,41,12,38,38,533,98
875,Adri Embarba,16.4,865,14,125,324,435,42,864,116,47,40.5,56,48.3,508,3885,1831,62,47,14,49,31,517,115
876,Adri Embarba,0.4,15,2,2,8,6,1,15,5,3,60.0,1,20.0,7,49,36,1,1,0,2,0,6,2
