,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,1.0,0.0,25.0,0.3,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
1,Adrián,es ESP,GK,Liverpool,Premier League,32.0,1987.0,11.0,9.0,875.0,9.7,10.0,1.03,27.0,17.0,63.0,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,
2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,24.0,1995.0,11.0,9.0,900.0,10.0,17.0,1.7,47.0,31.0,63.8,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,Enrico Alfonso,it ITA,GK,Brescia,Serie A,31.0,1988.0,4.0,4.0,279.0,3.1,4.0,1.29,11.0,7.0,63.6,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,
4,Alisson,br BRA,GK,Liverpool,Premier League,26.0,1992.0,29.0,29.0,2543.0,28.3,23.0,0.81,80.0,58.0,72.5,23.0,3.0,3.0,13.0,44.8,1.0,1.0,0.0,0.0,0.0
5,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,32.0,1986.0,4.0,4.0,180.0,2.0,1.0,0.5,3.0,2.0,66.7,1.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,
6,Lorenzo Andrenacci,it ITA,GK,Brescia,Serie A,24.0,1995.0,6.0,5.0,531.0,5.9,16.0,2.71,44.0,28.0,63.6,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,
7,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,35.0,1984.0,13.0,13.0,1170.0,13.0,16.0,1.23,51.0,36.0,68.6,5.0,4.0,4.0,3.0,23.1,1.0,0.0,0.0,1.0,
8,Alphonse Areola,fr FRA,GK,Real Madrid,La Liga,26.0,1993.0,4.0,4.0,360.0,4.0,5.0,1.25,14.0,9.0,78.6,3.0,1.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0
9,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,26.0,1993.0,3.0,3.0,270.0,3.0,2.0,0.67,3.0,1.0,33.3,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,
10,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,24.0,1994.0,33.0,33.0,2970.0,33.0,47.0,1.42,99.0,54.0,54.5,18.0,4.0,11.0,8.0,24.2,2.0,2.0,0.0,0.0,0.0
11,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,30.0,1989.0,34.0,34.0,3060.0,34.0,41.0,1.21,145.0,104.0,75.2,17.0,4.0,13.0,11.0,32.4,6.0,5.0,1.0,0.0,16.7
12,Emil Audero,it ITA,GK,Sampdoria,Serie A,22.0,1997.0,36.0,36.0,3240.0,36.0,60.0,1.67,165.0,109.0,67.9,12.0,5.0,19.0,9.0,25.0,8.0,7.0,0.0,1.0,0.0
13,Stefan Bajic,fr FRA,GK,Saint-Étienne,Ligue 1,17.0,2001.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,29.0,1990.0,30.0,30.0,2700.0,30.0,49.0,1.63,146.0,97.0,69.9,13.0,7.0,10.0,7.0,23.3,7.0,5.0,2.0,0.0,28.6
15,Asmir Begović,ba BIH,GK,Milan,Serie A,32.0,1987.0,2.0,1.0,129.0,1.4,3.0,2.09,7.0,4.0,71.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,Walter Benítez,ar ARG,GK,Nice,Ligue 1,26.0,1993.0,26.0,26.0,2340.0,26.0,36.0,1.38,130.0,95.0,75.4,9.0,8.0,9.0,4.0,15.4,6.0,4.0,1.0,1.0,20.0
17,Etrit Berisha,al ALB,GK,SPAL,Serie A,30.0,1989.0,26.0,26.0,2340.0,26.0,44.0,1.69,147.0,105.0,74.1,5.0,3.0,18.0,3.0,11.5,6.0,6.0,0.0,0.0,0.0
18,Paul Bernardoni,fr FRA,GK,Nîmes,Ligue 1,22.0,1997.0,25.0,25.0,2204.0,24.5,38.0,1.55,108.0,71.0,68.5,7.0,4.0,14.0,6.0,24.0,4.0,4.0,0.0,0.0,0.0
19,Dimitry Bertaud,fr FRA,GK,Montpellier,Ligue 1,21.0,1998.0,3.0,3.0,196.0,2.2,3.0,1.38,5.0,2.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Rubén Blanco,es ESP,GK,Celta Vigo,La Liga,24.0,1995.0,33.0,33.0,2960.0,32.9,43.0,1.31,135.0,92.0,71.9,6.0,14.0,13.0,10.0,30.3,5.0,5.0,0.0,0.0,0.0
21,Yassine Bounou,ma MAR,GK,Sevilla,La Liga,28.0,1991.0,6.0,5.0,495.0,5.5,3.0,0.55,20.0,17.0,90.0,4.0,1.0,0.0,4.0,80.0,1.0,1.0,0.0,0.0,0.0
22,Federico Brancolini,it ITA,GK,Fiorentina,Serie A,18.0,2001.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
23,Claudio Bravo,cl CHI,GK,Manchester City,Premier League,36.0,1983.0,4.0,3.0,347.0,3.9,7.0,1.82,15.0,8.0,53.3,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
24,Gianluigi Buffon,it ITA,GK,Juventus,Serie A,41.0,1978.0,9.0,9.0,810.0,9.0,10.0,1.11,33.0,23.0,72.7,7.0,1.0,1.0,1.0,11.1,2.0,1.0,0.0,1.0,0.0
26,Roman Bürki,ch SUI,GK,Dortmund,Bundesliga,28.0,1990.0,31.0,31.0,2770.0,30.8,40.0,1.3,95.0,58.0,61.1,19.0,5.0,7.0,12.0,38.7,3.0,3.0,0.0,0.0,0.0
27,Ludovic Butelle,fr FRA,GK,Angers,Ligue 1,36.0,1983.0,26.0,26.0,2340.0,26.0,32.0,1.23,83.0,51.0,65.1,10.0,6.0,10.0,11.0,42.3,3.0,3.0,0.0,0.0,0.0
28,Marcin Bułka,pl POL,GK,Paris S-G,Ligue 1,19.0,1999.0,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
29,Willy Caballero,ar ARG,GK,Chelsea,Premier League,37.0,1981.0,5.0,5.0,450.0,5.0,7.0,1.4,16.0,10.0,56.3,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,
30,Matis Carvalho,pt POR,GK,Montpellier,Ligue 1,20.0,1999.0,1.0,0.0,71.0,0.8,4.0,5.07,8.0,5.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
31,Koen Casteels,be BEL,GK,Wolfsburg,Bundesliga,27.0,1992.0,26.0,26.0,2340.0,26.0,38.0,1.46,105.0,67.0,67.6,11.0,6.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,0.0
32,Churripi,es ESP,GK,Valladolid,La Liga,25.0,1994.0,3.0,3.0,244.0,2.7,3.0,1.11,13.0,10.0,76.9,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,
33,Jasper Cillessen,nl NED,GK,Valencia,La Liga,30.0,1989.0,24.0,24.0,2096.0,23.3,30.0,1.29,109.0,78.0,78.0,10.0,7.0,7.0,5.0,20.8,8.0,6.0,2.0,0.0,25.0
34,Yannis Clementia,mq MTQ,GK,Nice,Ligue 1,22.0,1997.0,2.0,2.0,180.0,2.0,2.0,1.0,7.0,5.0,85.7,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35,Simone Colombi,it ITA,GK,Parma,Serie A,28.0,1991.0,4.0,4.0,360.0,4.0,4.0,1.0,19.0,15.0,84.2,1.0,1.0,2.0,1.0,25.0,2.0,1.0,0.0,1.0,0.0
