,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,36,38.0,637,382,321,236,80,313,693,45.2,380,359,85,274,420,1057,670,10
1,29,38.0,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13
2,33,38.0,652,386,311,268,73,310,610,50.8,300,402,99,303,375,1027,605,13
3,26,38.0,568,343,238,212,118,249,506,49.2,257,362,86,276,237,805,599,22
4,26,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,13
5,27,38.0,636,364,291,272,73,312,634,49.2,322,455,93,362,421,1057,613,12
6,26,38.0,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14
7,27,38.0,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9
8,34,34.0,522,299,251,202,69,232,479,48.4,247,429,126,303,286,808,755,14
9,33,38.0,674,378,337,263,74,313,678,46.2,365,441,118,323,454,1128,782,11
10,29,38.0,522,324,211,216,95,227,496,45.8,269,353,82,271,253,775,439,17
11,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19
12,30,38.0,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7
13,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13
14,27,38.0,648,373,310,255,83,297,618,48.1,321,414,131,283,302,950,652,7
15,31,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,10
16,25,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,12
17,29,38.0,705,417,348,289,68,356,740,48.1,384,435,115,320,475,1180,686,13
18,29,38.0,616,340,270,242,104,266,560,47.5,294,392,104,288,303,919,432,15
19,38,38.0,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13
20,26,38.0,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5
21,32,38.0,740,445,363,267,110,333,654,50.9,321,466,108,358,341,1081,661,20
22,28,38.0,685,398,350,250,85,351,779,45.1,428,424,126,298,440,1125,571,17
23,33,38.0,704,400,403,228,73,364,729,49.9,365,432,136,296,393,1097,771,13
24,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,5
25,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9
26,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5
27,32,38.0,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13
28,32,38.0,606,364,316,218,72,254,538,47.2,284,449,183,266,280,886,910,4
29,33,38.0,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9
30,28,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17
31,30,38.0,581,337,232,260,89,282,531,53.1,249,356,84,272,260,841,473,11
32,27,34.0,498,289,223,211,64,207,450,46.0,243,375,106,269,325,823,612,10
33,29,38.0,623,349,294,228,101,299,578,51.7,279,455,125,330,340,963,749,13
34,25,38.0,541,339,282,199,60,285,619,46.0,334,404,113,291,320,861,794,10
35,29,38.0,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20
36,36,38.0,605,357,319,228,58,296,562,52.7,266,445,143,302,337,942,745,12
37,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8
38,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8
39,25,38.0,572,325,247,241,84,258,523,49.3,265,385,110,275,315,887,541,7
40,29,38.0,594,352,296,219,79,288,558,51.6,270,421,131,290,307,901,704,10
41,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5
