,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
85,28,38.0,15376,19336,79.5,275969,93628,6788,7659,88.6,6681,7680,87.0,1502,2948,50.9,34,35.0,30.1,-1.0,375,1159,274,89,1328
86,29,38.0,15972,19672,81.2,277567,92697,7333,8180,89.6,6707,7682,87.3,1499,2669,56.2,46,43.1,34.0,2.9,386,1071,323,104,1449
87,29,38.0,15392,19236,80.0,275031,102525,6715,7800,86.1,6477,7508,86.3,1671,2815,59.4,33,35.8,34.8,-2.8,329,1259,297,59,1737
88,32,38.0,12751,16193,78.7,226331,85483,5580,6477,86.2,5447,6399,85.1,1278,2441,52.4,26,27.9,24.6,-1.9,303,941,206,63,1235
89,30,38.0,13391,16790,79.8,246847,93352,5689,6485,87.7,5719,6627,86.3,1624,2751,59.0,41,37.8,33.3,3.2,384,1009,295,70,1354
90,28,34.0,10312,14418,71.5,197596,82612,4140,5021,82.5,4555,5629,80.9,1359,2892,47.0,38,25.9,30.5,12.1,272,878,255,115,1012
91,28,38.0,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472
92,36,38.0,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244
93,32,38.0,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.1,38.3,-10.1,374,1304,349,52,1622
94,25,34.0,12443,16554,75.2,236998,93050,5048,6006,84.0,5399,6523,82.8,1688,3071,55.0,37,29.0,34.6,8.0,274,922,274,66,1140
95,25,38.0,12369,16357,75.6,219013,84296,5883,6778,86.8,4784,5831,82.0,1383,2753,50.2,25,32.7,26.8,-7.7,340,990,212,80,1274
96,28,34.0,12571,16129,77.9,245765,94282,4610,5453,84.5,6097,7016,86.9,1638,2876,57.0,44,39.2,40.4,4.8,303,1009,272,67,1306
97,32,38.0,14554,18294,79.6,264071,87310,6350,7195,88.3,6306,7257,86.9,1574,2890,54.5,12,25.4,21.0,-13.4,294,1110,252,71,1343
