,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,22,9.0,229,25.44,152,26,20,11,15,5,10,1.11,8,0,2,0,0,0
1,26,9.0,224,24.89,151,20,21,12,16,4,20,2.22,10,1,5,2,2,0
2,22,8.0,215,26.87,155,20,14,17,6,3,27,3.38,14,3,2,3,5,0
3,23,8.0,205,25.62,146,19,8,22,6,4,30,3.75,22,0,2,4,2,0
4,24,8.0,198,24.75,149,16,17,11,4,1,25,3.12,22,2,0,1,0,0
5,22,9.0,215,23.89,153,24,14,8,10,6,31,3.44,22,2,4,0,3,0
6,22,8.0,170,21.25,125,17,11,8,8,1,35,4.37,28,1,3,3,0,0
7,22,7.0,157,22.43,110,20,6,10,11,0,16,2.29,13,1,0,1,1,0
8,23,9.0,273,30.33,216,12,18,17,8,2,37,4.11,28,1,2,4,2,0
9,20,7.0,255,36.43,189,23,16,15,8,4,36,5.14,28,3,2,3,0,0
10,27,9.0,211,23.44,153,19,13,12,10,4,18,2.0,10,1,2,3,1,1
11,23,7.0,176,25.14,119,23,5,12,12,5,9,1.29,7,0,0,1,1,0
12,23,8.0,168,21.0,128,11,12,9,8,0,15,1.87,12,0,1,1,1,0
13,23,8.0,166,20.75,120,10,14,8,7,7,7,0.87,3,0,2,1,0,1
14,24,8.0,190,23.75,126,27,8,14,11,4,17,2.12,11,1,1,0,4,0
15,22,8.0,209,26.12,142,20,9,19,14,5,15,1.87,10,1,0,2,2,0
16,25,8.0,242,30.25,179,19,16,16,9,3,36,4.5,25,1,5,2,2,1
17,24,8.0,146,18.25,94,20,12,12,6,2,14,1.75,13,0,1,0,0,0
18,25,9.0,142,15.78,87,25,5,9,10,6,12,1.33,7,2,0,1,2,0
19,23,8.0,152,19.0,112,9,15,6,8,2,5,0.62,4,1,0,0,0,0
20,22,9.0,244,27.11,191,20,11,11,10,1,14,1.56,10,1,0,2,1,0
