,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,30,38.0,40,389,134,34.4,10.24,3.53,0.1,0.29,19.3,22,1,3,38.5,36.1,0.1,1.5,2.9
1,30,38.0,36,356,95,26.7,9.37,2.5,0.09,0.35,19.8,14,3,4,32.8,29.8,0.08,3.2,3.2
2,27,38.0,41,458,151,33.0,12.05,3.97,0.08,0.25,18.8,21,4,4,47.6,44.5,0.1,-6.6,-7.5
3,30,38.0,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7
4,25,38.0,57,570,192,33.7,15.0,5.05,0.09,0.27,16.9,15,5,9,64.1,57.2,0.1,-7.1,-5.2
5,26,38.0,39,421,142,33.7,11.08,3.74,0.08,0.23,16.7,13,6,8,49.7,43.8,0.11,-10.7,-10.8
6,26,38.0,57,401,147,36.7,10.55,3.87,0.13,0.36,18.5,15,4,5,50.2,46.3,0.12,6.8,6.7
7,27,34.0,41,430,141,32.8,12.65,4.15,0.09,0.26,18.1,20,4,4,44.7,41.6,0.1,-3.7,-4.6
8,25,38.0,96,575,264,45.9,15.13,6.95,0.16,0.35,17.0,60,3,5,83.5,80.1,0.15,12.5,12.9
9,28,34.0,90,595,226,38.0,17.5,6.65,0.14,0.37,16.8,22,6,8,75.8,69.8,0.12,14.2,14.2
10,41,38.0,32,470,145,30.9,12.37,3.82,0.06,0.21,19.8,23,2,3,38.3,36.0,0.08,-6.3,-6.0
11,29,38.0,56,415,160,38.6,10.92,4.21,0.13,0.34,19.5,22,2,3,46.0,43.7,0.11,10.0,10.3
12,30,38.0,37,356,119,33.4,9.37,3.13,0.1,0.29,19.4,32,2,3,36.6,34.3,0.1,0.4,0.7
13,31,38.0,52,465,143,30.8,12.24,3.76,0.1,0.34,19.1,22,4,6,51.0,46.1,0.1,1.0,1.9
14,22,38.0,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,6.2,5.6
15,24,38.0,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8
16,24,38.0,35,378,126,33.3,9.95,3.32,0.09,0.28,17.0,16,0,0,32.3,32.3,0.09,2.7,2.7
17,26,38.0,25,452,119,26.3,11.89,3.13,0.04,0.17,20.4,12,5,8,42.8,36.6,0.08,-17.8,-16.6
18,29,38.0,33,374,113,30.2,9.84,2.97,0.08,0.26,18.3,16,4,7,39.7,34.2,0.09,-6.7,-5.2
19,23,38.0,57,444,157,35.4,11.68,4.13,0.12,0.35,17.9,33,2,3,55.0,52.6,0.12,2.0,2.4
20,26,38.0,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52.0,0.09,5.6,5.0
21,25,38.0,36,389,131,33.7,10.24,3.45,0.09,0.27,18.7,10,1,2,34.1,32.5,0.08,1.9,2.5
22,29,38.0,38,378,129,34.1,9.95,3.39,0.1,0.28,20.0,12,2,3,34.6,32.2,0.09,3.4,3.8
23,28,38.0,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9
24,26,38.0,52,435,154,35.4,11.45,4.05,0.11,0.31,19.6,26,5,5,41.6,37.8,0.09,10.4,9.2
25,30,34.0,62,479,167,34.9,14.09,4.91,0.12,0.35,16.6,3,3,6,66.0,61.4,0.13,-4.0,-2.4
26,27,38.0,43,467,131,28.1,12.29,3.45,0.09,0.31,18.6,23,2,3,40.9,38.6,0.08,2.1,2.4
27,28,34.0,44,388,145,37.4,11.41,4.26,0.11,0.29,17.3,11,2,2,42.2,40.9,0.11,1.8,1.1
28,25,38.0,33,410,128,31.2,10.79,3.37,0.08,0.24,18.7,17,2,3,41.1,38.7,0.1,-8.1,-7.7
29,30,38.0,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,1.5,2.9
30,27,38.0,53,611,179,29.3,16.08,4.71,0.08,0.26,19.3,20,7,8,54.5,48.3,0.08,-1.5,-2.3
31,29,34.0,32,374,110,29.4,11.0,3.24,0.07,0.24,19.6,17,6,10,39.6,31.7,0.09,-7.6,-5.7
32,33,38.0,31,413,120,29.1,10.87,3.16,0.07,0.23,17.5,11,4,5,43.5,39.6,0.1,-12.5,-12.6
33,32,38.0,41,361,122,33.8,9.5,3.21,0.1,0.3,18.9,16,5,12,48.2,38.6,0.11,-7.2,-2.6
34,25,38.0,50,447,149,33.3,11.76,3.92,0.1,0.3,19.0,27,6,8,50.6,44.4,0.1,-0.6,-0.4
35,23,38.0,46,442,156,35.3,11.63,4.11,0.09,0.26,18.8,32,6,7,45.5,40.1,0.09,0.5,-0.1
36,29,34.0,28,390,129,33.1,11.47,3.79,0.06,0.19,19.0,17,3,5,37.7,33.8,0.09,-9.7,-8.8
37,26,34.0,44,430,140,32.6,12.65,4.12,0.09,0.29,18.4,17,4,5,44.6,40.6,0.1,-0.6,-0.6
38,32,38.0,30,354,89,25.1,9.32,2.34,0.06,0.26,20.5,19,7,7,33.0,27.7,0.08,-3.0,-4.7
39,25,34.0,43,315,128,40.6,9.26,3.76,0.12,0.3,17.8,13,4,5,39.2,35.3,0.12,3.8,3.7
40,26,34.0,64,470,172,36.6,13.82,5.06,0.13,0.35,18.1,13,4,5,50.5,46.6,0.1,13.5,13.4
41,25,38.0,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8
42,22,38.0,64,565,195,34.5,14.87,5.13,0.1,0.3,18.0,14,6,7,56.7,51.3,0.09,7.3,6.7
43,24,38.0,82,546,198,36.3,14.37,5.21,0.14,0.39,18.9,41,4,8,55.3,49.4,0.09,26.7,28.6
44,31,34.0,33,385,111,28.8,11.32,3.26,0.08,0.27,18.5,18,3,3,43.2,41.0,0.11,-10.2,-11.0
45,32,38.0,38,462,133,28.8,12.16,3.5,0.08,0.26,18.0,14,3,5,51.6,47.7,0.1,-13.6,-12.7
46,36,38.0,24,405,119,29.4,10.66,3.13,0.04,0.15,20.6,38,6,8,38.5,32.3,0.08,-14.5,-14.3
47,24,38.0,86,542,199,36.7,14.26,5.24,0.14,0.39,18.4,16,9,11,63.7,55.2,0.1,22.3,21.8
48,28,38.0,32,393,125,31.8,10.34,3.29,0.08,0.24,19.3,13,2,3,39.9,37.6,0.1,-7.9,-7.6
49,27,38.0,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50.0,45.3,0.11,3.0,2.7
50,33,38.0,43,405,119,29.4,10.66,3.13,0.09,0.32,19.4,26,5,5,44.7,40.8,0.1,-1.7,-2.8
51,24,34.0,58,505,166,32.9,14.85,4.88,0.11,0.33,17.8,24,3,5,57.5,53.6,0.11,0.5,1.4
52,25,38.0,41,429,139,32.4,11.29,3.66,0.09,0.28,20.7,22,2,2,36.4,34.8,0.08,4.6,4.2
53,27,38.0,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,9.1,9.4
54,26,38.0,85,574,220,38.3,15.11,5.79,0.14,0.36,19.0,53,6,7,63.4,58.3,0.1,21.6,20.7
55,27,34.0,46,449,149,33.2,13.21,4.38,0.09,0.27,17.7,15,6,7,51.1,45.8,0.1,-5.1,-5.8
56,27,34.0,38,411,143,34.8,12.09,4.21,0.08,0.24,20.9,17,4,4,35.4,32.3,0.08,2.6,1.7
57,37,38.0,23,397,108,27.2,10.45,2.84,0.05,0.18,18.7,14,4,6,38.4,33.7,0.09,-15.4,-14.7
58,25,38.0,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,24.4,24.3
59,27,38.0,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,11.3,12.7
60,26,38.0,79,619,219,35.4,16.29,5.76,0.12,0.34,17.7,22,5,8,78.1,71.7,0.12,0.9,2.3
61,36,38.0,33,426,156,36.6,11.21,4.11,0.07,0.19,19.9,16,3,4,40.3,37.2,0.09,-7.3,-7.2
62,23,38.0,54,606,214,35.3,15.95,5.63,0.08,0.23,19.6,24,4,6,51.2,46.6,0.08,2.8,3.4
63,32,38.0,83,483,169,35.0,12.71,4.45,0.16,0.45,17.9,34,7,8,62.3,56.1,0.12,20.7,19.9
64,23,38.0,36,490,154,31.4,12.89,4.05,0.07,0.23,20.5,25,0,2,42.6,41.0,0.09,-6.6,-5.0
65,30,38.0,36,496,129,26.0,13.05,3.39,0.06,0.25,19.9,34,4,5,41.8,37.9,0.08,-5.8,-5.9
66,23,38.0,73,648,245,37.8,17.05,6.45,0.1,0.27,19.0,20,6,8,67.1,60.7,0.1,5.9,6.3
67,27,38.0,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9
68,31,38.0,52,475,170,35.8,12.5,4.47,0.09,0.26,19.9,33,8,10,49.2,41.7,0.09,2.8,2.3
69,28,38.0,100,615,238,38.7,16.18,6.26,0.15,0.39,17.4,36,7,9,86.1,79.3,0.13,13.9,13.7
70,23,34.0,57,484,172,35.5,14.24,5.06,0.11,0.31,18.0,24,4,5,51.9,48.0,0.1,5.1,5.0
71,24,38.0,91,689,267,38.8,18.13,7.03,0.12,0.31,17.3,28,8,10,85.4,77.5,0.12,5.6,5.5
