,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,46.0,1.9,24.0,12.0,6.0,2.0,1.0,1.0,4.0,0.16,2.0,0.0,2.0,0.0,0.0,0.0
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,1.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,5.0,0.87,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,27.0,2.3,24.0,1.0,0.0,2.0,0.0,0.0,4.0,0.34,3.0,0.0,0.0,1.0,0.0,0.0
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,2.0,0.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,2.0,2.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,19.0,1.46,13.0,1.0,1.0,3.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,20.0,0.78,17.0,2.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,42.0,2.19,19.0,0.0,11.0,5.0,5.0,2.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,14.0,1.48,10.0,0.0,0.0,1.0,3.0,0.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,30.0,0.79,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,10.6,17.0,1.63,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,4.6,17.0,3.72,7.0,2.0,3.0,1.0,4.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,20.4,56.0,2.75,41.0,7.0,0.0,5.0,3.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,32.5,15.0,0.46,9.0,4.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0
