,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
21,Martin Agirregabiria,23.3,1237,76,403,635,210,9,1237,29,17,58.6,12,41.4,587,2671,1357,26,21,2,24,13,596,49
23,Kevin Agudelo,0.7,50,0,6,25,21,4,50,3,3,100.0,0,0.0,35,198,74,1,1,1,0,2,31,8
24,Kevin Agudelo,7.4,387,7,73,195,130,18,387,35,25,71.4,10,28.6,264,1922,1238,39,23,6,15,15,271,34
26,Nayef Aguerd,10.6,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859,0,0,0,4,3,467,0
27,Sergio Aguero,16.1,544,4,17,178,356,131,541,40,24,60.0,16,40.0,405,2057,816,35,26,23,34,30,436,105
28,Ruben Aguilar,11.9,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482,32,19,4,9,11,581,80
29,Emmanuel Agyemang-Badu,2.6,129,6,23,86,20,1,129,1,1,100.0,0,0.0,83,468,199,2,2,1,9,1,88,1
30,Jean-Eudes Aholou,7.0,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572,14,9,1,19,7,267,15
31,Joseph Aidoo,27.8,1540,192,830,678,41,11,1540,15,10,66.7,5,33.3,895,4335,2073,17,7,2,14,8,936,2
32,Ola Aina,23.1,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913,86,51,8,32,21,817,80
33,Youssef Ait Bennasser,6.0,465,11,71,354,43,0,465,7,4,57.1,3,42.9,305,1096,567,6,4,0,7,4,338,6
34,Rayan Ait Nouri,14.2,972,34,302,440,238,13,972,35,19,54.3,16,45.7,445,2684,1611,45,36,10,27,24,550,69
35,Albian Ajeti,1.5,28,0,1,8,19,7,28,2,0,0.0,2,100.0,17,61,8,0,0,1,4,2,22,10
36,Ludovic Ajorque,22.9,712,21,40,386,291,95,711,19,7,36.8,12,63.2,376,1503,584,21,15,8,53,15,553,137
37,Manuel Akanji,25.7,2148,170,1025,1055,72,10,2148,7,6,85.7,1,14.3,1443,7119,3766,18,12,0,15,6,1646,6
38,Marley Ake,1.1,40,1,7,16,17,2,40,5,4,80.0,1,20.0,25,188,72,1,1,0,1,0,24,6
39,Nathan Ake,27.8,1557,238,888,604,77,36,1557,3,3,100.0,0,0.0,958,4935,3112,12,5,0,9,5,922,7
40,Chadrac Akolo,6.0,280,4,52,141,92,14,280,12,5,41.7,7,58.3,168,688,340,11,14,5,14,15,198,53
41,Kevin Akpoguma,12.7,916,130,504,398,22,2,916,3,2,66.7,1,33.3,530,2637,1416,7,2,0,11,9,610,5
42,David Alaba,27.8,2691,145,943,1538,232,12,2691,9,7,77.8,2,22.2,1907,12192,7412,69,28,3,16,4,2060,42
43,Sofiane Alakouch,15.6,984,39,284,473,242,17,984,33,17,51.5,16,48.5,454,2492,1477,32,22,8,21,7,488,39
44,Lucas Alario,13.0,453,11,24,213,221,78,452,18,13,72.2,5,27.8,247,1027,231,7,5,8,35,17,341,63
45,Jordi Alba,24.3,2307,66,459,1074,782,64,2307,21,12,57.1,9,42.9,1399,5468,2912,42,28,8,17,6,1734,244
46,Luis Alberto,34.6,2653,14,260,1371,1086,98,2652,107,73,68.2,34,31.8,1620,11683,7365,203,171,29,51,47,1901,163
47,Raul Albiol,36.0,2282,336,1270,971,52,21,2282,3,3,100.0,0,0.0,1193,6416,3896,11,8,1,9,2,1497,4
48,Marc Albrighton,9.6,618,12,102,245,284,20,618,33,14,42.4,19,57.6,393,1968,822,20,19,4,12,9,423,94
49,Paco Alcacer,10.3,306,11,29,137,143,36,306,7,3,42.9,4,57.1,159,597,270,13,7,9,15,8,213,50
50,Paco Alcacer,5.9,163,2,9,75,79,26,163,5,2,40.0,3,60.0,78,207,55,1,2,1,12,5,110,37
52,Thiago Alcantara,19.7,2029,47,358,1364,334,23,2029,83,71,85.5,12,14.5,1250,5577,2677,27,35,7,28,19,1507,43
53,Ruben Alcaraz,21.4,1340,73,341,848,167,10,1340,28,23,82.1,5,17.9,663,3258,1591,26,15,1,23,15,734,21
54,Toby Alderweireld,32.9,2349,344,1183,1068,101,22,2349,1,0,0.0,1,100.0,1460,5973,2949,11,18,1,9,5,1566,10
55,Haitam Aleesami,21.3,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426,21,17,4,23,22,756,72
56,Alex Alegria,1.2,45,0,2,22,21,6,45,2,0,0.0,2,100.0,21,80,36,1,1,1,2,1,39,6
57,Carles Alena,1.9,168,1,13,101,55,2,168,3,2,66.7,1,33.3,121,508,218,4,3,0,3,1,143,2
58,Carles Alena,8.2,466,5,55,291,128,9,466,22,12,54.5,10,45.5,332,1908,876,15,17,0,11,9,381,25
60,Trent Alexander-Arnold,35.3,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332,98,113,16,47,12,2281,226
62,Rachid Alioui,17.4,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704,24,18,12,40,17,496,108
64,Allan,14.2,1001,23,167,626,217,13,1001,28,19,67.9,9,32.1,638,3107,1489,25,27,2,30,15,725,53
65,Dele Alli,20.5,1128,36,156,558,427,76,1127,66,29,43.9,36,54.5,707,3569,1684,56,37,14,50,41,760,152
66,Miguel Almiron,33.6,1291,34,260,538,537,81,1291,93,46,49.5,47,50.5,929,7715,3823,120,82,19,80,35,881,160
67,Marcos Alonso,15.9,1341,27,335,536,477,59,1341,19,12,63.2,7,36.8,787,4088,2269,62,42,6,33,10,833,155
68,Mickael Alphonse,15.3,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458,37,26,3,19,10,472,45
69,Sergio Alvarez,12.7,558,27,138,358,71,5,558,9,8,88.9,1,11.1,277,1277,456,6,12,0,6,4,272,6
71,Yeray Alvarez,31.2,1821,180,818,947,74,17,1821,17,14,82.4,3,17.6,852,4757,2863,29,18,1,14,5,998,4
72,Bruno Alves,29.7,1625,280,878,666,86,34,1625,1,1,100.0,0,0.0,922,4801,2509,6,4,0,6,4,987,11
73,Steven Alzate,13.2,831,32,190,397,251,36,831,47,35,74.5,12,25.5,456,2796,1437,34,34,11,25,28,545,92
74,Ibrahim Amadou,8.4,480,100,331,138,13,4,480,2,2,100.0,0,0.0,290,1128,545,4,0,0,1,3,303,1
75,Ibrahim Amadou,8.6,342,9,71,209,63,8,342,6,4,66.7,2,33.3,177,831,444,9,7,1,5,3,208,10
76,Romain Amalfitano,18.8,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691,24,27,3,31,19,727,28
78,Amath,0.7,34,0,2,16,16,1,34,10,5,50.0,5,50.0,20,132,56,0,1,1,3,2,20,4
79,Jordan Amavi,24.0,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377,62,54,9,32,19,835,92
80,Thierry Ambrose,6.1,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713,31,24,7,24,23,219,49
81,Kelvin Amian,18.1,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615,38,28,5,18,10,427,27
82,Nadiem Amiri,20.6,1355,15,158,712,504,50,1355,44,30,68.2,14,31.8,723,4405,2166,53,43,13,41,19,905,95
84,Opoku Ampomah,5.6,201,5,31,69,108,22,201,39,19,48.7,20,51.3,140,1089,520,23,10,13,28,10,138,50
85,Sofyan Amrabat,32.4,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827,84,67,5,57,56,1421,52
86,Joachim Andersen,17.0,1480,166,729,721,32,13,1480,3,3,100.0,0,0.0,905,4909,3029,6,5,0,3,2,1105,1
87,Djavan Anderson,1.9,90,6,32,30,30,4,90,5,3,60.0,2,40.0,42,313,136,4,3,1,5,5,37,4
88,Felipe Anderson,16.6,1168,19,143,564,486,56,1168,92,63,68.5,29,31.5,764,5752,3044,106,72,21,48,30,884,132
89,Sebastian Andersson,29.8,1167,42,80,524,573,120,1165,52,21,40.4,31,59.6,637,2876,854,34,29,12,94,67,937,204
90,Florin Andone,0.8,34,2,7,9,18,3,34,7,2,28.6,5,71.4,19,178,93,2,3,1,5,1,17,4
91,Benjamin Andre,22.8,1513,47,240,1041,248,21,1513,25,16,64.0,9,36.0,723,3471,1615,25,25,3,17,20,922,47
93,Robert Andrich,28.6,1542,60,350,897,312,28,1542,41,28,68.3,13,31.7,768,3284,1325,25,22,5,36,17,831,31
94,Victorien Angban,11.4,708,9,100,525,93,3,708,21,15,71.4,6,28.6,432,2657,1381,25,21,2,18,17,504,17
95,Miguel Angel Guerrero,8.8,256,4,12,139,105,21,255,11,8,72.7,3,27.3,138,504,223,10,4,2,19,13,201,37
96,Jose Angel,26.2,1753,87,429,869,491,8,1753,35,27,77.1,8,22.9,798,4091,2068,50,59,4,30,11,802,62
97,Miguel Angel Moya,13.0,491,419,491,0,0,0,491,2,2,100.0,0,0.0,255,1155,767,0,0,0,0,0,217,0
98,Angelino,4.7,478,14,89,186,208,11,478,5,4,80.0,1,20.0,333,1405,797,21,28,1,6,3,338,70
99,Angelino,12.2,881,24,187,396,303,26,881,25,20,80.0,5,20.0,430,2075,1099,24,16,12,15,6,518,92
100,Faustino Anjorin,0.2,12,0,0,5,7,3,12,2,1,50.0,1,50.0,8,57,25,1,0,1,1,1,8,1
101,Peter Ankersen,11.8,732,33,222,289,231,26,732,13,6,46.2,7,53.8,417,1780,917,16,19,4,17,10,496,65
102,Cristian Ansaldi,19.6,1068,54,282,375,426,41,1068,73,36,49.3,37,50.7,614,4593,2262,90,43,11,40,29,629,124
105,Michail Antonio,19.6,818,11,39,263,532,117,817,103,65,63.1,37,35.9,494,3148,1490,53,42,26,73,45,599,178
106,Antonito,11.4,582,32,192,252,143,8,582,15,6,40.0,9,60.0,266,1527,856,22,16,3,13,4,302,45
109,Christopher Antwi-Adjei,27.4,1153,20,175,494,509,78,1153,70,35,50.0,35,50.0,693,5597,2767,114,59,45,63,40,713,155
110,Anuar,2.1,129,2,26,84,20,1,129,1,1,100.0,0,0.0,76,553,288,4,3,0,4,2,79,2
111,Houssem Aouar,21.7,1361,10,111,835,446,72,1361,112,67,59.8,45,40.2,924,5915,3217,105,78,28,52,38,1077,127
112,Adil Aouchiche,0.7,40,0,5,26,10,0,40,3,3,100.0,0,0.0,20,71,18,0,0,0,3,0,27,3
113,Dennis Appiah,17.8,1154,52,399,568,194,5,1154,29,22,75.9,7,24.1,513,2662,1430,23,27,3,21,18,596,32
114,Mauro Arambarri,34.1,1360,46,244,825,323,21,1360,43,30,69.8,13,30.2,599,3275,1194,30,30,4,45,34,593,41
115,Guilherme Arana,0.9,69,2,23,26,20,3,69,1,0,0.0,1,100.0,35,184,127,3,1,0,1,1,39,6
116,Charles Aranguiz,23.5,1861,42,318,1297,260,23,1861,24,14,58.3,10,41.7,953,4156,1876,14,22,1,28,19,1325,19
117,Luiz Araujo,9.2,438,3,50,173,222,29,438,30,22,73.3,8,26.7,253,1848,916,30,22,8,17,15,286,60
118,Nestor Araujo,32.1,1864,289,1072,763,43,20,1864,2,1,50.0,1,50.0,1039,6339,3318,21,8,0,10,2,1144,4
119,Ronald Araujo,2.6,229,30,103,125,1,1,229,1,1,100.0,0,0.0,181,707,386,1,0,0,0,1,184,0
120,Anaitz Arbilla,22.3,1421,106,505,772,166,8,1421,13,9,69.2,4,30.8,725,4319,2018,21,17,1,15,7,709,17
123,Santiago Arias,12.0,769,43,215,326,232,18,769,7,5,71.4,2,28.6,368,1693,909,27,19,3,11,3,430,76
125,Stuart Armstrong,19.1,889,49,149,419,335,42,889,53,30,56.6,23,43.4,470,3237,1472,45,34,8,55,25,544,101
126,Jose Arnaiz,8.8,286,4,23,130,136,33,286,10,2,20.0,8,80.0,179,1061,443,17,11,9,40,17,199,60
127,Jose Arnaiz,3.7,160,3,16,59,92,14,160,20,12,60.0,8,40.0,115,1035,409,14,8,8,16,9,107,24
128,Maximilian Arnold,31.3,1818,54,331,1052,459,22,1818,29,19,65.5,10,34.5,917,4175,2111,35,25,1,33,29,1044,48
131,Kwadwo Asamoah,7.1,429,24,109,167,156,17,429,16,12,75.0,4,25.0,214,1196,772,25,16,9,4,6,274,54
132,Santiago Ascacibar,7.0,409,21,120,257,38,0,409,10,7,70.0,3,30.0,162,805,314,3,3,0,7,3,188,3
133,Sergio Asenjo,34.0,1115,1022,1113,2,0,0,1115,1,1,100.0,0,0.0,496,2610,1667,0,0,0,1,0,442,0
134,Marco Asensio,3.7,192,2,25,76,93,13,192,9,5,55.6,4,44.4,139,782,307,8,8,4,4,5,155,31
135,Kristoffer Askildsen,0.8,41,1,12,25,7,0,41,2,2,100.0,0,0.0,29,167,132,2,4,0,2,1,30,0
136,Iago Aspas,36.2,1656,10,132,748,794,136,1649,95,52,54.7,43,45.3,1072,6617,3192,106,87,37,73,45,1289,256
137,Roger Assale,5.9,190,0,11,70,112,30,190,17,11,64.7,6,35.3,135,923,476,15,7,8,19,7,151,51
138,Youcef Atal,11.1,741,13,138,341,280,38,741,106,47,44.3,59,55.7,440,3580,1900,54,43,27,35,18,496,119
140,Christian Atsu,8.3,333,11,75,124,144,12,333,36,16,44.4,20,55.6,217,1717,957,29,23,6,20,17,209,22
141,Pierre-Emerick Aubameyang,34.8,1233,26,143,436,667,150,1231,38,17,44.7,21,55.3,727,4964,2702,98,47,38,58,31,928,288
143,Tommaso Augello,12.6,903,29,249,428,245,4,903,26,19,73.1,7,26.9,491,3138,1833,43,35,2,12,12,579,87
144,Jean-Kevin Augustin,3.0,74,0,2,34,39,15,74,9,4,44.4,5,55.6,46,250,104,6,1,4,9,6,51,17
145,Ludwig Augustinsson,10.3,656,29,180,273,213,16,656,11,8,72.7,3,27.3,339,1406,738,24,13,3,18,8,351,62
146,Serge Aurier,30.0,2078,124,573,909,619,52,2078,64,39,60.9,25,39.1,1148,4661,2407,66,54,6,54,28,1144,205
147,Mathias Autret,13.6,715,6,73,354,299,37,715,20,4,20.0,16,80.0,371,1823,1020,32,27,3,37,14,474,83
148,Ezequiel Avila,17.7,540,2,25,206,321,80,540,26,16,61.5,10,38.5,308,1671,765,33,22,11,49,29,383,113
149,Javier Aviles,2.0,108,1,13,33,63,9,108,8,4,50.0,4,50.0,73,586,305,10,6,1,4,5,69,26
150,Chidozie Awaziem,22.2,1024,102,445,522,65,18,1024,8,6,75.0,2,25.0,458,2351,1270,12,8,0,8,4,487,8
151,Taiwo Awoniyi,5.4,179,3,20,81,83,31,179,15,8,53.3,7,46.7,117,827,386,12,8,6,21,4,128,43
152,Florian Aye,15.3,487,25,75,196,221,52,487,21,14,66.7,7,33.3,254,1329,489,18,15,7,39,27,323,88
153,Jordan Ayew,35.0,1300,30,154,596,584,123,1300,117,73,62.4,44,37.6,801,5611,2289,77,54,25,113,95,950,184
154,Kaan Ayhan,30.3,2051,117,850,1010,210,26,2051,18,14,77.8,4,22.2,1144,6618,4266,52,25,2,10,4,1358,25
156,Ramon Azeez,15.1,516,11,96,295,134,17,516,11,4,36.4,7,63.6,263,1498,671,16,11,2,16,10,273,25
157,Cesar Azpilicueta,35.9,3347,117,932,1619,806,93,3347,21,12,57.1,9,42.9,1738,6145,3481,59,39,7,27,13,2152,226
158,Ludovic Baal,9.2,746,28,213,387,155,6,746,25,17,68.0,8,32.0,342,2054,1220,29,23,2,16,8,408,42
159,Iddrisu Baba,32.3,1589,90,484,996,142,13,1589,62,53,85.5,9,14.5,979,4948,2090,16,23,2,40,39,922,8
160,Khouma Babacar,15.8,513,31,80,208,232,77,511,27,14,51.9,13,48.1,324,1622,730,29,23,14,57,28,377,100
161,Carlos Bacca,7.6,208,5,13,96,103,35,208,14,6,42.9,8,57.1,92,481,214,8,6,7,23,5,151,36
162,Milan Badelj,17.6,1144,54,255,707,193,11,1144,24,20,83.3,4,16.7,588,2441,1165,20,13,1,18,18,753,29
164,Benoit Badiashile,15.7,1091,108,441,629,27,13,1091,5,4,80.0,1,20.0,634,3411,2280,19,5,0,10,3,695,4
167,Stephane Bahoken,10.1,290,3,14,137,142,42,289,11,5,45.5,6,54.5,195,966,260,16,6,8,37,23,243,74
168,Daniel Baier,21.6,1093,44,310,661,142,2,1093,14,10,71.4,4,28.6,554,2461,1090,7,15,1,18,9,543,12
169,Leon Bailey,12.1,639,6,64,265,327,57,639,56,35,62.5,21,37.5,418,2922,1559,61,36,19,37,23,462,132
170,Eric Bailly,1.7,92,15,44,49,0,0,92,1,1,100.0,0,0.0,46,186,97,1,0,0,1,1,54,1
171,Denys Bain,14.1,839,152,581,252,8,5,839,4,3,75.0,1,25.0,471,2044,935,1,2,0,1,6,550,0
172,Leighton Baines,4.5,264,20,64,100,102,1,264,4,2,50.0,2,50.0,118,446,248,12,7,1,3,2,147,18
174,Tiemoue Bakayoko,19.1,1195,32,204,758,245,28,1195,57,36,63.2,21,36.8,717,3809,1734,30,17,7,31,30,866,56
175,Lewis Baker,6.1,277,11,64,173,47,3,277,12,10,83.3,2,16.7,151,840,378,10,1,0,11,5,184,6
176,Mitchel Bakker,1.0,102,5,34,50,18,0,102,1,1,100.0,0,0.0,52,204,70,0,0,0,2,1,84,7
177,Ridle Baku,26.1,1510,78,439,675,416,21,1510,59,33,55.9,26,44.1,803,4129,1884,42,40,6,40,22,805,118
178,Fabian Balbuena,13.1,673,91,343,308,24,15,673,2,2,100.0,0,0.0,302,1375,846,8,3,1,6,1,334,2
179,Keita Balde,9.5,391,10,40,157,194,45,391,8,5,62.5,3,37.5,217,1183,520,27,14,9,24,10,298,78
180,George Baldock,38.0,1908,102,405,623,887,56,1908,70,42,60.0,28,40.0,884,5340,2565,97,63,22,43,22,1036,197
182,Gareth Bale,12.1,622,8,71,256,301,45,622,30,18,60.0,12,40.0,395,2674,1374,48,39,8,24,11,510,118
183,Mikel Balenziaga,6.3,317,15,90,155,73,1,317,3,3,100.0,0,0.0,114,575,313,5,6,0,3,2,144,9
184,Leonardo Balerdi,1.5,143,10,56,86,2,0,143,1,0,0.0,1,100.0,78,369,144,1,1,0,0,1,114,0
186,Fode Ballo-Toure,18.7,1074,49,306,529,259,21,1074,37,24,64.9,13,35.1,588,3943,2437,67,32,3,30,10,622,109
187,Florent Balmont,4.5,309,2,54,201,55,2,309,1,1,100.0,0,0.0,162,711,302,7,2,1,7,6,206,5
188,Mario Balotelli,15.6,541,27,60,256,230,49,541,18,10,55.6,8,44.4,315,1435,621,18,14,5,34,10,427,59
189,Abdoulaye Bamba,6.2,321,8,112,147,64,3,321,3,1,33.3,2,66.7,106,479,258,9,4,1,3,3,177,23
190,Jonathan Bamba,21.5,1076,9,103,509,488,59,1073,82,45,54.9,37,45.1,681,4805,2497,86,63,30,49,45,769,132
191,Ever Banega,27.5,2633,20,380,1561,720,26,2631,81,59,72.8,22,27.2,1690,8624,4733,66,60,9,52,38,2039,77
192,Mattia Bani,24.5,1442,163,724,686,42,21,1442,2,1,50.0,1,50.0,786,4220,2150,6,6,1,13,2,832,7
193,Antonin Barak,2.2,135,3,18,67,51,2,135,2,1,50.0,1,50.0,82,425,213,7,5,0,8,4,86,12
194,Antonin Barak,15.2,842,27,183,436,232,36,842,22,10,45.5,12,54.5,544,3379,1894,44,41,2,16,20,629,66
195,Federico Barba,5.0,269,15,87,140,43,2,269,3,2,66.7,1,33.3,121,452,201,3,2,0,8,0,140,15
196,Danilo Barbosa,12.5,965,93,374,529,72,9,965,17,13,76.5,4,23.5,550,3059,1941,21,9,2,25,7,722,10
198,Enis Bardhi,23.5,1124,26,217,495,424,48,1124,57,37,64.9,20,35.1,681,3626,1851,58,33,15,48,26,787,117
199,Phil Bardsley,21.0,1154,99,328,618,213,11,1154,7,4,57.1,3,42.9,401,1877,942,23,20,1,13,3,485,27
200,Nicolo Barella,22.4,1462,27,246,850,391,31,1462,54,36,66.7,18,33.3,882,4821,2402,47,36,8,37,23,1092,98
201,Philipp Bargfrede,6.5,345,21,90,207,49,5,345,6,5,83.3,1,16.7,202,818,363,2,1,0,9,2,200,4
202,Antonino Barilla,18.8,733,43,204,380,159,24,733,15,5,33.3,10,66.7,385,1777,893,15,15,1,25,10,444,38
203,Kike Barja,3.5,138,3,20,47,73,7,138,22,10,45.5,12,54.5,95,675,367,14,10,4,14,8,101,33
204,Ross Barkley,12.3,772,11,82,400,298,31,772,40,27,67.5,13,32.5,520,3158,1519,46,24,11,25,34,610,63
205,Aymen Barkok,0.9,42,2,12,20,10,0,42,1,0,0.0,1,100.0,17,83,13,0,2,0,3,0,21,3
206,Ashley Barnes,15.0,418,11,36,191,193,50,417,14,6,42.9,8,57.1,270,900,341,10,6,5,38,19,335,61
208,Harvey Barnes,23.1,997,9,85,347,592,121,997,81,43,53.1,38,46.9,721,4878,2973,95,54,48,59,23,810,221
209,Antonio Barragan,7.1,525,28,127,222,178,9,525,4,2,50.0,2,50.0,286,1134,513,15,16,4,7,2,363,56
210,Antonio Barreca,12.2,495,30,123,165,213,11,495,18,5,27.8,13,72.2,235,1405,725,33,21,5,10,10,300,58
211,Leandro Barreiro Martins,10.4,493,16,126,292,78,8,493,7,5,71.4,2,28.6,205,709,332,6,4,2,13,6,232,13
212,Ander Barrenetxea,4.9,271,5,22,97,157,36,271,39,22,56.4,16,41.0,195,1429,716,28,8,19,14,12,206,65
214,Musa Barrow,15.0,833,14,73,367,408,76,832,55,35,63.6,20,36.4,530,3416,1702,59,38,22,59,18,583,96
215,Musa Barrow,2.1,89,1,2,28,59,23,88,4,2,50.0,2,50.0,61,316,146,6,4,4,13,4,68,35
216,Fin Bartels,3.8,203,4,27,95,84,12,203,11,6,54.5,5,45.5,128,666,256,9,7,2,13,3,138,32
217,Marc Bartra,28.0,2015,269,1091,841,97,30,2015,18,14,77.8,4,22.2,1098,5580,2973,11,19,2,19,8,1288,11
218,Daniele Baselli,14.2,897,48,192,487,227,10,897,16,10,62.5,6,37.5,405,2006,906,20,13,3,22,11,468,14
219,Chris Basham,36.0,2030,243,818,882,352,41,2030,37,24,64.9,13,35.1,716,3683,2048,32,34,7,33,8,894,70
220,Toma Basic,11.0,725,19,103,481,149,4,725,27,19,70.4,8,29.6,448,2240,1217,19,16,2,31,14,486,24
221,Thomas Basila,4.6,286,12,91,164,32,3,286,1,1,100.0,0,0.0,112,494,247,4,2,0,2,1,174,8
222,Gil Bastiao Dias,4.0,187,6,45,80,65,12,187,14,8,57.1,6,42.9,101,702,300,12,7,4,10,9,101,12
223,Gil Bastiao Dias,11.7,818,29,162,451,221,23,818,40,23,57.5,17,42.5,453,3090,1929,43,36,8,22,15,471,71
225,Alessandro Bastoni,21.3,1637,168,642,875,145,15,1637,14,11,78.6,3,21.4,1001,5652,3824,50,30,4,13,7,1173,24
226,Bastos,8.5,512,49,222,244,49,7,512,16,12,75.0,4,25.0,304,1875,1063,14,15,4,4,3,362,11
228,Michy Batshuayi,2.7,125,3,10,58,60,31,125,8,4,50.0,4,50.0,79,428,239,8,5,4,13,4,88,22
229,Cristian Battocchio,15.5,991,39,242,559,205,17,990,14,7,50.0,7,50.0,450,1956,1061,10,11,1,13,10,609,40
231,Julian Baumgartlinger,19.9,1324,39,254,882,196,26,1324,11,10,90.9,1,9.1,657,2584,952,9,11,0,25,17,911,23
232,Christoph Baumgartner,16.6,753,16,101,377,285,82,753,48,24,50.0,24,50.0,447,2659,1217,39,31,17,47,25,530,105
234,Noah Joel Sarenren Bazee,4.2,136,3,19,57,62,18,136,16,8,50.0,8,50.0,83,597,169,5,4,6,18,14,91,27
235,Ihlas Bebou,23.4,955,37,142,427,409,87,955,94,49,52.1,45,47.9,564,3770,1957,77,46,30,67,55,679,182
236,Rodrigo Becao,24.6,1307,178,659,605,53,16,1307,4,1,25.0,3,75.0,749,3367,2051,12,7,2,13,6,815,9
237,Sheraldo Becker,6.0,160,4,32,56,78,12,160,12,8,66.7,4,33.3,109,790,470,17,5,8,9,2,113,33
238,Timo Becker,3.7,194,8,61,93,42,9,194,8,5,62.5,3,37.5,106,727,433,15,3,1,10,2,105,6
239,Jan Bednarek,34.0,2033,269,952,1049,40,15,2033,2,2,100.0,0,0.0,806,3186,1736,4,4,1,11,1,962,0
241,Valon Behrami,12.3,556,22,117,381,64,2,556,8,6,75.0,2,25.0,292,1269,528,5,6,0,10,5,325,3
242,Maximilian Beier,1.2,42,0,2,19,22,9,42,2,0,0.0,2,100.0,23,195,131,6,3,4,4,4,29,14
243,Gaetan Belaud,6.4,440,25,132,222,89,2,440,8,4,50.0,4,50.0,199,782,352,3,9,0,3,0,248,17
