,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Patrick van Aanholt,27.9,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89
1,Max Aarons,36.0,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151
2,Yunis Abdelhamid,28.0,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6
3,Suleiman Abdullahi,1.7,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10
4,Mehdi Abeid,20.2,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42
5,Charles Abi,6.9,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33
6,David Abraham,18.8,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12
7,Tammy Abraham,24.6,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134
8,Amir Abrashi,7.4,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13
9,Francesco Acerbi,35.1,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36
10,Che Adams,12.3,418,11,29,181,214,60,418,25,18,72.0,7,28.0,232,1282,464,20,16,10,40,21,298,87
11,Tyler Adams,10.6,813,19,190,452,172,11,813,10,4,40.0,6,60.0,430,1993,862,11,9,2,7,9,548,49
12,Sargis Adamyan,8.3,287,6,25,119,147,41,287,21,10,47.6,11,52.4,178,1313,527,19,9,7,28,19,200,67
14,Bobby Adekanye,2.1,62,1,6,31,26,10,62,3,3,100.0,0,0.0,43,224,118,6,2,5,3,6,49,12
15,Claud Adjapong,2.6,110,15,34,40,36,6,110,2,1,50.0,1,50.0,54,306,113,4,4,0,4,2,61,16
16,Amine Adli,0.5,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104,4,1,0,1,1,22,5
17,Yacine Adli,11.3,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418,38,31,3,27,24,537,47
19,Aritz Aduriz,2.3,81,2,4,36,42,13,80,2,1,50.0,1,50.0,37,145,35,2,1,2,7,2,68,15
20,Lumor Agbenyenu,20.1,1187,77,391,502,314,12,1187,47,29,61.7,18,38.3,583,3716,2025,60,40,6,27,10,583,66
