,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Max Aarons,Bournemouth,10.6,441,341,99,9,2,2,10,90,0,0,0,0,332,1,17
1,Brenden Aaronson,Union Berlin,3.4,93,87,4,0,1,0,8,0,3,2,1,0,70,2,5
2,Paxten Aaronson,Eint Frankfurt,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0
3,Yunis Abdelhamid,Reims,15.0,906,810,90,30,2,8,1,24,0,0,0,0,748,6,11
4,Salis Abdul Samed,Lens,11.9,672,657,14,14,0,1,3,0,0,0,0,0,594,1,13
5,Laurent Abergel,Lorient,15.0,897,839,56,45,1,7,11,6,0,0,0,0,782,2,10
6,Matthis Abline,Nantes,4.0,79,73,6,0,0,0,3,0,0,0,0,0,63,0,4
7,Abner,Betis,7.8,395,325,70,3,0,0,15,67,0,0,0,0,306,0,13
8,Zakaria Aboukhlal,Toulouse,4.2,97,90,7,0,0,0,2,6,0,0,0,0,69,0,3
9,Abdel Abqar,Alavés,12.9,370,345,24,21,0,11,0,2,0,0,0,0,269,1,3
10,Francesco Acerbi,Inter,12.0,829,799,29,17,0,4,5,7,0,0,0,0,747,1,2
11,Marcos Acuna,Sevilla,5.1,324,268,56,7,0,4,31,47,2,0,2,0,252,0,5
12,Benie Adama Traore,Sheffield Utd,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4
13,Akor Adams,Montpellier,13.5,208,205,3,0,1,1,8,1,0,0,0,0,135,0,14
14,Junior Adamu,Freiburg,1.0,23,22,1,0,0,0,1,0,0,0,0,0,13,0,0
15,Sargis Adamyan,Köln,1.6,36,31,5,1,0,0,0,1,0,0,0,0,28,0,1
16,Tosin Adarabioyo,Fulham,2.0,200,195,5,5,0,2,0,0,0,0,0,0,174,0,0
17,Elijah Adebayo,Luton Town,6.5,99,99,0,0,0,0,2,0,0,0,0,0,66,0,4
18,Karim Adeyemi,Dortmund,4.1,119,110,9,3,0,0,8,5,1,1,0,0,86,0,7
19,Simon Adingra,Brighton,11.3,392,374,17,2,4,1,27,11,4,0,0,0,303,1,9
20,Amine Adli,Leverkusen,2.9,141,136,5,1,2,1,11,4,0,0,0,0,109,0,4
21,Yacine Adli,Milan,3.6,267,256,11,2,1,4,12,0,9,2,4,0,225,0,5
22,Adson,Nantes,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2
23,Michel Aebischer,Bologna,12.0,739,710,28,23,1,4,5,2,3,1,0,0,683,1,8
24,Emmanuel Agbadou,Reims,10.7,660,636,23,17,2,3,2,5,0,0,0,0,572,1,3
26,Lucien Agoume,Inter,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
27,Felix Agu,Werder Bremen,1.2,55,48,6,0,0,0,3,5,1,0,0,0,34,1,3
28,Nayef Aguerd,West Ham,14.7,809,758,49,36,1,24,1,3,0,0,0,0,647,2,2
29,Ruben Aguilar,Lens,9.5,569,475,92,8,1,1,35,84,0,0,0,0,466,2,18
30,Naouirou Ahamada,Crystal Palace,1.4,68,66,2,0,0,0,5,1,0,0,0,0,52,0,6
31,Anel Ahmedhodzic,Sheffield Utd,11.5,413,384,27,4,0,0,4,23,0,0,0,0,299,2,10
32,Joseph Aidoo,Celta Vigo,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0
33,Ola Aina,Nott'ham Forest,9.0,328,273,54,5,1,0,10,49,0,0,0,0,241,1,6
34,Rayan Ait Nouri,Wolves,9.9,442,372,69,12,1,1,16,51,6,4,2,0,364,1,8
35,Tosin Aiyegun,Lorient,5.3,100,97,3,0,0,0,5,0,0,0,0,0,79,0,0
36,Kristoffer Ajer,Brentford,8.1,378,333,45,5,1,6,6,40,0,0,0,0,284,0,7
37,Ludovic Ajorque,Mainz 05,8.8,231,214,16,2,1,2,3,0,0,0,0,0,170,1,3
