,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
2310,Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,32,1988,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311,David Raya,ESP,GK,Brentford,Premier League,25,1995,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2312,Ante Rebic,CRO,FW,Milan,Serie A,27,1993,24,6,891,9.9,2,2,4,2,0,0,2,0,2.4,2.4,4.8,7.2,36,38,80,0.20,0.20,0.40,0.20,0.40,0.24,0.48,0.73,0.24,0.73
2314,Arkadiusz Reca,POL,DF,Spezia,Serie A,26,1995,25,22,1772,19.7,0,2,2,0,0,0,3,0,0.3,0.3,2.1,2.5,51,57,41,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13
2315,Lluis Recasens,ESP,DF,Espanyol,La Liga,19,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2316,Nathan Redmond,ENG,"MF,FW",Southampton,Premier League,27,1994,27,20,1833,20.4,1,5,6,1,0,0,0,0,1.7,1.7,3.9,5.6,71,95,131,0.05,0.25,0.29,0.05,0.29,0.08,0.19,0.27,0.08,0.27
2317,Sergio Reguilon,ESP,"DF,MF",Tottenham,Premier League,24,1996,25,22,1916,21.3,2,3,5,2,0,0,4,0,3.0,3.0,3.3,6.4,63,50,144,0.09,0.14,0.23,0.09,0.23,0.14,0.16,0.30,0.14,0.30
2318,Manolo Reina,ESP,GK,Mallorca,La Liga,36,1985,21,21,1890,21.0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2319,Pepe Reina,ESP,GK,Lazio,Serie A,38,1982,15,15,1350,15.0,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.07,0.07,0.00,0.07,0.00,0.03,0.03,0.00,0.03
2320,Jeff Reine-Adelaide,FRA,"MF,DF",Lyon,Ligue 1,23,1998,10,1,198,2.2,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,7,16,15,0.00,0.45,0.45,0.00,0.45,0.08,0.42,0.50,0.08,0.50
2321,Reinier,BRA,"FW,MF",Dortmund,Bundesliga,19,2002,13,1,162,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,6,12,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
2322,Karim Rekik,NED,DF,Sevilla,La Liga,26,1994,18,11,1098,12.2,0,2,2,0,0,0,2,0,0.2,0.2,0.4,0.6,12,30,13,0.00,0.16,0.16,0.00,0.16,0.02,0.03,0.05,0.02,0.05
2323,Alex Remiro,ESP,GK,Real Sociedad,La Liga,26,1995,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2324,Panagiotis Retsos,GRE,DF,Hellas Verona,Serie A,22,1998,5,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
2325,Panagiotis Retsos,GRE,"DF,FW",Leverkusen,Bundesliga,22,1998,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
2326,Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,32,1989,29,29,2503,27.8,9,13,22,9,0,0,2,0,11.5,11.5,7.9,19.5,57,119,172,0.32,0.47,0.79,0.32,0.79,0.41,0.28,0.70,0.41,0.70
2327,Elvis Rexhbecaj,GER,MF,Bochum,Bundesliga,23,1997,32,30,2542,28.2,0,0,0,0,0,0,5,0,1.1,1.1,1.1,2.2,21,93,54,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
2328,Gio Reyna,USA,MF,Dortmund,Bundesliga,18,2002,10,6,439,4.9,2,1,3,2,0,0,0,0,1.7,1.7,1.6,3.3,13,10,32,0.41,0.21,0.62,0.41,0.62,0.35,0.33,0.68,0.35,0.68
2329,Bryan Reynolds,USA,DF,Roma,Serie A,20,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2330,Nico Ribaudo,ESP,"MF,FW",Espanyol,La Liga,20,2001,31,7,1116,12.4,2,0,2,2,0,0,5,1,1.0,1.0,1.4,2.4,40,54,74,0.16,0.00,0.16,0.16,0.16,0.08,0.12,0.20,0.08,0.20
2331,Tiago Ribeiro,POR,FW,Monaco,Ligue 1,19,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
