,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,Strasbourg,3,204,68,6.0,2.3,3,68,1,0,0.0,7,0.33,0,2,-2,-0.88,-1.22,1.3,3.1,-1.8,-0.80,-0.57
1,Patrick van Aanholt,Crystal Palace,36,3195,89,93.4,35.5,36,89,33,0,0.0,2,1.19,44,46,-2,-0.06,-0.06,44.1,46.3,-2.2,-0.06,+0.07
2,Ignazio Abate,Milan,19,1302,69,38.1,14.5,15,82,8,4,17,19,2.11,22,13,+9,+0.62,+0.20,19.9,14.2,+5.7,+0.40,+0.32
3,Issah Abbas,Mainz 05,1,9,9,0.3,0.1,0,0.0,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.1,0.1,0.0,-0.40,-0.16
4,Yunis Abdelhamid,Reims,38,3420,90,100.0,38.0,38,90,38,0,0.0,0,1.45,39,42,-3,-0.08,0.0,38.1,45.0,-6.9,-0.18,0.0
5,Aymen Abdennour,Marseille,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mehdi Abeid,Dijon,26,2023,78,59.2,22.5,23,84,16,3,28,1,0.81,18,30,-12,-0.53,+0.56,22.2,31.3,-9.2,-0.41,+0.19
7,Charles Abi,Saint-Étienne,3,32,11,0.9,0.4,0,0.0,0,3,11,4,1.67,0,0,0,0.00,-0.48,1.0,1.3,-0.2,-0.67,-0.84
8,David Abraham,Eint Frankfurt,17,1420,84,46.4,15.8,17,84,15,0,0.0,3,1.35,28,29,-1,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43
9,Amir Abrashi,Freiburg,10,790,79,25.8,8.8,9,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45
10,Francesco Acerbi,Lazio,37,3309,89,96.8,36.8,37,89,36,0,0.0,0,1.59,55,44,+11,+0.30,+1.11,58.7,45.2,+13.6,+0.37,+0.46
11,Afriyie Acquah,Empoli,28,1510,54,44.2,16.8,19,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,18.4,25.2,-6.8,-0.41,-0.20
12,Tyler Adams,RB Leipzig,10,721,72,23.6,8.0,8,85,6,2,23,1,2.10,18,2,+16,+2.00,+1.30,17.3,6.9,+10.4,+1.30,+0.73
13,Antonio Adan,Atlético Madrid,1,90,90,2.6,1.0,1,90,1,0,0.0,35,2.00,5,4,+1,+1.00,+0.32,1.9,2.7,-0.8,-0.80,-0.96
14,Aday,Girona,10,645,65,18.9,7.2,8,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,9.4,9.5,-0.1,-0.01,+0.28
15,Khaled Adenon,Amiens,23,1994,87,58.3,22.2,22,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,18.3,28.1,-9.7,-0.44,-0.14
16,Claud Adjapong,Sassuolo,5,270,54,7.9,3.0,3,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,2.2,4.1,-2.0,-0.65,-0.46
17,Yacine Adli,Bordeaux,7,216,31,6.3,2.4,2,71,0,5,15,3,0.57,0,2,-2,-0.83,-0.66,2.0,2.9,-1.0,-0.40,-0.04
18,Ali Adnan Kadhim,Atalanta,3,166,55,4.9,1.8,2,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,3.5,2.9,+0.6,+0.34,-0.51
19,Amir Adouyev,Montpellier,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Adrian,West Ham,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,Athletic Club,20,943,47,27.6,10.5,10,80,4,10,14,3,1.15,6,14,-8,-0.76,-0.91,11.4,13.2,-1.8,-0.17,-0.16
22,Luis Advincula,Rayo Vallecano,28,2389,85,69.9,26.5,27,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,33.1,41.2,-8.1,-0.30,-0.02
23,Martin Agirregabiria,Alavés,27,2032,75,59.4,22.6,23,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,24.4,31.6,-7.2,-0.32,-0.01
24,Nayef Aguerd,Dijon,13,1050,81,30.7,11.7,12,87,10,1,3,7,0.85,11,17,-6,-0.51,+0.36,11.1,15.9,-4.8,-0.41,+0.11
26,Sergio Aguero,Manchester City,33,2459,75,71.9,27.3,31,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,58.9,17.7,+41.2,+1.51,-0.22
27,Ruben Aguilar,Montpellier,29,2528,87,73.9,28.1,29,87,26,0,0.0,0,1.52,39,30,+9,+0.32,+0.12,37.7,31.8,+5.8,+0.21,-0.04
28,Juan Aguilera,Huesca,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.1,4.9,-1.8,-0.47,-0.24
29,Emmanuel Agyemang-Badu,Udinese,4,161,40,4.7,1.8,2,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.9,-3.2,-1.77,-1.38
30,Jean-Eudes Aholou,Monaco,17,1075,63,31.4,11.9,12,77,7,5,31,5,1.00,10,13,-3,-0.25,+0.36,15.6,13.9,+1.7,+0.14,+0.32
31,Antonis Aidonis,Stuttgart,2,80,40,2.6,0.9,1,80,0,1,0,4,1.50,0,2,-2,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.40
32,Ola Aina,Torino,30,2160,72,63.2,24.0,22,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08
