,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
704,Ermedin Demirovic,Stuttgart,10,529,53,58.8,5.9,6,74,1,4,22,0,1.30,10,13,-3,-0.51,-1.24,11.3,8.9,+2.4,+0.40,+0.37
705,Sepp van den Berg,Brentford,9,732,81,73.9,8.1,8,90,7,1,16,1,1.44,17,19,-2,-0.25,-0.94,13.4,14.5,-1.2,-0.14,-0.17
706,Will Dennis,Bournemouth,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,Remy Descamps,Lyon,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,Arthur Desmas,Le Havre,11,990,90,100.0,11.0,11,90,11,0,0.0,0,0.82,8,23,-15,-1.36,0.0,12.0,19.5,-7.5,-0.68,0.0
709,Justin Devenny,Crystal Palace,1,73,73,7.4,0.8,1,73,0,0,0.0,2,0.00,0,1,-1,-1.23,-0.64,1.5,1.4,+0.1,+0.10,+0.34
710,Alfie Devine,Tottenham,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,Kiernan Dewsbury-Hall,Chelsea,3,46,15,4.6,0.5,0,0.0,0,3,15,2,2.00,1,1,0,0.00,-0.76,0.5,0.4,+0.2,+0.31,-0.11
712,Gianluca Di Chiara,Parma,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,Raffaele Di Gennaro,Inter,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,Michele Di Gregorio,Juventus,9,810,90,75.0,9.0,9,90,9,0,0.0,3,1.89,16,7,+9,+1.00,-0.67,12.7,7.2,+5.5,+0.61,-0.68
715,Giovanni Di Lorenzo,Napoli,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,2.17,19,9,+10,+0.83,0.0,17.4,10.9,+6.5,+0.54,0.0
716,Alessandro Di Pardo,Cagliari,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,Boulaye Dia,Lazio,11,690,63,63.9,7.7,9,68,1,2,38,1,2.00,17,8,+9,+1.17,+0.71,13.2,6.4,+6.8,+0.89,+0.10
718,Mamadou Diakhon,Reims,8,115,14,11.6,1.3,0,0.0,0,8,14,3,1.25,3,3,0,0.00,-0.41,3.1,2.1,+1.0,+0.79,+1.15
719,Bafode Diakite,Lille,11,990,90,100.0,11.0,11,90,11,0,0.0,0,1.73,18,11,+7,+0.64,0.0,18.3,14.8,+3.5,+0.32,0.0
720,Oumar Diakite,Reims,10,736,74,74.3,8.2,10,74,0,0,0.0,0,1.70,15,9,+6,+0.73,+1.44,10.4,11.4,-0.9,-0.11,+0.46
721,Amad Diallo,Manchester Utd,9,482,54,48.7,5.4,5,81,2,4,20,2,1.22,8,4,+4,+0.75,+1.46,9.6,8.2,+1.5,+0.27,+0.42
722,Tidiane Diallo,Strasbourg,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,Assane Diao,Betis,6,234,39,20.0,2.6,2,77,1,4,20,7,1.83,2,3,-1,-0.38,-0.67,3.1,4.4,-1.3,-0.58,-1.02
724,Habib Diarra,Strasbourg,11,927,84,93.6,10.3,11,84,6,0,0.0,0,1.18,19,21,-2,-0.19,-0.19,16.6,20.4,-3.8,-0.37,-0.21
725,Moussa Diarra,Alavés,8,560,70,47.9,6.2,6,85,5,2,24,5,0.50,6,12,-6,-0.96,-0.67,5.9,10.0,-4.1,-0.65,-0.53
726,Ruben Dias,Manchester City,9,727,81,73.4,8.1,8,90,8,1,7,0,2.56,18,8,+10,+1.24,+1.58,16.2,7.8,+8.4,+1.04,+0.85
728,Krepin Diatta,Monaco,6,196,33,19.8,2.2,1,90,1,5,21,2,1.67,0,2,-2,-0.92,-2.28,2.0,2.1,-0.1,-0.06,-1.53
729,Kandet Diawara,Le Havre,1,4,4,0.4,0.0,0,0.0,0,1,4,0,0.00,0,1,-1,-22.50,-21.22,0.0,0.8,-0.8,-17.74,-17.12
730,Mahamadou Diawara,Lyon,2,16,8,1.6,0.2,0,0.0,0,2,8,3,0.00,0,1,-1,-5.63,-5.99,0.1,0.4,-0.2,-1.28,-1.70
731,Brahim Diaz,Real Madrid,7,205,29,19.0,2.3,2,35,0,5,27,0,2.00,8,3,+5,+2.20,+1.27,6.6,1.7,+4.9,+2.16,+1.61
732,Luis Diaz,Liverpool,11,648,59,65.5,7.2,8,73,2,3,23,0,2.55,17,3,+14,+1.94,+1.68,14.1,5.5,+8.6,+1.19,+0.59
733,Pedro Diaz,Rayo Vallecano,3,65,22,6.0,0.7,1,45,0,2,10,9,0.67,1,0,+1,+1.38,+1.47,0.3,1.1,-0.9,-1.18,-1.23
734,Tyler Dibling,Southampton,11,570,52,57.6,6.3,6,72,1,5,28,0,0.36,7,14,-7,-1.11,+0.39,8.5,13.6,-5.2,-0.81,+0.34
735,Diego,Leganés,6,185,31,15.8,2.1,2,77,1,4,8,5,1.17,2,3,-1,-0.49,-0.30,1.3,3.2,-1.9,-0.92,-0.24
736,Justin Diehl,Stuttgart,2,56,28,6.2,0.6,0,0.0,0,2,28,1,0.00,2,1,+1,+1.61,+1.71,1.4,0.4,+1.0,+1.60,+1.44
737,Bamba Dieng,Angers,7,238,34,24.0,2.6,2,83,1,5,15,0,1.29,6,4,+2,+0.76,+1.83,3.5,5.6,-2.1,-0.79,-0.16
738,Eric Dier,Bayern Munich,4,46,12,5.1,0.5,0,0.0,0,4,12,6,2.50,1,1,0,0.00,-2.74,2.0,0.7,+1.3,+2.54,+0.97
739,Lucas Digne,Aston Villa,11,841,76,84.9,9.3,11,76,3,0,0.0,0,1.64,11,14,-3,-0.32,-2.13,12.5,10.8,+1.8,+0.19,-0.50
740,Kembo Diliwidi,Lens,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,Federico Dimarco,Inter,12,955,80,88.4,10.6,12,80,5,0,0.0,0,2.08,23,11,+12,+1.13,+1.13,19.0,10.8,+8.1,+0.76,+0.50
742,Stole Dimitrievski,Valencia,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,Junior Dina Ebimbe,Eint Frankfurt,6,281,47,31.2,3.1,3,61,0,3,33,2,1.83,7,4,+3,+0.96,-0.06,5.1,6.1,-1.0,-0.34,-0.75
744,Eren Dinkci,Freiburg,9,583,65,64.8,6.5,7,72,2,2,40,0,1.56,8,8,0,0.00,-0.57,10.3,6.2,+4.1,+0.63,+0.05
745,Sinaly Diomande,Auxerre,8,655,82,66.2,7.3,7,90,7,1,25,0,1.25,14,13,+1,+0.14,+0.14,12.1,14.4,-2.2,-0.31,-0.16
746,Lois Diony,Angers,1,21,21,2.1,0.2,0,0.0,0,1,21,0,0.00,0,0,0,0.00,+0.65,0.1,0.3,-0.2,-0.86,-0.20
747,Edan Diop,Monaco,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
