,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,2.3,73.0,120.0,60.8,1324.0,635.0,32.0,43.0,74.4,31.0,51.0,60.8,9.0,17.0,52.9,0.0,0.4,0.2,-0.4,2.0,6.0,2.0,2.0,8.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,35.5,1564.0,1971.0,79.4,24295.0,10061.0,874.0,995.0,87.8,551.0,687.0,80.2,101.0,194.0,52.1,2.0,4.4,3.7,-2.4,35.0,117.0,52.0,4.0,212.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,14.5,763.0,925.0,82.5,13052.0,4961.0,352.0,375.0,93.9,342.0,403.0,84.9,60.0,114.0,52.6,0.0,0.4,0.6,-0.4,7.0,69.0,11.0,5.0,88.0
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,0.1,1.0,2.0,50.0,26.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,0.0,0.1,0.3,-0.1,3.0,49.0,3.0,0.0,71.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,22.5,903.0,1068.0,84.6,15602.0,3725.0,419.0,466.0,89.9,365.0,405.0,90.1,90.0,143.0,62.9,0.0,1.6,0.8,-1.6,22.0,92.0,5.0,2.0,97.0
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,0.4,6.0,17.0,35.3,45.0,8.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,15.8,514.0,671.0,76.6,10872.0,4118.0,142.0,172.0,82.6,284.0,332.0,85.5,83.0,136.0,61.0,0.0,0.4,0.5,-0.4,5.0,56.0,6.0,2.0,80.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,8.8,319.0,372.0,85.8,5012.0,1108.0,154.0,174.0,88.5,129.0,137.0,94.2,18.0,26.0,69.2,0.0,0.1,0.1,-0.1,2.0,14.0,0.0,0.0,19.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,36.8,1560.0,1800.0,86.7,30496.0,11601.0,547.0,598.0,91.5,765.0,828.0,92.4,216.0,313.0,69.0,1.0,1.0,0.6,0.0,10.0,111.0,7.0,1.0,135.0
10,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,16.8,580.0,738.0,78.6,8818.0,2290.0,319.0,355.0,89.9,218.0,266.0,82.0,30.0,62.0,48.4,0.0,0.8,0.8,-0.8,11.0,66.0,12.0,3.0,91.0
11,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,19.0,1999.0,8.0,424.0,530.0,80.0,6109.0,2131.0,227.0,272.0,83.5,146.0,173.0,84.4,22.0,35.0,62.9,2.0,1.0,0.8,1.0,5.0,53.0,5.0,0.0,64.0
12,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,1.0,13.0,24.0,54.2,389.0,295.0,3.0,3.0,100.0,3.0,3.0,100.0,7.0,18.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aday,es ESP,"DF,MF",Girona,La Liga,30.0,1987.0,7.2,227.0,320.0,70.9,4254.0,1386.0,105.0,117.0,89.7,86.0,123.0,69.9,30.0,63.0,47.6,2.0,1.5,0.9,0.5,13.0,5.0,11.0,10.0,11.0
14,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,33.0,1985.0,22.2,837.0,973.0,86.0,17115.0,6832.0,237.0,258.0,91.9,476.0,518.0,91.9,109.0,168.0,64.9,0.0,0.1,0.2,-0.1,5.0,53.0,3.0,0.0,63.0
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,Serie A,20.0,1998.0,3.0,74.0,101.0,73.3,1068.0,286.0,41.0,52.0,78.8,25.0,30.0,83.3,3.0,4.0,75.0,0.0,0.1,0.0,-0.1,2.0,1.0,2.0,0.0,4.0
16,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,18.0,2000.0,2.4,111.0,151.0,73.5,1783.0,526.0,54.0,69.0,78.3,45.0,59.0,76.3,9.0,16.0,56.3,0.0,0.8,0.9,-0.8,6.0,17.0,2.0,1.0,17.0
17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,Serie A,24.0,1993.0,1.8,77.0,117.0,65.8,1301.0,457.0,45.0,54.0,83.3,23.0,35.0,65.7,7.0,19.0,36.8,0.0,0.1,0.1,-0.1,3.0,5.0,1.0,1.0,8.0
18,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,37.0,1981.0,10.5,146.0,238.0,61.3,1751.0,325.0,90.0,139.0,64.7,38.0,66.0,57.6,3.0,7.0,42.9,0.0,0.7,0.8,-0.7,8.0,9.0,4.0,1.0,15.0
19,Luis Advíncula,pe PER,DF,Rayo Vallecano,La Liga,28.0,1990.0,26.5,957.0,1197.0,79.9,15766.0,5283.0,506.0,557.0,90.8,343.0,422.0,81.3,76.0,144.0,52.8,3.0,2.4,2.9,0.6,16.0,60.0,23.0,11.0,90.0
20,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,22.0,1996.0,22.6,653.0,964.0,67.7,10341.0,4920.0,340.0,413.0,82.3,246.0,343.0,71.7,47.0,137.0,34.3,0.0,0.5,0.9,-0.5,8.0,54.0,14.0,6.0,89.0
21,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,22.0,1996.0,11.7,465.0,604.0,77.0,9427.0,4171.0,153.0,167.0,91.6,223.0,264.0,84.5,80.0,148.0,54.1,0.0,0.1,0.1,-0.1,2.0,39.0,3.0,2.0,32.0
22,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,30.0,1988.0,27.3,661.0,796.0,83.0,7735.0,1420.0,415.0,466.0,89.1,151.0,176.0,85.8,12.0,24.0,50.0,8.0,5.0,4.3,3.0,34.0,40.0,40.0,0.0,76.0
23,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,25.0,1993.0,28.1,1315.0,1640.0,80.2,20563.0,7554.0,730.0,806.0,90.6,468.0,573.0,81.7,86.0,159.0,54.1,4.0,2.5,2.7,1.5,44.0,82.0,46.0,25.0,128.0
24,Juan Aguilera,es ESP,MF,Huesca,La Liga,32.0,1985.0,3.8,166.0,189.0,87.8,2706.0,846.0,90.0,93.0,96.8,58.0,68.0,85.3,14.0,19.0,73.7,0.0,0.0,0.2,0.0,0.0,16.0,3.0,2.0,21.0
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,27.0,1990.0,1.8,27.0,35.0,77.1,429.0,42.0,19.0,22.0,86.4,4.0,5.0,80.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,24.0,1994.0,11.9,463.0,549.0,84.3,7732.0,2051.0,217.0,245.0,88.6,193.0,218.0,88.5,40.0,56.0,71.4,1.0,0.6,0.5,0.4,8.0,50.0,4.0,1.0,64.0
28,Antonis Aidonis,de GER,DF,Stuttgart,Bundesliga,17.0,2001.0,0.9,13.0,35.0,37.1,252.0,147.0,3.0,5.0,60.0,8.0,19.0,42.1,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0
29,Ola Aina,ng NGA,DF,Torino,Serie A,21.0,1996.0,24.0,861.0,1178.0,73.1,13729.0,5830.0,465.0,525.0,88.6,268.0,395.0,67.8,88.0,159.0,55.3,3.0,2.5,2.2,0.5,25.0,53.0,30.0,11.0,97.0
