,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Christian Abbiati,it ITA,GK,Milan,Serie A,37.0,1977.0,11.0,10.0,906.0,10.1,8.0,0.79,37.0,29.0,78.4,5.0,5.0,1.0,4.0,40.0,,,,,
1,René Adler,de GER,GK,Hamburger SV,Bundesliga,29.0,1985.0,12.0,11.0,1060.0,11.8,20.0,1.7,74.0,54.0,73.0,3.0,2.0,7.0,2.0,18.2,,,,,
2,Adrián,es ESP,GK,West Ham,Premier League,27.0,1987.0,38.0,38.0,3392.0,37.7,47.0,1.25,171.0,124.0,72.5,12.0,10.0,15.0,8.0,21.1,,,,,
3,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,36.0,1978.0,17.0,16.0,1440.0,16.0,30.0,1.87,87.0,57.0,65.5,5.0,3.0,9.0,5.0,31.3,,,,,
4,Federico Agliardi,it ITA,GK,Cesena,Serie A,31.0,1983.0,10.0,9.0,870.0,9.7,19.0,1.97,53.0,34.0,64.2,0.0,3.0,6.0,1.0,11.1,,,,,
5,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,22.0,1991.0,23.0,23.0,2070.0,23.0,40.0,1.74,100.0,60.0,60.0,8.0,3.0,12.0,4.0,17.4,,,,,
6,Jak Alnwick,eng ENG,GK,Newcastle Utd,Premier League,21.0,1993.0,6.0,5.0,495.0,5.5,14.0,2.55,23.0,9.0,39.1,2.0,1.0,3.0,0.0,0.0,,,,,
7,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,La Liga,28.0,1985.0,17.0,16.0,1440.0,16.0,33.0,2.06,78.0,45.0,57.7,6.0,2.0,8.0,4.0,25.0,,,,,
8,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,27.0,1986.0,38.0,38.0,3350.0,37.2,42.0,1.13,146.0,104.0,71.2,12.0,12.0,13.0,11.0,28.9,,,,,
9,Diego Alves,br BRA,GK,Valencia,La Liga,29.0,1985.0,37.0,37.0,3311.0,36.8,29.0,0.79,119.0,90.0,75.6,22.0,10.0,4.0,13.0,35.1,,,,,
10,Mariano Andújar,ar ARG,GK,Napoli,Serie A,31.0,1983.0,15.0,15.0,1350.0,15.0,24.0,1.6,51.0,27.0,52.9,6.0,3.0,6.0,4.0,26.7,,,,,
11,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,La Liga,30.0,1984.0,27.0,27.0,2430.0,27.0,23.0,0.85,71.0,48.0,67.6,17.0,5.0,5.0,12.0,44.4,,,,,
12,Alphonse Areola,fr FRA,GK,Bastia,Ligue 1,21.0,1993.0,35.0,35.0,3150.0,35.0,42.0,1.2,140.0,98.0,70.0,12.0,9.0,14.0,11.0,31.4,,,,,
13,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,25.0,1989.0,34.0,34.0,3053.0,33.9,31.0,0.91,123.0,92.0,74.8,14.0,11.0,8.0,15.0,44.1,,,,,
14,Samuel Atrous,fr FRA,GK,Lens,Ligue 1,24.0,1990.0,1.0,1.0,90.0,1.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1.0,100.0,,,,,
15,Fabien Audard,fr FRA,GK,Lorient,Ligue 1,36.0,1978.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
