,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Max Aarons,Bournemouth,10.6,0,1,0,0.0,0.09,0.00,0.00,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
1,Brenden Aaronson,Union Berlin,3.2,0,2,0,0.0,0.62,0.00,0.00,0.0,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2,Paxten Aaronson,Eint Frankfurt,0.5,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,Yunis Abdelhamid,Reims,12.0,2,8,3,37.5,0.67,0.25,0.25,0.67,14.0,0,0,0,1.4,1.4,0.17,+0.6,+0.6
4,Salis Abdul Samed,Lens,9.4,0,5,0,0.0,0.53,0.00,0.00,0.0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
5,Laurent Abergel,Lorient,12.0,1,7,2,28.6,0.58,0.17,0.14,0.50,25.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5
6,Matthis Abline,Nantes,3.5,1,11,6,54.5,3.10,1.69,0.09,0.17,17.3,0,0,0,0.7,0.7,0.06,+0.3,+0.3
7,Abner,Betis,5.8,0,2,0,0.0,0.34,0.00,0.00,0.0,15.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
8,Zakaria Aboukhlal,Toulouse,4.2,3,13,5,38.5,3.11,1.20,0.15,0.40,17.1,0,1,1,2.2,1.4,0.11,+0.8,+0.6
9,Abdel Abqar,Alavés,10.0,0,4,1,25.0,0.40,0.10,0.00,0.00,9.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
10,Francesco Acerbi,Inter,9.0,1,8,2,25.0,0.89,0.22,0.13,0.50,11.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3
11,Marcos Acuna,Sevilla,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
12,Benie Adama Traore,Sheffield Utd,3.6,0,1,1,100.0,0.28,0.28,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
13,Akor Adams,Montpellier,9.7,7,27,15,55.6,2.78,1.54,0.26,0.47,14.5,0,0,0,5.7,5.7,0.21,+1.3,+1.3
14,Junior Adamu,Freiburg,0.9,0,1,0,0.0,1.17,0.00,0.00,0.0,13.6,0,0,0,0.0,0.0,0.01,0.0,0.0
15,Sargis Adamyan,Köln,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9
16,Tosin Adarabioyo,Fulham,0.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Elijah Adebayo,Luton Town,4.3,2,8,2,25.0,1.86,0.46,0.25,1.00,9.1,0,0,0,1.4,1.4,0.18,+0.6,+0.6
18,Karim Adeyemi,Dortmund,3.6,0,4,2,50.0,1.11,0.56,0.00,0.00,14.9,0,0,0,0.8,0.8,0.20,-0.8,-0.8
19,Simon Adingra,Brighton,7.4,3,10,6,60.0,1.35,0.81,0.30,0.50,15.4,0,0,0,1.4,1.4,0.14,+1.6,+1.6
20,Amine Adli,Leverkusen,1.7,1,5,3,60.0,2.92,1.75,0.20,0.33,17.8,0,0,0,0.3,0.3,0.06,+0.7,+0.7
21,Yacine Adli,Milan,3.3,0,1,0,0.0,0.31,0.00,0.00,0.0,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0
22,Adson,Nantes,2.3,0,4,0,0.0,1.75,0.00,0.00,0.0,15.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
23,Michel Aebischer,Bologna,10.7,0,2,1,50.0,0.19,0.09,0.00,0.00,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
24,Emmanuel Agbadou,Reims,7.7,0,8,1,12.5,1.04,0.13,0.00,0.00,18.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
26,Lucien Agoume,Inter,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,Felix Agu,Werder Bremen,0.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
28,Nayef Aguerd,West Ham,10.7,1,9,1,11.1,0.84,0.09,0.11,1.00,10.8,0,0,0,0.9,0.9,0.10,+0.1,+0.1
29,Ruben Aguilar,Lens,6.7,0,5,2,40.0,0.75,0.30,0.00,0.00,16.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
30,Naouirou Ahamada,Crystal Palace,0.9,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
31,Anel Ahmedhodzic,Sheffield Utd,8.0,0,8,1,12.5,1.00,0.12,0.00,0.00,13.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9
32,Joseph Aidoo,Celta Vigo,4.5,0,3,0,0.0,0.66,0.00,0.00,0.0,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
33,Ola Aina,Nott'ham Forest,7.0,1,3,1,33.3,0.43,0.14,0.33,1.00,25.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9
34,Rayan Ait Nouri,Wolves,9.7,0,8,0,0.0,0.83,0.00,0.00,0.0,15.4,0,0,0,1.2,1.2,0.16,-1.2,-1.2
35,Tosin Aiyegun,Lorient,5.0,2,4,2,50.0,0.80,0.40,0.50,1.00,15.5,0,0,0,1.5,1.5,0.37,+0.5,+0.5
