,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,30.0,1.52,27.0,2.0,1.0,0.0,0.0,0.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,17.0,0.53,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,31.0,2.11,18.0,5.0,3.0,1.0,2.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
6,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,59.0,1.79,45.0,0.0,3.0,6.0,4.0,1.0,9.0,0.27,6.0,0.0,1.0,1.0,1.0,0.0
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,10.1,14.0,1.38,11.0,0.0,2.0,0.0,1.0,0.0,3.0,0.3,2.0,0.0,1.0,0.0,0.0,0.0
8,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,9.0,0.64,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,5.0,0.37,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,17.0,1.47,9.0,0.0,2.0,4.0,2.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0
12,Amir Abrashi,al ALB,"MF,DF",Freiburg,Bundesliga,30.0,1990.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,Serie A,26.0,1994.0,4.9,8.0,1.63,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
