Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Ismael Aaneba,0,FRA,DF,Strasbourg,fr Ligue 1,19.0,1999.0,3.0,3.0,204.0,2.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.17,0.17,0.0,0.17,0,FRA,DF,Strasbourg,fr Ligue 1,19.0,1999.0,2.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Patrick van Aanholt,1,NLD,DF,Crystal Palace,eng Premier League,27.0,1990.0,36.0,36.0,3195.0,35.5,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.08,0.06,0.14,0.08,0.14,2.6,2.6,4.4,7.0,0.07,0.12,0.2,0.07,0.2,1,NLD,DF,Crystal Palace,eng Premier League,27.0,1990.0,35.5,3.0,45.0,11.0,24.4,1.27,0.31,0.07,0.27,20.7,0.0,0.0,0.0,2.6,2.6,0.06,0.4,0.4
Ignazio Abate,2,ITA,DF,Milan,it Serie A,31.0,1986.0,19.0,15.0,1302.0,14.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03,2,ITA,DF,Milan,it Serie A,31.0,1986.0,14.5,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,12.5,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
Issah Abbas,3,GHA,FW,Mainz 05,de Bundesliga,19.0,1998.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,3,GHA,FW,Mainz 05,de Bundesliga,19.0,1998.0,0.1,0.0,1.0,0.0,0.0,10.0,0.0,0.0,,24.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Yunis Abdelhamid,4,MAR,DF,Reims,fr Ligue 1,30.0,1987.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.8,0.04,0.0,0.05,0.04,0.05,4,MAR,DF,Reims,fr Ligue 1,30.0,1987.0,38.0,0.0,19.0,4.0,21.1,0.5,0.11,0.0,0.0,15.4,0.0,0.0,0.0,1.6,1.6,0.09,-1.6,-1.6
Mehdi Abeid,5,DZA,MF,Dijon,fr Ligue 1,25.0,1992.0,26.0,23.0,2023.0,22.5,3.0,0.0,2.0,1.0,1.0,6.0,0.0,0.13,0.0,0.13,0.09,0.09,2.9,2.1,1.6,3.8,0.13,0.07,0.2,0.1,0.17,5,DZA,MF,Dijon,fr Ligue 1,25.0,1992.0,22.5,3.0,36.0,10.0,27.8,1.6,0.44,0.06,0.2,24.9,0.0,1.0,1.0,2.9,2.1,0.06,0.1,-0.1
Charles Abi,6,FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18.0,2000.0,3.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.17,0.12,0.29,0.17,0.29,6,FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18.0,2000.0,0.4,0.0,1.0,0.0,0.0,2.81,0.0,0.0,,15.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
David Abraham,7,ARG,DF,Eint Frankfurt,de Bundesliga,32.0,1986.0,17.0,17.0,1420.0,15.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.1,0.05,0.03,0.07,0.05,0.07,7,ARG,DF,Eint Frankfurt,de Bundesliga,32.0,1986.0,15.8,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,11.4,0.0,0.0,0.0,0.8,0.8,0.15,-0.8,-0.8
Amir Abrashi,8,ALB,MF,Freiburg,de Bundesliga,28.0,1990.0,10.0,9.0,790.0,8.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,8,ALB,MF,Freiburg,de Bundesliga,28.0,1990.0,8.8,0.0,7.0,2.0,28.6,0.8,0.23,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Francesco Acerbi,9,ITA,DF,Lazio,it Serie A,30.0,1988.0,37.0,37.0,3309.0,36.8,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.08,0.03,0.11,0.08,0.11,3.4,3.4,1.0,4.3,0.09,0.03,0.12,0.09,0.12,9,ITA,DF,Lazio,it Serie A,30.0,1988.0,36.8,3.0,18.0,7.0,38.9,0.49,0.19,0.17,0.43,9.8,0.0,0.0,0.0,3.4,3.4,0.2,-0.4,-0.4
