Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Ismael Aaneba,0,FRA,DF,Strasbourg,fr Ligue 1,21.0,1999.0,2.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick van Aanholt,1,NLD,DF,Crystal Palace,eng Premier League,29.0,1990.0,22.0,20.0,1777.0,19.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,1.4,1.4,0.7,2.1,0.07,0.04,0.11,0.07,0.11
Issah Abbas,2,GHA,"DF,FW",Mainz 05,de Bundesliga,21.0,1998.0,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,3,MAR,DF,Reims,fr Ligue 1,32.0,1987.0,33.0,33.0,2889.0,32.1,3.0,0.0,3.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,1.9,1.9,0.3,2.2,0.06,0.01,0.07,0.06,0.07
Sabit Abdulai,4,GHA,MF,Getafe,es La Liga,21.0,1999.0,3.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid,5,DZA,MF,Nantes,fr Ligue 1,27.0,1992.0,18.0,15.0,1320.0,14.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.8,0.07,0.05,0.12,0.07,0.12
Laurent Abergel,6,FRA,MF,Lorient,fr Ligue 1,27.0,1993.0,38.0,32.0,2963.0,32.9,3.0,1.0,3.0,0.0,0.0,5.0,0.0,0.09,0.03,0.12,0.09,0.12,1.5,1.5,1.7,3.3,0.05,0.05,0.1,0.05,0.1
Charles Abi,7,FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20.0,2000.0,24.0,9.0,912.0,10.1,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24
Matthis Abline,8,FRA,FW,Rennes,fr Ligue 1,17.0,2003.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Abou Cisse,9,SEN,DF,Saint-Étienne,fr Ligue 1,24.0,1995.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,0.1,0.01,0.11,0.1,0.11
David Abraham,10,ARG,DF,Eint Frankfurt,de Bundesliga,34.0,1986.0,14.0,14.0,1222.0,13.6,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.07,0.0,0.07,0.07,0.07,0.6,0.6,0.4,1.0,0.04,0.03,0.07,0.04,0.07
Tammy Abraham,11,GBR,FW,Chelsea,eng Premier League,22.0,1997.0,22.0,12.0,1040.0,11.6,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.52,0.09,0.61,0.52,0.61,5.9,5.9,0.7,6.6,0.51,0.06,0.57,0.51,0.57
Amir Abrashi,12,ALB,"MF,DF",Freiburg,de Bundesliga,30.0,1990.0,5.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gennaro Acampora,13,ITA,"MF,FW",Spezia,it Serie A,26.0,1994.0,14.0,2.0,441.0,4.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.06,0.0,0.07,0.06,0.07
Francesco Acerbi,14,ITA,DF,Lazio,it Serie A,32.0,1988.0,32.0,32.0,2813.0,31.3,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.03,0.03,0.0,0.03,1.1,1.1,1.0,2.1,0.03,0.03,0.07,0.03,0.07
Ragnar Ache,15,DEU,"FW,DF",Eint Frankfurt,de Bundesliga,22.0,1998.0,7.0,0.0,100.0,1.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.0,0.9,0.9,0.9,0.1,0.1,0.0,0.1,0.13,0.0,0.13,0.13,0.13
Marcos Acuña,16,ARG,DF,Sevilla,es La Liga,28.0,1991.0,30.0,26.0,2330.0,25.9,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.08,0.12,0.04,0.12,1.0,1.0,2.6,3.6,0.04,0.1,0.14,0.04,0.14
Che Adams,17,SYC,FW,Southampton,eng Premier League,24.0,1996.0,36.0,30.0,2667.0,29.6,9.0,5.0,9.0,0.0,0.0,1.0,0.0,0.3,0.17,0.47,0.3,0.47,9.8,9.8,5.0,14.8,0.33,0.17,0.5,0.33,0.5
Tyler Adams,18,USA,"MF,DF",RB Leipzig,de Bundesliga,21.0,1999.0,27.0,21.0,1850.0,20.6,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1,1.3,1.3,0.9,2.2,0.07,0.04,0.11,0.07,0.11
Sargis Adamyan,19,ARM,"FW,MF",Hoffenheim,de Bundesliga,27.0,1993.0,18.0,3.0,479.0,5.3,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.38,0.56,0.94,0.38,0.94,2.1,2.1,2.3,4.5,0.4,0.44,0.84,0.4,0.84
Tosin Adarabioyo,20,GBR,DF,Fulham,eng Premier League,22.0,1997.0,33.0,33.0,2953.0,32.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,0.03,0.01,0.04,0.03,0.04
Bobby Adekanye,21,NLD,"FW,MF",Cádiz,es La Liga,21.0,1999.0,3.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.85,0.0,0.85,0.85,0.85
Yacine Adli,22,FRA,MF,Bordeaux,fr Ligue 1,20.0,2000.0,35.0,25.0,2418.0,26.9,2.0,5.0,2.0,0.0,0.0,6.0,0.0,0.07,0.19,0.26,0.07,0.26,1.9,1.9,4.4,6.3,0.07,0.16,0.23,0.07,0.23
Andrea Adorante,23,ITA,FW,Parma,it Serie A,20.0,2000.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián,24,ESP,GK,Liverpool,eng Premier League,33.0,1987.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Agirregabiria,26,ESP,"DF,MF",Alavés,es La Liga,24.0,1996.0,26.0,16.0,1558.0,17.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,0.1,0.1,0.7,0.9,0.01,0.04,0.05,0.01,0.05
Lucien Agoume,27,FRA,MF,Spezia,it Serie A,18.0,2002.0,12.0,9.0,800.0,8.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Felix Agu,28,DEU,DF,Werder Bremen,de Bundesliga,20.0,1999.0,15.0,8.0,701.0,7.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.6,0.6,0.5,1.1,0.08,0.06,0.14,0.08,0.14
Kevin Agudelo,29,COL,FW,Spezia,it Serie A,21.0,1998.0,29.0,14.0,1356.0,15.1,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.07,0.13,0.2,0.07,0.2,1.5,1.5,1.3,2.8,0.1,0.09,0.19,0.1,0.19
Nayef Aguerd,30,MAR,DF,Rennes,fr Ligue 1,24.0,1996.0,35.0,35.0,3147.0,35.0,3.0,1.0,3.0,0.0,0.0,6.0,0.0,0.09,0.03,0.11,0.09,0.11,3.2,3.2,0.7,4.0,0.09,0.02,0.11,0.09,0.11
Sergio Agüero,31,ARG,FW,Manchester City,eng Premier League,32.0,1988.0,12.0,7.0,559.0,6.2,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.64,0.16,0.81,0.48,0.64,3.5,1.9,1.2,3.1,0.56,0.19,0.75,0.31,0.5
Ruben Aguilar,32,FRA,"DF,MF",Monaco,fr Ligue 1,27.0,1993.0,33.0,27.0,2225.0,24.7,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.04,0.12,0.16,0.04,0.16,0.9,0.9,4.7,5.6,0.03,0.19,0.23,0.03,0.23
Naouirou Ahamada,33,FRA,MF,Stuttgart,de Bundesliga,18.0,2002.0,6.0,3.0,252.0,2.8,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.08,0.01,0.09,0.08,0.09
Matteo Ahlinvi,34,BEN,MF,Nîmes,fr Ligue 1,21.0,1999.0,20.0,10.0,899.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,1.4,1.4,0.2,1.5,0.14,0.02,0.16,0.14,0.16
Jean-Eudes Aholou,35,CIV,MF,Strasbourg,fr Ligue 1,26.0,1994.0,27.0,26.0,2146.0,23.8,2.0,2.0,2.0,0.0,0.0,9.0,0.0,0.08,0.08,0.17,0.08,0.17,2.3,2.1,1.3,3.4,0.1,0.05,0.15,0.09,0.14
Joseph Aidoo,37,GHA,DF,Celta Vigo,es La Liga,24.0,1995.0,25.0,14.0,1289.0,14.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,0.06,0.02,0.08,0.06,0.08
Ola Aina,38,NGA,DF,Fulham,eng Premier League,23.0,1996.0,31.0,31.0,2664.0,29.6,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.07,0.03,0.1,0.07,0.1,1.2,1.2,1.5,2.8,0.04,0.05,0.09,0.04,0.09
Rayan Aït Nouri,39,FRA,DF,Wolves,eng Premier League,19.0,2001.0,21.0,16.0,1404.0,15.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,0.6,1.2,0.04,0.04,0.08,0.04,0.08
Semi Ajayi,41,NGA,DF,West Brom,eng Premier League,26.0,1993.0,33.0,31.0,2780.0,30.9,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.06,0.0,0.06,0.06,0.06,1.9,1.9,0.5,2.4,0.06,0.02,0.08,0.06,0.08
Ludovic Ajorque,42,REU,FW,Strasbourg,fr Ligue 1,26.0,1994.0,35.0,34.0,2967.0,33.0,16.0,4.0,12.0,4.0,5.0,5.0,0.0,0.49,0.12,0.61,0.36,0.49,15.7,11.8,3.9,15.7,0.48,0.12,0.6,0.36,0.48
Manuel Akanji,43,CHE,DF,Dortmund,de Bundesliga,25.0,1995.0,28.0,26.0,2350.0,26.1,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,1.7,1.7,0.3,2.0,0.06,0.01,0.08,0.06,0.08
Carlos Akapo,44,GNQ,DF,Cádiz,es La Liga,27.0,1993.0,13.0,10.0,865.0,9.6,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05
Marley Aké,45,FRA,FW,Marseille,fr Ligue 1,19.0,2001.0,9.0,0.0,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.64,0.0,0.64,0.64,0.64
Nathan Aké,46,NLD,DF,Manchester City,eng Premier League,25.0,1995.0,10.0,9.0,797.0,8.9,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03
Paul Akouokou,47,CIV,MF,Betis,es La Liga,22.0,1997.0,10.0,4.0,378.0,4.2,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.14,0.14,0.0,0.14
Jean-Daniel Akpa-Akpro,48,CIV,MF,Lazio,it Serie A,27.0,1992.0,32.0,6.0,1056.0,11.7,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,1.2,1.2,0.8,1.9,0.1,0.06,0.16,0.1,0.16
Kevin Akpoguma,49,NGA,DF,Hoffenheim,de Bundesliga,25.0,1995.0,16.0,14.0,1184.0,13.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04
David Alaba,50,AUT,"DF,MF",Bayern Munich,de Bundesliga,28.0,1992.0,32.0,30.0,2675.0,29.7,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.07,0.13,0.2,0.07,0.2,1.2,1.2,2.1,3.3,0.04,0.07,0.11,0.04,0.11
Sofiane Alakouch,52,MAR,DF,Nîmes,fr Ligue 1,22.0,1998.0,22.0,17.0,1505.0,16.7,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.3,1.5,0.01,0.08,0.09,0.01,0.09
Jony Álamo,53,ESP,MF,Elche,es La Liga,18.0,2001.0,1.0,1.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Lucas Alario,54,ARG,FW,Leverkusen,de Bundesliga,27.0,1992.0,25.0,12.0,1245.0,13.8,11.0,2.0,9.0,2.0,2.0,2.0,0.0,0.8,0.14,0.94,0.65,0.8,7.2,5.7,0.9,6.6,0.52,0.07,0.59,0.41,0.48
Jordi Alba,55,ESP,"DF,FW",Barcelona,es La Liga,31.0,1989.0,35.0,34.0,3025.0,33.6,3.0,5.0,3.0,0.0,0.0,9.0,0.0,0.09,0.15,0.24,0.09,0.24,1.9,1.9,7.6,9.5,0.06,0.22,0.28,0.06,0.28
Luis Alberto,56,ESP,MF,Lazio,it Serie A,27.0,1992.0,34.0,33.0,2618.0,29.1,9.0,2.0,9.0,0.0,0.0,5.0,0.0,0.31,0.07,0.38,0.31,0.38,5.1,5.0,7.9,12.9,0.18,0.27,0.45,0.17,0.44
