,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
16,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,62.0,42.0,34.0,20.0,8.0,23.0,41.0,56.1,18.0,23.0,2.0,21.0,23.0,85.0,30.0,1.0
17,Che Adams,sct SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,25.0,16.0,4.0,15.0,6.0,6.0,17.0,35.3,11.0,20.0,2.0,18.0,4.0,29.0,19.0,1.0
18,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,21.0,1999.0,20.6,35.0,24.0,12.0,15.0,8.0,17.0,31.0,54.8,14.0,22.0,5.0,17.0,29.0,64.0,30.0,0.0
19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,27.0,1993.0,5.3,9.0,4.0,4.0,3.0,2.0,7.0,14.0,50.0,7.0,2.0,0.0,2.0,6.0,15.0,1.0,0.0
20,Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,37.0,19.0,30.0,6.0,1.0,19.0,40.0,47.5,21.0,26.0,20.0,6.0,42.0,79.0,197.0,2.0
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,La Liga,21.0,1999.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,74.0,37.0,30.0,33.0,11.0,35.0,92.0,38.0,57.0,27.0,2.0,25.0,39.0,113.0,17.0,2.0
23,Andrea Adorante,it ITA,FW,Parma,Serie A,20.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Adrián,es ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,La Liga,24.0,1996.0,17.3,32.0,18.0,17.0,12.0,3.0,17.0,33.0,51.5,16.0,9.0,3.0,6.0,27.0,59.0,36.0,0.0
27,Lucien Agoume,fr FRA,MF,Spezia,Serie A,18.0,2002.0,8.9,18.0,10.0,11.0,7.0,0.0,6.0,19.0,31.6,13.0,10.0,5.0,5.0,15.0,33.0,10.0,0.0
28,Felix Agu,de GER,DF,Werder Bremen,Bundesliga,20.0,1999.0,7.8,20.0,9.0,10.0,9.0,1.0,10.0,18.0,55.6,8.0,14.0,3.0,11.0,12.0,32.0,18.0,0.0
29,Kevin Agudelo,co COL,FW,Spezia,Serie A,21.0,1998.0,15.1,39.0,28.0,9.0,15.0,15.0,12.0,34.0,35.3,22.0,30.0,0.0,30.0,10.0,49.0,2.0,0.0
30,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,24.0,1996.0,35.0,37.0,30.0,28.0,9.0,0.0,21.0,33.0,63.6,12.0,34.0,22.0,12.0,47.0,84.0,102.0,0.0
31,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,32.0,1988.0,6.2,4.0,1.0,0.0,2.0,2.0,2.0,11.0,18.2,9.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0
32,Ruben Aguilar,fr FRA,"DF,MF",Monaco,Ligue 1,27.0,1993.0,24.7,63.0,37.0,32.0,21.0,10.0,32.0,52.0,61.5,20.0,30.0,3.0,27.0,47.0,110.0,43.0,1.0
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,Bundesliga,18.0,2002.0,2.8,4.0,1.0,3.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,Ligue 1,21.0,1999.0,10.0,26.0,20.0,10.0,14.0,2.0,11.0,39.0,28.2,28.0,6.0,0.0,6.0,2.0,28.0,8.0,0.0
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,26.0,1994.0,23.8,46.0,25.0,18.0,25.0,3.0,19.0,48.0,39.6,29.0,17.0,5.0,12.0,53.0,99.0,32.0,0.0
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,26.0,1994.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,24.0,1995.0,14.3,26.0,17.0,17.0,9.0,0.0,12.0,21.0,57.1,9.0,7.0,4.0,3.0,25.0,51.0,88.0,1.0
38,Ola Aina,ng NGA,DF,Fulham,Premier League,23.0,1996.0,29.6,37.0,20.0,22.0,7.0,8.0,21.0,43.0,48.8,22.0,22.0,6.0,16.0,45.0,82.0,94.0,2.0
39,Rayan Aït Nouri,dz ALG,DF,Wolves,Premier League,19.0,2001.0,15.6,29.0,16.0,18.0,10.0,1.0,13.0,27.0,48.1,14.0,14.0,1.0,13.0,15.0,44.0,25.0,0.0
40,Rayan Aït Nouri,dz ALG,DF,Angers,Ligue 1,19.0,2001.0,2.1,3.0,2.0,1.0,2.0,0.0,3.0,5.0,60.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,0.0
41,Semi Ajayi,ng NGA,DF,West Brom,Premier League,26.0,1993.0,30.9,40.0,14.0,34.0,6.0,0.0,23.0,41.0,56.1,18.0,51.0,32.0,19.0,42.0,82.0,122.0,2.0
42,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,26.0,1994.0,33.0,30.0,18.0,6.0,18.0,6.0,7.0,31.0,22.6,24.0,14.0,5.0,9.0,11.0,41.0,54.0,0.0
43,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,25.0,1995.0,26.1,41.0,22.0,23.0,12.0,6.0,19.0,31.0,61.3,12.0,23.0,10.0,13.0,49.0,90.0,70.0,1.0
44,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,27.0,1993.0,9.6,18.0,14.0,14.0,4.0,0.0,10.0,18.0,55.6,8.0,16.0,3.0,13.0,19.0,37.0,33.0,0.0
45,Marley Aké,fr FRA,FW,Marseille,Ligue 1,19.0,2001.0,1.6,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0
46,Nathan Aké,nl NED,DF,Manchester City,Premier League,25.0,1995.0,8.9,10.0,5.0,3.0,6.0,1.0,3.0,4.0,75.0,1.0,2.0,1.0,1.0,9.0,19.0,23.0,0.0
47,Paul Akouokou,ci CIV,MF,Betis,La Liga,22.0,1997.0,4.2,11.0,8.0,2.0,8.0,1.0,5.0,8.0,62.5,3.0,3.0,1.0,2.0,6.0,17.0,7.0,0.0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,27.0,1992.0,11.7,38.0,25.0,13.0,22.0,3.0,8.0,27.0,29.6,19.0,24.0,6.0,18.0,18.0,56.0,13.0,0.0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,25.0,1995.0,13.2,18.0,12.0,11.0,6.0,1.0,8.0,14.0,57.1,6.0,28.0,15.0,13.0,13.0,31.0,32.0,2.0
50,David Alaba,at AUT,"DF,MF",Bayern Munich,Bundesliga,28.0,1992.0,29.7,37.0,21.0,14.0,19.0,4.0,17.0,32.0,53.1,15.0,29.0,13.0,16.0,43.0,80.0,60.0,0.0
52,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,22.0,1998.0,16.7,53.0,33.0,30.0,16.0,7.0,29.0,45.0,64.4,16.0,17.0,2.0,15.0,21.0,74.0,38.0,0.0
53,Jony Álamo,es ESP,MF,Elche,La Liga,18.0,2001.0,0.8,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
54,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,27.0,1992.0,13.8,8.0,2.0,2.0,5.0,1.0,2.0,4.0,50.0,2.0,9.0,1.0,8.0,2.0,10.0,10.0,0.0
55,Jordi Alba,es ESP,"DF,FW",Barcelona,La Liga,31.0,1989.0,33.6,45.0,30.0,22.0,16.0,7.0,24.0,52.0,46.2,28.0,21.0,2.0,19.0,49.0,94.0,48.0,0.0
56,Luis Alberto,es ESP,MF,Lazio,Serie A,27.0,1992.0,29.1,43.0,24.0,15.0,19.0,9.0,15.0,73.0,20.5,58.0,41.0,2.0,39.0,13.0,56.0,11.0,1.0
57,Raúl Albiol,es ESP,DF,Villarreal,La Liga,34.0,1985.0,34.6,22.0,15.0,19.0,3.0,0.0,13.0,18.0,72.2,5.0,32.0,22.0,10.0,22.0,44.0,146.0,2.0
58,Marc Albrighton,eng ENG,"DF,FW",Leicester City,Premier League,30.0,1989.0,19.4,33.0,19.0,14.0,15.0,4.0,16.0,45.0,35.6,29.0,29.0,3.0,26.0,17.0,50.0,27.0,1.0
59,Paco Alcácer,es ESP,FW,Villarreal,La Liga,26.0,1993.0,17.2,6.0,3.0,1.0,2.0,3.0,3.0,7.0,42.9,4.0,8.0,0.0,8.0,9.0,15.0,6.0,0.0
60,Pedro Alcalá,es ESP,DF,Cádiz,La Liga,31.0,1989.0,10.1,8.0,4.0,6.0,2.0,0.0,3.0,5.0,60.0,2.0,19.0,13.0,6.0,16.0,24.0,50.0,0.0
61,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,29.0,1991.0,20.6,61.0,36.0,20.0,30.0,11.0,17.0,49.0,34.7,32.0,26.0,0.0,26.0,30.0,91.0,14.0,0.0
62,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,29.0,1991.0,24.1,54.0,29.0,32.0,21.0,1.0,30.0,80.0,37.5,50.0,35.0,8.0,27.0,31.0,85.0,28.0,0.0
63,Omar Alderete,py PAR,DF,Hertha BSC,Bundesliga,23.0,1996.0,14.4,16.0,10.0,11.0,5.0,0.0,7.0,16.0,43.8,9.0,14.0,10.0,4.0,21.0,37.0,61.0,1.0
64,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,31.0,1989.0,24.9,35.0,22.0,22.0,11.0,2.0,18.0,30.0,60.0,12.0,40.0,28.0,12.0,10.0,45.0,121.0,0.0
65,Iván Alejo,es ESP,"MF,FW",Cádiz,La Liga,25.0,1995.0,9.2,14.0,10.0,8.0,4.0,2.0,4.0,23.0,17.4,19.0,14.0,1.0,13.0,3.0,17.0,10.0,0.0
66,Carles Aleñá,es ESP,MF,Barcelona,La Liga,22.0,1998.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,Carles Aleñá,es ESP,"MF,FW",Getafe,La Liga,22.0,1998.0,15.2,15.0,10.0,3.0,9.0,3.0,7.0,25.0,28.0,18.0,14.0,1.0,13.0,2.0,17.0,2.0,0.0
68,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,Premier League,25.0,1995.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,21.0,1998.0,33.7,56.0,33.0,31.0,18.0,7.0,36.0,56.0,64.3,20.0,24.0,3.0,21.0,49.0,105.0,50.0,3.0
70,Alfon,es ESP,MF,Celta Vigo,La Liga,21.0,1999.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,Ligue 1,16.0,2004.0,3.9,9.0,7.0,2.0,6.0,1.0,4.0,9.0,44.4,5.0,4.0,0.0,4.0,3.0,12.0,0.0,0.0
72,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,Premier League,28.0,1992.0,27.3,74.0,31.0,38.0,28.0,8.0,32.0,74.0,43.2,42.0,17.0,2.0,15.0,23.0,97.0,50.0,2.0
73,Rachid Alioui,ma MAR,FW,Angers,Ligue 1,28.0,1992.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Alisson,br BRA,GK,Liverpool,Premier League,27.0,1992.0,33.0,3.0,2.0,3.0,0.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,2.0,5.0,26.0,7.0
75,Saturnin Allagbé,bj BEN,GK,Dijon,Ligue 1,26.0,1993.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
76,Allan,br BRA,MF,Everton,Premier League,29.0,1991.0,22.8,80.0,45.0,39.0,37.0,4.0,28.0,95.0,29.5,67.0,31.0,12.0,19.0,19.0,99.0,25.0,1.0
78,Dele Alli,eng ENG,MF,Tottenham,Premier League,24.0,1996.0,6.9,18.0,11.0,8.0,6.0,4.0,7.0,19.0,36.8,12.0,9.0,0.0,9.0,7.0,25.0,3.0,0.0
79,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,26.0,1994.0,27.0,49.0,29.0,21.0,25.0,3.0,14.0,56.0,25.0,42.0,23.0,4.0,19.0,25.0,74.0,20.0,1.0
80,Marcos Alonso,es ESP,DF,Chelsea,Premier League,29.0,1990.0,10.7,13.0,3.0,6.0,4.0,3.0,7.0,14.0,50.0,7.0,12.0,1.0,11.0,12.0,25.0,30.0,0.0
81,Sergio Álvarez,es ESP,"MF,DF",Eibar,La Liga,28.0,1992.0,17.4,42.0,25.0,13.0,26.0,3.0,8.0,22.0,36.4,14.0,22.0,5.0,17.0,22.0,64.0,24.0,2.0
82,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,25.0,1995.0,21.6,19.0,12.0,11.0,8.0,0.0,9.0,21.0,42.9,12.0,12.0,5.0,7.0,53.0,72.0,73.0,0.0
83,Bruno Alves,pt POR,DF,Parma,Serie A,38.0,1981.0,18.1,13.0,10.0,10.0,3.0,0.0,7.0,9.0,77.8,2.0,17.0,12.0,5.0,26.0,39.0,81.0,0.0
84,Steven Alzate,co COL,MF,Brighton,Premier League,21.0,1998.0,10.0,17.0,8.0,10.0,4.0,3.0,6.0,15.0,40.0,9.0,8.0,1.0,7.0,8.0,25.0,10.0,0.0
85,Ibrahim Amadou,fr FRA,MF,Angers,Ligue 1,27.0,1993.0,16.7,39.0,26.0,18.0,19.0,2.0,15.0,38.0,39.5,23.0,14.0,4.0,10.0,23.0,62.0,25.0,0.0
86,Romain Amalfitano,fr FRA,"FW,DF",Dijon,Ligue 1,30.0,1989.0,1.3,4.0,2.0,3.0,1.0,0.0,1.0,3.0,33.3,2.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0
87,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,La Liga,18.0,2001.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
88,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,25.0,1994.0,8.0,11.0,7.0,6.0,4.0,1.0,8.0,12.0,66.7,4.0,8.0,4.0,4.0,12.0,23.0,26.0,0.0
89,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,26.0,1994.0,9.0,11.0,9.0,9.0,1.0,1.0,9.0,12.0,75.0,3.0,12.0,2.0,10.0,27.0,38.0,33.0,1.0
90,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,23.0,1997.0,8.4,7.0,4.0,1.0,1.0,5.0,2.0,12.0,16.7,10.0,2.0,0.0,2.0,2.0,9.0,4.0,0.0
91,Wisdom Amey,it ITA,DF,Bologna,Serie A,14.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Nadiem Amiri,de GER,MF,Leverkusen,Bundesliga,23.0,1996.0,21.0,12.0,7.0,4.0,8.0,0.0,7.0,33.0,21.2,26.0,18.0,3.0,15.0,12.0,24.0,7.0,0.0
93,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,Premier League,19.0,2000.0,23.2,57.0,36.0,31.0,24.0,2.0,20.0,46.0,43.5,26.0,40.0,19.0,21.0,49.0,106.0,87.0,3.0
94,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,23.0,1996.0,27.1,39.0,22.0,11.0,24.0,4.0,18.0,48.0,37.5,30.0,30.0,5.0,25.0,23.0,62.0,12.0,0.0
95,Jon Ander Garrido,es ESP,MF,Cádiz,La Liga,30.0,1989.0,8.9,18.0,10.0,8.0,7.0,3.0,10.0,26.0,38.5,16.0,12.0,4.0,8.0,14.0,32.0,13.0,0.0
96,Joachim Andersen,dk DEN,DF,Fulham,Premier League,24.0,1996.0,30.3,33.0,19.0,18.0,11.0,4.0,15.0,28.0,53.6,13.0,24.0,13.0,11.0,44.0,77.0,151.0,1.0
97,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,24.0,1996.0,2.1,2.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0,0.0
98,Djavan Anderson,nl NED,DF,Lazio,Serie A,25.0,1995.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
99,Elliot Anderson,sct SCO,MF,Newcastle Utd,Premier League,17.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Felipe Anderson,br BRA,"FW,MF",West Ham,Premier League,27.0,1993.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,Sebastian Andersson,se SWE,FW,Köln,Bundesliga,29.0,1991.0,12.5,3.0,2.0,0.0,3.0,0.0,1.0,8.0,12.5,7.0,10.0,3.0,7.0,2.0,5.0,9.0,0.0
102,Nícolas Andrade,br BRA,GK,Udinese,Serie A,32.0,1988.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Benjamin André,fr FRA,MF,Lille,Ligue 1,29.0,1990.0,32.1,114.0,68.0,47.0,61.0,6.0,53.0,122.0,43.4,69.0,39.0,10.0,29.0,76.0,190.0,49.0,0.0
105,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,25.0,1994.0,28.1,51.0,24.0,22.0,27.0,2.0,24.0,53.0,45.3,29.0,40.0,6.0,34.0,51.0,102.0,31.0,2.0
106,Victorien Angban,ci CIV,MF,Metz,Ligue 1,23.0,1996.0,18.6,36.0,24.0,17.0,15.0,4.0,17.0,42.0,40.5,25.0,17.0,4.0,13.0,19.0,55.0,9.0,1.0
107,Ángel,es ESP,GK,Granada,La Liga,18.0,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,José Ángel,es ESP,DF,Eibar,La Liga,30.0,1989.0,10.0,15.0,8.0,9.0,4.0,2.0,8.0,12.0,66.7,4.0,7.0,0.0,7.0,13.0,28.0,17.0,1.0
109,Miguel Ángel Rubio,es ESP,DF,Valladolid,La Liga,22.0,1998.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,3.0,3.0,11.0,0.0
110,Angeliño,es ESP,"DF,FW",RB Leipzig,Bundesliga,23.0,1997.0,24.0,31.0,19.0,10.0,18.0,3.0,13.0,24.0,54.2,11.0,22.0,1.0,21.0,30.0,61.0,40.0,0.0
111,Davide Angelo Ghislandi,it ITA,DF,Atalanta,Serie A,19.0,2001.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112,Philip Ankhrah,gh GHA,MF,Hellas Verona,Serie A,17.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,Cristian Ansaldi,ar ARG,"DF,FW",Torino,Serie A,33.0,1986.0,21.6,48.0,33.0,25.0,14.0,9.0,24.0,38.0,63.2,14.0,21.0,7.0,14.0,16.0,64.0,38.0,0.0
114,Waldemar Anton,de GER,DF,Stuttgart,Bundesliga,24.0,1996.0,30.1,31.0,20.0,17.0,14.0,0.0,12.0,31.0,38.7,19.0,28.0,18.0,10.0,47.0,78.0,114.0,0.0
115,Michail Antonio,jm JAM,FW,West Ham,Premier League,30.0,1990.0,21.9,7.0,4.0,1.0,5.0,1.0,1.0,7.0,14.3,6.0,20.0,3.0,17.0,7.0,14.0,7.0,0.0
116,José Antonio Miranda,gq EQG,"MF,DF",Getafe,La Liga,22.0,1998.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
117,Valentin Antov,bg BUL,DF,Bologna,Serie A,19.0,2000.0,2.6,4.0,2.0,3.0,1.0,0.0,3.0,10.0,30.0,7.0,6.0,5.0,1.0,4.0,8.0,13.0,0.0
118,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,22.0,1998.0,19.8,17.0,12.0,0.0,13.0,4.0,8.0,25.0,32.0,17.0,17.0,1.0,16.0,17.0,34.0,4.0,0.0
119,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,18.0,2002.0,19.2,38.0,20.0,12.0,17.0,9.0,13.0,49.0,26.5,36.0,15.0,1.0,14.0,10.0,48.0,6.0,0.0
120,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,28.0,1992.0,17.3,55.0,34.0,33.0,15.0,7.0,32.0,59.0,54.2,27.0,23.0,6.0,17.0,25.0,80.0,43.0,0.0
121,Aritz Arambarri,es ESP,DF,Real Sociedad,La Liga,22.0,1998.0,0.3,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122,Mauro Arambarri,uy URU,MF,Getafe,La Liga,24.0,1995.0,33.1,64.0,39.0,22.0,35.0,7.0,23.0,80.0,28.8,57.0,40.0,5.0,35.0,42.0,106.0,28.0,0.0
123,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,31.0,1989.0,18.5,41.0,23.0,16.0,21.0,4.0,17.0,43.0,39.5,26.0,32.0,4.0,28.0,33.0,74.0,17.0,0.0
124,Luiz Araújo,br BRA,MF,Lille,Ligue 1,24.0,1996.0,16.6,38.0,25.0,12.0,18.0,8.0,8.0,28.0,28.6,20.0,23.0,1.0,22.0,11.0,49.0,3.0,0.0
125,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,28.0,1991.0,27.0,24.0,16.0,14.0,9.0,1.0,7.0,15.0,46.7,8.0,23.0,18.0,5.0,43.0,67.0,89.0,2.0
126,Ronald Araújo,uy URU,DF,Barcelona,La Liga,21.0,1999.0,16.8,22.0,11.0,12.0,8.0,2.0,9.0,9.0,100.0,0.0,24.0,15.0,9.0,20.0,42.0,47.0,1.0
127,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,33.0,1987.0,31.2,45.0,26.0,31.0,11.0,3.0,27.0,54.0,50.0,27.0,36.0,11.0,25.0,69.0,114.0,73.0,1.0
128,Alphonse Areola,fr FRA,GK,Fulham,Premier League,27.0,1993.0,36.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0
