,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,22,46.1,9.0,4553,475,1389,1968,1240,181,4552,145,77,53.1,50,34.5,2164,11757,6258,134,86,39,140,57,2543,315
1,26,50.8,9.0,5232,585,1797,2424,1070,164,5231,194,91,46.9,87,44.8,3115,17229,8728,161,115,34,135,64,3371,295
2,22,60.5,8.0,5704,450,1555,2419,1771,272,5699,156,72,46.2,66,42.3,3734,18842,9667,173,121,54,97,83,4160,386
3,23,49.1,8.0,4700,560,1627,2022,1087,222,4698,161,68,42.2,62,38.5,2847,15557,8161,148,91,48,110,70,3148,298
4,24,51.1,8.0,5132,453,1704,2186,1296,182,5132,136,81,59.6,41,30.1,3129,16255,8111,174,113,45,119,74,3428,345
5,22,52.9,9.0,5468,514,1576,2444,1499,214,5466,170,78,45.9,75,44.1,3110,15697,7765,162,121,48,171,88,3379,364
6,22,48.6,8.0,4892,508,1696,2123,1113,189,4891,120,68,56.7,48,40.0,2994,15139,8004,138,112,35,116,74,3199,302
7,22,45.0,7.0,3739,461,1512,1513,755,151,3738,109,55,50.5,49,45.0,2096,10690,5343,74,55,14,110,51,2166,184
8,23,69.2,9.0,7198,442,1533,3626,2100,253,7197,194,112,57.7,64,33.0,4725,26291,15522,272,230,62,145,82,5453,477
9,20,63.6,7.0,5644,401,1417,2653,1639,289,5641,226,123,54.4,87,38.5,3650,21151,11138,230,157,85,94,79,4195,420
10,27,52.3,9.0,5595,585,1826,2489,1334,207,5595,192,84,43.8,78,40.6,3286,17838,9139,163,126,41,138,91,3762,359
11,23,44.0,7.0,3660,466,1199,1698,795,141,3659,70,33,47.1,30,42.9,1564,8617,4404,73,43,12,87,49,1941,227
12,23,52.9,8.0,5227,558,1729,2528,1020,144,5225,130,49,37.7,66,50.8,3117,17352,8962,146,100,27,115,53,3669,293
13,23,44.0,8.0,4328,551,1514,1758,1119,203,4328,202,99,49.0,84,41.6,2404,14264,7548,142,99,40,123,94,2517,250
14,24,49.0,8.0,4794,656,1918,1857,1064,228,4792,121,48,39.7,56,46.3,2657,13287,6991,111,67,38,115,61,3026,297
15,22,50.3,8.0,4614,504,1429,2056,1197,187,4612,168,79,47.0,78,46.4,3088,18546,8284,148,126,32,141,57,2739,280
16,25,60.1,8.0,5766,635,1840,2606,1366,249,5765,175,72,41.1,82,46.9,3765,19089,10248,187,114,60,121,70,4176,366
17,24,48.8,8.0,4981,664,1908,2015,1099,151,4981,161,62,38.5,77,47.8,3070,14632,7532,135,95,42,98,57,3320,214
18,25,38.7,9.0,3878,566,1377,1617,930,132,3877,106,43,40.6,52,49.1,1850,10375,5401,98,90,12,123,69,2016,185
19,23,40.8,8.0,3993,481,1441,1633,953,144,3992,134,60,44.8,56,41.8,2177,11580,5814,119,74,26,114,70,2394,243
20,22,45.2,9.0,4942,513,1530,2141,1324,207,4941,154,71,46.1,65,42.2,2916,14777,7679,168,113,40,122,74,3035,299
21,22,63.1,8.0,6183,583,1879,2770,1585,269,6181,177,80,45.2,68,38.4,4200,20027,10486,210,129,68,147,81,4552,374
22,22,56.6,7.9,4619,376,1252,2406,1003,137,4617,123,60,48.8,53,43.1,3343,18911,8329,127,129,26,119,49,3116,303
23,19,44.8,8.0,4548,523,1544,1923,1135,168,4548,178,92,51.7,67,37.6,2529,12501,6585,118,84,33,142,109,2810,260
24,26,44.9,7.0,3868,525,1498,1634,761,117,3866,95,41,43.2,47,49.5,2112,10925,5688,94,72,24,82,39,2370,216
25,21,59.7,7.0,4865,454,1544,2232,1126,167,4864,116,54,46.6,54,46.6,2705,14879,7784,136,111,40,119,62,3320,305
26,25,55.6,7.0,4893,550,1815,2262,873,166,4892,160,67,41.9,83,51.9,2914,14263,6953,121,86,35,118,78,3192,248
27,28,46.8,8.0,4369,523,1431,1873,1105,149,4369,150,60,40.0,73,48.7,2523,14603,7237,142,88,31,113,78,2703,266
28,23,45.9,8.0,4536,433,1337,1938,1296,197,4536,129,61,47.3,57,44.2,2525,12880,6597,138,109,40,113,69,2712,254
29,25,56.1,8.0,5188,526,1661,2376,1197,153,5188,162,74,45.7,73,45.1,3242,17141,7722,126,117,35,110,74,3534,330
