,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
1404,Maximilian Mittelstadt,Stuttgart,5.1,16,10,10,6,0,10,15,66.7,5,12,5,7,7,23,14,1
1405,Koji Miyoshi,Bochum,0.9,2,2,0,1,1,0,2,0.0,2,2,1,1,0,2,1,0
1406,Henrikh Mkhitaryan,Inter,5.9,8,4,1,4,3,4,8,50.0,4,5,0,5,2,10,10,0
1407,Luka Modric,Real Madrid,5.5,4,1,3,0,1,3,8,37.5,5,3,0,3,5,9,6,0
1408,Max Moerstedt,Hoffenheim,0.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
1409,Mostafa Mohamed,Nantes,1.3,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,4,0
1410,Johan Mojica,Mallorca,7.1,10,6,8,1,1,6,10,60.0,4,3,1,2,7,17,21,0
1411,Alberto Moleiro,Las Palmas,7.6,7,3,4,3,0,6,13,46.2,7,5,0,5,2,9,2,0
1412,Nahuel Molina,Atlético Madrid,4.3,11,4,7,4,0,8,12,66.7,4,7,0,7,4,15,16,0
1413,Florent Mollet,Nantes,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1414,Jon Moncayola,Osasuna,5.8,22,10,3,16,3,5,12,41.7,7,10,1,9,5,27,6,0
1415,Gonzalo Montiel,Sevilla,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1416,Lorenzo Montipo,Hellas Verona,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2
1417,Mikey Moore,Tottenham,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1418,Alvaro Morata,Milan,3.1,2,1,0,2,0,0,1,0.0,1,4,1,3,2,4,1,0
1419,Morato,Nott'ham Forest,0.4,1,1,1,0,0,0,0,0.0,0,1,1,0,0,1,10,0
1420,Diego Moreira,Strasbourg,5.2,9,5,1,4,4,5,8,62.5,3,3,0,3,7,16,12,0
1421,Alberto Moreno,Como,7.0,10,4,6,4,0,3,8,37.5,5,7,1,6,6,16,11,1
1422,Alex Moreno,Nott'ham Forest,3.2,10,8,10,0,0,7,16,43.8,9,3,1,2,6,16,9,0
1423,Gerard Moreno,Villarreal,1.3,2,2,0,0,2,1,1,100.0,0,0,0,0,0,2,1,0
1424,Tete Morente,Lecce,3.6,5,3,2,3,0,2,9,22.2,7,6,0,6,3,8,3,0
1425,Ilaix Moriba,Celta Vigo,3.4,7,5,2,5,0,6,15,40.0,9,3,1,2,4,11,3,0
1426,Manu Morlanes,Mallorca,3.9,5,4,2,3,0,3,5,60.0,2,6,3,3,10,15,5,0
1427,Nikola Moro,Bologna,3.2,7,7,3,4,0,4,7,57.1,3,6,3,3,2,9,3,0
1428,Raul Moro,Valladolid,6.5,8,6,5,2,1,4,11,36.4,7,3,0,3,6,14,2,0
1430,Sam Morsy,Ipswich Town,6.9,20,11,10,8,2,8,14,57.1,6,8,3,5,3,23,11,1
1431,Cristhian Mosquera,Valencia,9.0,6,3,5,1,0,1,3,33.3,2,11,7,4,10,16,26,0
1432,Daniel Mosquera,Hellas Verona,2.9,2,1,1,1,0,0,2,0.0,2,2,1,1,0,2,2,0
