,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,22,9.0,129,81,55,61,13,57,142,40.1,85,85,25,60,62,191,165,1
1,26,9.0,152,95,91,48,13,76,163,46.6,87,88,31,57,75,227,153,3
2,22,8.0,139,80,54,61,24,72,125,57.6,53,106,31,75,64,203,93,3
3,23,8.0,127,73,58,57,12,63,131,48.1,68,88,22,66,55,182,114,1
4,24,8.0,128,70,60,51,17,59,117,50.4,58,100,23,77,71,199,117,1
5,22,9.0,127,80,56,52,19,66,141,46.8,75,93,28,65,62,189,164,0
6,22,8.0,142,82,73,53,16,65,128,50.8,63,99,25,74,60,202,174,1
7,22,7.0,94,54,42,38,14,43,95,45.3,52,82,32,50,57,151,137,2
8,23,9.0,134,85,64,48,22,63,120,52.5,57,80,20,60,55,189,123,3
9,20,7.0,98,59,40,36,22,51,98,52.0,47,72,7,65,55,153,93,3
10,27,9.0,157,96,65,75,17,90,173,52.0,83,108,25,83,84,241,176,1
11,23,7.0,148,89,69,60,19,74,144,51.4,70,86,25,61,65,213,146,2
12,23,8.0,123,66,68,48,7,65,139,46.8,74,94,25,69,57,180,163,2
13,23,8.0,147,70,67,58,22,73,157,46.5,84,111,37,74,72,219,156,7
14,24,8.0,140,91,75,51,14,62,146,42.5,84,96,24,72,71,211,181,4
15,22,8.0,157,105,65,71,21,63,159,39.6,96,89,24,65,71,228,147,1
16,25,8.0,137,83,64,56,17,55,156,35.3,101,92,32,60,72,209,119,3
17,24,8.0,124,71,55,42,27,62,126,49.2,64,92,42,50,55,179,158,6
18,25,9.0,138,81,66,55,17,64,152,42.1,88,92,29,63,61,199,193,3
19,23,8.0,103,61,56,34,13,51,111,45.9,60,83,29,54,57,160,139,3
20,22,9.0,112,70,51,48,13,52,133,39.1,81,86,25,61,71,183,206,1
21,22,8.0,133,77,54,50,29,54,112,48.2,58,86,31,55,51,184,136,2
22,22,7.9,113,77,52,50,11,67,131,51.1,64,70,18,52,71,184,86,6
23,19,8.0,160,83,76,53,31,66,122,54.1,56,90,35,55,65,225,201,1
24,26,7.0,123,80,74,39,10,63,130,48.5,67,82,28,54,81,204,153,3
25,21,7.0,107,77,57,42,8,52,100,52.0,48,86,22,64,51,158,121,2
26,25,7.0,114,75,53,47,14,59,99,59.6,40,90,18,72,55,169,152,2
27,28,8.0,119,71,48,49,22,66,122,54.1,56,117,33,84,51,170,120,3
28,23,8.0,162,97,76,55,31,71,136,52.2,65,112,27,85,63,225,123,3
29,25,8.0,136,82,66,42,28,50,121,41.3,71,109,27,82,55,191,115,1
30,22,7.0,129,74,79,36,14,48,107,44.9,59,102,36,66,58,187,143,1
31,26,8.0,121,77,51,54,16,57,116,49.1,59,94,35,59,47,168,179,2
32,23,8.0,133,74,71,44,18,63,140,45.0,77,77,16,61,61,194,151,3
33,24,8.0,136,74,76,52,8,65,126,51.6,61,103,31,72,76,212,201,3
34,23,9.0,125,68,63,42,20,63,131,48.1,68,69,28,41,80,205,202,5
35,22,9.0,140,88,62,57,21,71,137,51.8,66,96,27,69,50,190,185,0
36,26,9.0,128,67,63,52,13,53,134,39.6,81,79,23,56,42,170,171,9
37,20,7.0,115,61,66,35,14,57,124,46.0,67,84,22,62,72,187,148,2
38,24,8.0,129,80,64,49,16,56,113,49.6,57,72,18,54,60,189,166,3
39,23,7.0,87,53,43,31,13,42,100,42.0,58,88,28,60,66,153,184,2
40,23,8.0,127,72,59,56,12,59,112,52.7,53,80,26,54,69,196,89,1
41,22,8.0,117,79,56,52,9,64,117,54.7,53,79,27,52,69,186,150,1
42,21,7.0,135,82,65,53,17,73,152,48.0,79,104,33,71,77,212,140,2
43,23,9.0,183,104,89,73,21,88,178,49.4,90,88,27,61,75,258,168,2
44,20,8.0,118,78,61,44,13,60,140,42.9,80,87,30,57,76,194,123,3
45,22,8.0,144,77,73,61,10,66,148,44.6,82,93,36,57,88,232,140,2
46,23,8.0,137,88,60,67,10,69,128,53.9,59,114,30,84,67,204,155,0
47,25,8.0,117,65,40,62,15,68,126,54.0,58,88,16,72,60,177,94,2
48,21,7.0,97,60,40,41,16,46,89,51.7,43,86,16,70,60,157,92,1
49,22,8.0,139,100,52,64,23,66,147,44.9,81,73,15,58,60,199,120,3
50,21,8.0,138,87,59,52,27,69,167,41.3,98,103,27,76,72,210,167,5
51,27,8.0,123,68,74,37,12,60,141,42.6,81,92,36,56,85,208,180,2
