,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,28.0,1990.0,27.9,0.0,0.0,0.0,9.0,8.0,2.0,92.0,45.0,23.0,0.0,0.0,1.0,176.0,16.0,16.0,50.0
1,Max Aarons,eng ENG,DF,Norwich City,Premier League,19.0,2000.0,36.0,7.0,0.0,0.0,29.0,49.0,3.0,73.0,37.0,30.0,1.0,0.0,0.0,178.0,22.0,49.0,31.0
2,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,31.0,1987.0,28.0,0.0,0.0,0.0,21.0,17.0,0.0,1.0,47.0,33.0,0.0,1.0,0.0,140.0,85.0,51.0,62.5
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,Bundesliga,22.0,1996.0,1.7,1.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,11.0,35.3
4,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,26.0,1992.0,20.2,5.0,0.0,0.0,55.0,43.0,1.0,63.0,23.0,29.0,0.0,1.0,0.0,153.0,13.0,17.0,43.3
5,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,19.0,2000.0,6.9,2.0,0.0,0.0,16.0,11.0,7.0,5.0,4.0,9.0,1.0,0.0,0.0,22.0,28.0,34.0,45.2
6,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,33.0,1986.0,18.8,2.0,1.0,0.0,14.0,12.0,0.0,9.0,25.0,14.0,0.0,0.0,0.0,125.0,48.0,30.0,61.5
7,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,21.0,1997.0,24.6,2.0,0.0,0.0,17.0,24.0,23.0,11.0,6.0,4.0,1.0,0.0,1.0,49.0,89.0,113.0,44.1
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,29.0,1990.0,7.4,3.0,0.0,0.0,17.0,12.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,51.0,9.0,9.0,50.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,31.0,1988.0,35.1,4.0,0.0,0.0,26.0,41.0,5.0,26.0,42.0,29.0,1.0,0.0,0.0,179.0,56.0,32.0,63.6
10,Che Adams,sct SCO,FW,Southampton,Premier League,23.0,1996.0,12.3,0.0,0.0,0.0,17.0,16.0,10.0,13.0,2.0,4.0,1.0,0.0,0.0,51.0,41.0,75.0,35.3
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,20.0,1999.0,10.6,0.0,0.0,0.0,9.0,16.0,0.0,10.0,14.0,15.0,0.0,0.0,0.0,58.0,14.0,14.0,50.0
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,26.0,1993.0,8.3,1.0,0.0,0.0,12.0,7.0,7.0,11.0,2.0,7.0,1.0,0.0,0.0,32.0,12.0,34.0,26.1
13,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Bobby Adekanye,nl NED,FW,Lazio,Serie A,20.0,1999.0,2.1,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0
15,Claud Adjapong,it ITA,DF,Hellas Verona,Serie A,21.0,1998.0,2.6,0.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,11.0,3.0,4.0,42.9
16,Amine Adli,fr FRA,"MF,FW",Toulouse,Ligue 1,19.0,2000.0,0.5,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
