,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,28.0,1990.0,27.9,1241.0,1595.0,77.8,19052.0,8208.0,668.0,758.0,88.1,470.0,590.0,79.7,73.0,163.0,44.8,2.0,3.7,3.2,-1.7,32.0,89.0,23.0,3.0,143.0
1,Max Aarons,eng ENG,DF,Norwich City,Premier League,19.0,2000.0,36.0,1332.0,1711.0,77.8,17879.0,5691.0,880.0,982.0,89.6,351.0,469.0,74.8,49.0,121.0,40.5,1.0,3.9,2.8,-2.9,23.0,55.0,28.0,12.0,78.0
2,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,31.0,1987.0,28.0,1323.0,1570.0,84.3,27406.0,10308.0,370.0,420.0,88.1,762.0,854.0,89.2,185.0,269.0,68.8,0.0,1.2,0.3,-1.2,5.0,53.0,1.0,0.0,96.0
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,Bundesliga,22.0,1996.0,1.7,19.0,42.0,45.2,279.0,99.0,11.0,20.0,55.0,7.0,14.0,50.0,1.0,4.0,25.0,0.0,0.2,0.1,-0.2,1.0,2.0,2.0,1.0,3.0
4,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,26.0,1992.0,20.2,792.0,967.0,81.9,12997.0,3634.0,392.0,426.0,92.0,313.0,354.0,88.4,59.0,128.0,46.1,2.0,1.8,1.7,0.2,27.0,80.0,6.0,2.0,104.0
5,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,19.0,2000.0,6.9,75.0,132.0,56.8,932.0,234.0,46.0,75.0,61.3,16.0,29.0,55.2,4.0,6.0,66.7,0.0,1.2,0.8,-1.2,7.0,3.0,4.0,1.0,10.0
6,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,33.0,1986.0,18.8,738.0,911.0,81.0,14808.0,5563.0,249.0,287.0,86.8,379.0,445.0,85.2,105.0,156.0,67.3,0.0,0.1,0.4,-0.1,2.0,66.0,8.0,2.0,99.0
7,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,21.0,1997.0,24.6,275.0,418.0,65.8,3513.0,697.0,161.0,221.0,72.9,63.0,86.0,73.3,13.0,21.0,61.9,3.0,2.7,1.9,0.3,21.0,17.0,7.0,1.0,34.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,29.0,1990.0,7.4,280.0,330.0,84.8,4029.0,919.0,162.0,178.0,91.0,101.0,112.0,90.2,10.0,18.0,55.6,0.0,0.1,0.2,-0.1,4.0,24.0,4.0,3.0,27.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,31.0,1988.0,35.1,1844.0,2073.0,89.0,38047.0,14343.0,636.0,686.0,92.7,903.0,970.0,93.1,279.0,371.0,75.2,2.0,1.7,1.7,0.3,8.0,149.0,15.0,5.0,150.0
10,Che Adams,sct SCO,FW,Southampton,Premier League,23.0,1996.0,12.3,162.0,263.0,61.6,2292.0,522.0,97.0,124.0,78.2,44.0,73.0,60.3,9.0,19.0,47.4,2.0,1.7,0.6,0.3,13.0,9.0,3.0,0.0,16.0
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,20.0,1999.0,10.6,584.0,703.0,83.1,8760.0,2384.0,309.0,349.0,88.5,214.0,245.0,87.3,26.0,45.0,57.8,0.0,0.6,0.6,-0.6,7.0,35.0,10.0,3.0,34.0
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,26.0,1993.0,8.3,128.0,180.0,71.1,1677.0,351.0,84.0,105.0,80.0,33.0,41.0,80.5,4.0,7.0,57.1,1.0,0.6,0.8,0.4,6.0,6.0,5.0,2.0,16.0
13,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,0.3,4.0,6.0,66.7,100.0,84.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Bobby Adekanye,nl NED,FW,Lazio,Serie A,20.0,1999.0,2.1,38.0,43.0,88.4,500.0,64.0,20.0,24.0,83.3,12.0,12.0,100.0,2.0,2.0,100.0,0.0,0.2,0.1,-0.2,3.0,0.0,1.0,1.0,2.0
15,Claud Adjapong,it ITA,DF,Hellas Verona,Serie A,21.0,1998.0,2.6,58.0,83.0,69.9,852.0,314.0,35.0,42.0,83.3,16.0,25.0,64.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
16,Amine Adli,fr FRA,"MF,FW",Toulouse,Ligue 1,19.0,2000.0,0.5,20.0,26.0,76.9,297.0,105.0,11.0,12.0,91.7,6.0,7.0,85.7,2.0,6.0,33.3,0.0,0.1,0.0,-0.1,2.0,3.0,1.0,0.0,3.0
