,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,Bournemouth,10.6,24,15,17,6,1,16,27,59.3,11,9,5,4,5,29,21,0
1,Brenden Aaronson,Union Berlin,3.4,8,6,3,4,1,5,7,71.4,2,9,0,9,0,8,1,0
2,Paxten Aaronson,Eint Frankfurt,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
3,Yunis Abdelhamid,Reims,15.0,33,20,17,14,2,13,25,52.0,12,25,16,9,17,50,46,0
4,Salis Abdul Samed,Lens,11.9,15,11,6,7,2,5,10,50.0,5,9,0,9,7,22,9,0
5,Laurent Abergel,Lorient,15.0,48,25,23,21,4,21,54,38.9,33,18,4,14,34,82,23,1
6,Matthis Abline,Nantes,4.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
7,Abner,Betis,7.8,10,9,7,3,0,8,15,53.3,7,17,4,13,8,18,27,0
8,Zakaria Aboukhlal,Toulouse,4.2,1,1,0,0,1,1,3,33.3,2,3,0,3,1,2,1,0
9,Abdel Abqar,Alavés,12.9,14,7,11,1,2,8,16,50.0,8,14,10,4,11,25,68,0
10,Francesco Acerbi,Inter,12.0,13,7,10,3,0,7,8,87.5,1,8,6,2,18,31,25,0
11,Marcos Acuna,Sevilla,5.1,12,8,8,4,0,5,6,83.3,1,4,1,3,4,16,6,0
12,Benie Adama Traore,Sheffield Utd,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0
13,Akor Adams,Montpellier,13.5,8,3,2,2,4,2,6,33.3,4,1,0,1,2,10,4,0
14,Junior Adamu,Freiburg,1.0,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,1,0
15,Sargis Adamyan,Köln,1.6,3,2,0,2,1,1,2,50.0,1,2,0,2,0,3,2,0
16,Tosin Adarabioyo,Fulham,2.0,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,11,0
17,Elijah Adebayo,Luton Town,6.5,1,0,1,0,0,0,3,0.0,3,6,0,6,4,5,10,0
18,Karim Adeyemi,Dortmund,4.1,7,7,3,2,2,3,10,30.0,7,6,0,6,2,9,1,0
19,Simon Adingra,Brighton,11.3,18,11,9,5,4,10,22,45.5,12,9,0,9,12,30,9,0
20,Amine Adli,Leverkusen,2.9,6,1,1,2,3,4,6,66.7,2,5,1,4,3,9,1,0
21,Yacine Adli,Milan,3.6,14,7,6,7,1,6,15,40.0,9,4,4,0,6,20,4,0
22,Adson,Nantes,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0
23,Michel Aebischer,Bologna,12.0,17,13,4,12,1,7,15,46.7,8,16,3,13,9,26,11,0
24,Emmanuel Agbadou,Reims,10.7,25,16,12,12,1,17,26,65.4,9,15,7,8,23,48,51,1
26,Lucien Agoume,Inter,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
27,Felix Agu,Werder Bremen,1.2,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0
28,Nayef Aguerd,West Ham,14.7,18,8,12,6,0,10,12,83.3,2,22,16,6,16,34,65,2
29,Ruben Aguilar,Lens,9.5,18,10,10,6,2,10,19,52.6,9,12,0,12,10,28,12,0
30,Naouirou Ahamada,Crystal Palace,1.4,2,2,1,1,0,2,6,33.3,4,0,0,0,1,3,0,0
31,Anel Ahmedhodzic,Sheffield Utd,11.5,24,18,19,3,2,13,22,59.1,9,22,12,10,13,37,50,0
32,Joseph Aidoo,Celta Vigo,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0
33,Ola Aina,Nott'ham Forest,9.0,19,13,15,3,1,13,18,72.2,5,8,3,5,6,25,31,1
34,Rayan Ait Nouri,Wolves,9.9,30,19,19,9,2,10,15,66.7,5,13,5,8,11,41,20,0
35,Tosin Aiyegun,Lorient,5.3,5,4,1,3,1,2,4,50.0,2,2,1,1,1,6,5,0
36,Kristoffer Ajer,Brentford,8.1,17,9,12,4,1,13,19,68.4,6,5,1,4,5,22,25,0
37,Ludovic Ajorque,Mainz 05,8.8,2,2,1,1,0,1,6,16.7,5,5,1,4,0,2,4,0
38,Manuel Akanji,Manchester City,12.0,19,10,8,8,3,9,18,50.0,9,13,6,7,9,28,31,1
39,Marley Ake,Udinese,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Nathan Ake,Manchester City,8.2,14,8,11,3,0,8,11,72.7,3,7,0,7,6,20,21,0
41,Ilias Akhomach,Villarreal,4.4,10,10,3,5,2,3,6,50.0,3,5,1,4,5,15,3,0
42,Sergio Akieme,Almería,13.0,18,11,15,1,2,8,10,80.0,2,8,3,5,7,25,18,0
