,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
46,Nathan Ake,Manchester City,8.9,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0
47,Paul Akouokou,Betis,4.2,6,1.43,5,0,0,0,0,1,1,0.24,1,0,0,0,0,0
48,Jean-Daniel Akpa-Akpro,Lazio,11.7,19,1.62,16,0,1,0,0,2,1,0.09,1,0,0,0,0,0
49,Kevin Akpoguma,Hoffenheim,13.2,7,0.53,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
50,David Alaba,Bayern Munich,29.7,60,2.02,55,1,0,3,0,1,7,0.24,6,1,0,0,0,0
52,Sofiane Alakouch,Nîmes,16.7,21,1.25,14,2,2,0,3,0,3,0.18,2,0,0,0,1,0
53,Jony Alamo,Elche,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
54,Lucas Alario,Leverkusen,13.8,30,2.17,22,0,2,3,3,0,3,0.22,2,0,0,1,0,0
55,Jordi Alba,Barcelona,33.6,96,2.86,93,2,1,0,0,0,9,0.27,8,0,1,0,0,0
56,Luis Alberto,Lazio,29.1,157,5.40,118,25,7,4,2,1,7,0.24,6,0,1,0,0,0
57,Raul Albiol,Villarreal,34.6,18,0.52,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0
58,Marc Albrighton,Leicester City,19.4,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1
59,Paco Alcacer,Villarreal,17.2,27,1.57,20,1,3,2,1,0,9,0.52,6,0,2,1,0,0
60,Pedro Alcala,Cádiz,10.1,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
61,Thiago Alcantara,Liverpool,20.6,81,3.93,69,2,2,3,3,2,3,0.15,2,0,0,1,0,0
62,Ruben Alcaraz,Valladolid,24.1,28,1.16,23,0,0,1,3,1,2,0.08,2,0,0,0,0,0
63,Omar Alderete,Hertha BSC,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Toby Alderweireld,Tottenham,24.9,22,0.88,19,0,0,3,0,0,3,0.12,3,0,0,0,0,0
65,Ivan Alejo,Cádiz,9.2,21,2.29,17,1,1,1,1,0,2,0.22,1,0,0,1,0,0
66,Carles Alena,Barcelona,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Carles Alena,Getafe,15.2,66,4.35,31,15,6,8,6,0,3,0.20,2,0,1,0,0,0
68,Runar Alex Runarsson,Arsenal,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
69,Trent Alexander-Arnold,Liverpool,33.7,131,3.89,84,34,6,7,0,0,13,0.39,8,2,1,2,0,0
70,Alfon,Celta Vigo,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Mohamed Ali Cho,Angers,3.9,4,1.04,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
72,Ezgjan Alioski,Leeds United,27.3,71,2.60,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0
73,Rachid Alioui,Angers,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Alisson,Liverpool,33.0,5,0.15,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Saturnin Allagbe,Dijon,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
76,Allan,Everton,22.8,39,1.71,33,1,4,1,0,0,2,0.09,2,0,0,0,0,0
78,Dele Alli,Tottenham,6.9,22,3.19,19,0,0,1,1,1,0,0.00,0,0,0,0,0,0
79,Miguel Almiron,Newcastle Utd,27.0,76,2.82,54,3,8,4,5,2,6,0.22,4,0,0,1,0,1
80,Marcos Alonso,Chelsea,10.7,36,3.38,29,2,0,5,0,0,3,0.28,2,0,0,1,0,0
81,Sergio Alvarez,Eibar,17.4,19,1.09,18,0,0,0,1,0,0,0.00,0,0,0,0,0,0
82,Yeray Alvarez,Athletic Club,21.6,12,0.55,10,1,0,1,0,0,0,0.00,0,0,0,0,0,0
83,Bruno Alves,Parma,18.1,9,0.50,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
84,Steven Alzate,Brighton,10.0,24,2.41,20,0,1,3,0,0,1,0.10,1,0,0,0,0,0
85,Ibrahim Amadou,Angers,16.7,25,1.50,22,0,0,2,0,1,4,0.24,3,0,0,1,0,0
86,Romain Amalfitano,Dijon,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
87,Emmanuel Amankwaa Akurugu,Getafe,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
88,Daniel Amartey,Leicester City,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
89,Jordan Amavi,Marseille,9.0,17,1.88,8,1,1,1,6,0,4,0.44,2,0,0,0,2,0
90,Thierry Ambrose,Metz,8.4,25,2.98,19,1,2,1,2,0,2,0.24,2,0,0,0,0,0
91,Wisdom Amey,Bologna,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
92,Nadiem Amiri,Leverkusen,21.0,80,3.81,57,13,4,6,0,0,10,0.48,8,1,1,0,0,0
93,Ethan Ampadu,Sheffield Utd,23.2,20,0.86,17,2,0,0,1,0,0,0.00,0,0,0,0,0,0
94,Sofyan Amrabat,Fiorentina,27.1,36,1.33,35,0,0,1,0,0,1,0.04,1,0,0,0,0,0
95,Jon Ander Garrido,Cádiz,8.9,10,1.13,9,0,0,0,1,0,2,0.23,1,0,0,0,1,0
96,Joachim Andersen,Fulham,30.3,30,0.99,28,0,0,1,1,0,3,0.10,3,0,0,0,0,0
97,Joachim Andersen,Lyon,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
98,Djavan Anderson,Lazio,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
99,Elliot Anderson,Newcastle Utd,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
100,Felipe Anderson,West Ham,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
